trade_date,ts_code,name
20260922,001216.SZ,华瓷股份
20260922,603230.SH,内蒙新华
20260922,000504.SZ,南华生物
20260922,000910.SZ,大亚圣象
20260922,001317.SZ,三羊马
20260922,601811.SH,新华文轩
20260922,603068.SH,博通集成
20260922,000560.SZ,我爱我家
20260922,000607.SZ,华媒控股
20260922,000756.SZ,新华制药
20260922,001234.SZ,泰慕士
20260922,002178.SZ,延华智能
20260922,002259.SZ,升达林业
20260922,002303.SZ,美盈森
20260922,002614.SZ,奥佳华
20260922,300110.SZ,华仁药业
20260922,600503.SH,华丽家族
20260922,600664.SH,哈药股份
20260922,600721.SH,百花医药
20260922,600743.SH,华远控股
20260922,600825.SH,新华传媒
20260922,603020.SH,爱普股份
20260922,603580.SH,艾艾精工
20260922,603636.SH,南威软件
