rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,002156.SZ,通富微电,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.688933,0.0,0,0.0,0.0,0.5,0.0,0.492884371029225,0.0,中,分时缺失|低置信,0.3905604257600311,0.0,0.0,0.0,0.0,0.3666354257600311
2,600206.SH,有研新材,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.682323,0.0,0,0.0,0.0,0.5,0.0,0.44881843245372216,0.0,中,分时缺失|低置信,0.3709363950853059,0.0,0.0,0.0,0.0,0.34701139508530593
3,601700.SH,风范股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.693476,0.0,0,0.0,0.0,0.5,0.0,0.5231707317073172,0.0,中,分时缺失|低置信,0.37374360125590317,0.0,0.0,0.0,0.0,0.3498186012559032
4,603118.SH,共进股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.3582775679719709,0.0,0.0,0.0,0.0,0.3682775679719709
5,002436.SZ,兴森科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.699301,0.0,0,0.0,0.0,0.5,0.0,0.5620045950603106,0.0,中,分时缺失|低置信,0.3709702272844287,0.0,0.0,0.0,0.0,0.3470452272844287
6,600127.SH,金健米业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.751495,0.0,0,0.0,0.0,0.5,0.0,0.9099659284497441,0.0,中,分时缺失|低置信,0.3353208863120872,0.0,0.0,0.0,0.0,0.3113958863120872
7,603186.SH,华正新材,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.32481824126313485,0.0,0.0,0.0,0.0,0.3159932412631349
8,002437.SZ,誉衡药业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.690447,0.0,0,0.0,0.0,0.5,0.0,0.5029801324503314,0.0,中,分时缺失|低置信,0.2837324990813053,0.0,0.0,0.0,0.0,0.25980749908130535
9,002907.SZ,华森制药,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.3064223389551393,0.0,0.0,0.0,0.0,0.29759733895513935
10,603823.SH,百合花,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.700503,0.0,0,0.0,0.0,0.5,0.0,0.5700169037892657,0.0,中,分时缺失|低置信,0.3191221920882039,0.0,0.0,0.0,0.0,0.29519719208820394
