ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
600791.SH,京能置业,全国地产,20260213,U,7.29,7.29,5.97,0.0,19205162.0,95833,95833,19205162.0,9.9548,153431.222,214720.22,8.6815,8.6815,,330149.52,1.51,,1,19205162.0,19205162.0,1.0,0.96875,0.8125,0.6875,0.515625,0.515625,0.05,0.0,84.375
001896.SZ,豫能控股,火力发电,20260213,U,9.12,9.12,7.46,0.0,240742263.0,92500,92500,240742263.0,10.0121,237425.721,260335.22,4.4725,4.4725,,1391512.573,0.56,,1,240742263.0,240742263.0,0.5625,0.9375,0.96875,1.0,0.515625,0.515625,0.05,0.0,81.3125
605033.SH,美邦股份,农药化肥,20260213,U,28.67,28.67,23.45,0.0,400355248.0,92503,92503,400355248.0,10.0153,78780.659,27478.43,7.4588,7.4588,,387618.4,0.82,30553619.0,1,400355248.0,400355248.0,0.46875,1.0,0.90625,0.90625,0.515625,0.515625,0.05,0.0,79.25
603163.SH,圣晖集成,建筑工程,20260213,U,128.99,128.99,105.53,0.0,98825817.0,101815,101815,98825817.0,10.0034,395203.041,31365.74,11.6687,11.6687,,1289900.0,0.9,,1,98825817.0,98825817.0,0.625,0.84375,0.75,0.875,0.515625,0.515625,0.05,0.0,74.625
000839.SZ,国安股份,综合类,20260213,U,3.39,3.39,2.77,0.0,315050328.0,93000,93000,315050328.0,10.0649,359702.391,1061069.0,4.259,4.259,,1328821.1333,0.69,,1,315050328.0,315050328.0,0.1875,0.875,1.0,0.96875,0.515625,0.515625,0.05,0.0,73.3125
605007.SH,五洲特纸,造纸,20260213,U,16.43,16.43,13.45,0.0,46414667.0,100214,100214,46414667.0,9.9732,318974.792,202027.17,23.5571,23.5571,,781624.3949,2.12,,1,46414667.0,46414667.0,0.9375,0.90625,0.34375,0.4375,0.515625,0.515625,0.05,0.0,70.25
002169.SZ,智光电气,电气设备,20260213,U,15.3,15.3,12.52,0.0,84797190.0,102203,102203,84797190.0,9.9928,826353.655,557855.7,9.4198,9.4198,,1197537.2638,1.34,,1,84797190.0,84797190.0,0.84375,0.5,0.78125,0.71875,0.515625,0.515625,0.05,0.0,69.0
002355.SZ,兴民智通,汽车配件,20260213,U,7.47,7.47,6.11,0.0,101116624.0,110409,110409,101116624.0,10.0147,503169.07,703790.39,13.3345,13.3345,,499355.307,0.95,,1,101116624.0,101116624.0,0.5,0.75,0.6875,0.84375,0.515625,0.515625,0.05,0.0,68.4375
603331.SH,百达精工,专用机械,20260213,U,19.8,19.8,16.2,0.0,43518420.0,94546,94546,43518420.0,10.0,529055.139,272469.99,19.0386,19.0386,,400307.7593,0.79,,1,43518420.0,43518420.0,0.703125,0.6875,0.53125,0.9375,0.515625,0.515625,0.05,0.0,68.09375
000798.SZ,中水渔业,渔业,20260213,U,12.46,12.46,10.2,0.0,108226314.0,95751,95751,108226314.0,9.9735,526750.82,433027.32,24.9445,24.9445,,455859.9552,1.25,,1,108226314.0,108226314.0,0.90625,0.71875,0.25,0.78125,0.515625,0.515625,0.05,0.0,65.6875
603960.SH,克来机电,汽车配件,20260213,U,27.73,27.73,22.69,4.0,17880997.0,102322,144022,17880997.0,9.996,780909.766,289867.39,17.7534,17.7534,,727074.7767,1.68,,1,17880997.0,17880997.0,0.78125,0.5625,0.59375,0.59375,0.515625,0.515625,0.05,0.0,64.75
002510.SZ,天汽模,汽车配件,20260213,U,8.5,8.5,6.96,4.0,57394448.0,102757,103436,57394448.0,9.9612,1119917.853,1356499.05,16.09,16.09,,862867.9018,2.34,,1,57394448.0,57394448.0,0.96875,0.40625,0.625,0.375,0.515625,0.515625,0.05,0.0,62.9375
002843.SZ,泰嘉股份,钢加工,20260213,U,20.85,20.85,17.06,0.0,81722325.0,95003,95003,81722325.0,10.0264,465140.131,227882.2,15.8357,15.8357,,524872.8168,3.0,,1,81722325.0,81722325.0,0.3125,0.78125,0.65625,0.28125,0.515625,0.515625,0.05,0.0,60.75
600629.SH,华建集团,建筑工程,20260213,U,21.19,21.19,17.33,0.0,143075536.0,95324,95324,143075536.0,10.0208,803527.911,386211.47,8.2686,8.2686,,2056147.6184,2.92,26574192.23,1,143075536.0,143075536.0,0.375,0.53125,0.84375,0.3125,0.515625,0.515625,0.05,0.0,59.375
605289.SH,罗曼股份,建筑工程,20260213,U,89.98,89.98,73.62,2.0,15062652.0,105202,131708,15062652.0,10.0,944517.302,107151.47,19.9391,19.9391,,980849.485,2.09,173777480.24,1,15062652.0,15062652.0,0.703125,0.46875,0.5,0.46875,0.515625,0.515625,0.05,0.0,58.03125
