rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,603596.SH,伯特利,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.7183311720839793,0.0,0.0,0.0,0.0,0.6944061720839794
2,605255.SH,天普股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.7303107961488082,0.0,0.0,0.0,0.0,0.7063857961488083
3,605068.SH,明新旭腾,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.7063521667094583,0.0,0.0,0.0,0.0,0.6824271667094584
4,603278.SH,大业股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6749277502630563,0.0,0.0,0.0,0.0,0.6510027502630563
5,603211.SH,晋拓股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6874576072170888,0.0,0.0,0.0,0.0,0.6635326072170888
6,603178.SH,圣龙股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.662948848079931,0.0,0.0,0.0,0.0,0.6390238480799311
7,603730.SH,岱美股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6940932366888011,0.0,0.0,0.0,0.0,0.6701682366888011
8,002520.SZ,日发精机,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6353585511795521,0.028125,0.0045,0.0,0.0045,0.6350585511795521
9,603286.SH,日盈电子,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6383288945250647,0.0,0.0,0.0,0.0,0.6295038945250647
10,603915.SH,国茂股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6339729633448341,0.0,0.0,0.0,0.0,0.6100479633448341
