rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,002980.SZ,华盛昌,1,ok,,0.552543,0.667949,0.140304,0,0.14030440000000002,0.12,0.478478,0.0,0.5366053784689407,1.0,低,健康涨停,0.40357543624259506,0.026698725,0.010513680000000001,0.0,0.010513680000000001,0.39583548124259504
2,603248.SH,锡华科技,1,ok,,0.6321990000000001,0.634019,0.2016,1,0.2016004,0.0,0.241998,1.0,0.5064010743061779,1.0,高,回封偏弱,0.29316063061882053,0.025850474999999998,0.013072,0.08,0.093072,0.23566410561882054
3,002836.SZ,新宏泽,1,ok,,0.8196380000000001,0.802209,0.110242,0,0.110242,0.0,0.698792,1.0,0.6437269372693731,1.0,低,健康涨停,0.30836965571979064,0.030055224999999998,0.00896089,0.0,0.00896089,0.3206389907197907
4,002005.SZ,德豪润达,1,ok,,0.557265,0.58888,0.266956,0,0.300075,0.0,0.415218,3.0,0.5243801652892566,1.0,低,多次炸板,0.2694329847527769,0.024722,0.024013020000000003,0.0,0.024013020000000003,0.2462169647527769
5,603138.SH,海量数据,1,ok,,0.682543,0.717162,0.121638,0,0.121638,0.0,0.391811,0.0,0.560247349823322,1.0,低,健康涨停,0.30795875367081393,0.027929049999999997,0.00547371,0.0,0.00547371,0.30648909367081395
6,002623.SZ,亚玛顿,1,ok,,0.770792,0.76707,0.103806,0,0.103806,0.0,0.730972,1.0,0.4642517814726841,1.0,低,健康涨停,0.28472110675940465,0.02917675,0.00867127,0.0,0.00867127,0.28130158675940464
7,000410.SZ,沈阳机床,1,ok,,0.611952,0.705609,0.093698,0,0.09369840000000002,0.0,0.531508,0.0,0.43814229249011866,1.0,低,健康涨停,0.31912982319967953,0.027640225000000004,0.00421641,0.0,0.00421641,0.31862863819967957
8,600577.SH,精达股份,1,ok,,0.63305,0.733457,0.079633,0,0.09,0.0,0.601835,0.0,0.48783102143757995,1.0,低,健康涨停,0.3396187001551215,0.028336425,0.0035834849999999995,0.0,0.0035834849999999995,0.34044664015512155
9,603626.SH,科森科技,1,ok,,0.740478,0.751939,0.143214,0,0.14955000000000002,0.0,0.533928,1.0,0.6867308595584778,1.0,低,健康涨停,0.29367702739539564,0.028798475000000004,0.01044463,0.0,0.01044463,0.30320587239539565
10,002298.SZ,中电鑫龙,1,ok,,0.6659999999999999,0.685734,0.132667,0,0.132667,0.0,0.336667,0.0,0.4573349633251829,1.0,低,回封偏弱,0.3528605075875161,0.027143349999999997,0.005970015,0.0,0.005970015,0.3501088425875161
11,601811.SH,新华文轩,1,ok,,0.6522910000000001,0.691869,0.102806,0,0.102806,0.0,0.485971,0.0,0.3265822784810126,1.0,低,健康涨停,0.25570223019172617,0.027296725,0.004626269999999999,0.0,0.004626269999999999,0.2544476851917262
12,001229.SZ,魅视科技,1,ok,,0.604739,0.71527,0.098507,0,0.0985072,0.0,0.507464,0.0,0.5490371389270975,1.0,低,健康涨停,0.2865803859811877,0.027881749999999997,0.004432815,0.0,0.004432815,0.2861043209811877
13,605188.SH,国光连锁,1,ok,,0.71747,0.720808,0.098354,0,0.098354,0.0,0.508232,0.0,0.3594719195305956,1.0,低,健康涨停,0.26332637061076064,0.028020200000000002,0.00442593,0.0,0.00442593,0.26299564061076064
14,002300.SZ,太阳电缆,1,ok,,0.712249,0.731625,0.101834,0,0.10183400000000001,0.0,0.49083,0.0,0.4652284263959395,1.0,低,健康涨停,0.35972656677487924,0.028290625,0.00458253,0.0,0.00458253,0.3595096617748793
15,603001.SH,奥康国际,1,ok,,0.755033,0.702154,0.173312,0,0.173312,0.0,0.6334420000000001,2.0,0.3930379746835447,1.0,低,健康涨停,0.29795024458416647,0.027553849999999998,0.01579904,0.0,0.01579904,0.2857800545841665
16,600606.SH,绿地控股,1,ok,,0.573017,0.676568,0.119655,0,0.11965520000000002,0.0,0.401724,0.0,0.49545454545454537,1.0,低,健康涨停,0.24992485756101182,0.0269142,0.005384475,0.0,0.005384475,0.2475295825610118
17,002185.SZ,华天科技,1,ok,,0.626625,0.706437,0.119917,0,0.119917,0.0,0.40041600000000005,0.0,0.5891092129347164,1.0,低,健康涨停,0.3364470693044516,0.027660925000000003,0.005396265,0.0,0.005396265,0.33478672930445164
18,601579.SH,会稽山,1,ok,,0.743557,0.767444,0.080962,0,0.08096220000000001,0.0,0.595189,0.0,0.5022613065326634,1.0,低,健康涨停,0.26176744850212563,0.0291861,0.00364329,0.0,0.00364329,0.26338525850212563
19,002849.SZ,威星智能,1,ok,,0.512038,0.501413,0.355058,1,0.35812499999999997,0.0,0.22471,4.0,0.4857336220898756,1.0,高,多次炸板|回封偏弱,0.2837999495292553,0.022535325000000002,0.031977610000000004,0.08,0.11197761,0.1704326645292553
20,000910.SZ,大亚圣象,1,ok,,0.725202,0.748825,0.093199,0,0.093199,0.0,0.534007,0.0,0.49642166344293975,1.0,低,健康涨停,0.30442028399308296,0.028720625,0.004193955,0.0,0.004193955,0.30502195399308296
21,002713.SZ,东易日盛,1,ok,,0.746813,0.781786,0.078791,0,0.0787912,0.0,0.606044,0.0,0.5768882175226595,1.0,低,健康涨停,0.2535008329071641,0.02954465,0.003545595,0.0,0.003545595,0.2555748879071641
22,603353.SH,和顺石油,1,ok,,0.717201,0.665578,0.194033,0,0.194033,0.0,0.529837,2.0,0.36300407793384687,1.0,低,健康涨停,0.23986211559374557,0.026639450000000002,0.016731485,0.0,0.016731485,0.22584508059374556
23,600847.SH,万里股份,1,ok,,0.642328,0.659616,0.148448,0,0.1484482,0.0,0.257759,0.0,0.4357707509881417,1.0,低,回封偏弱,0.26225555097378567,0.026490399999999997,0.006680159999999999,0.0,0.006680159999999999,0.25814079097378567
