rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,603407.SH,长裕集团,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.7474524275077365,0.0,0.0,0.0,0.0,0.7474524275077365
2,603065.SH,宿迁联盛,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.7170645749465074,0.0,0.0,0.0,0.0,0.7170645749465074
3,002312.SZ,川发龙蟒,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6760325731644244,0.028125,0.0045,0.0,0.0045,0.6996575731644245
4,000545.SZ,金浦钛业,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6685781546211171,0.028125,0.0045,0.0,0.0045,0.6922031546211171
5,002386.SZ,天原股份,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6682927927012708,0.028125,0.0045,0.0,0.0045,0.6919177927012709
6,002346.SZ,柘中股份,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6546830015482493,0.028125,0.0045,0.0,0.0045,0.6783080015482493
7,002167.SZ,东方锆业,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6476237025608537,0.028125,0.0045,0.0,0.0045,0.6712487025608537
8,000510.SZ,新金路,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6444732163846476,0.028125,0.0045,0.0,0.0045,0.6680982163846476
9,600353.SH,旭光电子,1.0,ok,,1.0,0.825,0.1,0,1.0,0.0,0.5,0.0,0.5,0.75,低,分时高风险,0.6320882049578238,0.028125,0.0045,0.0,0.0045,0.6557132049578238
10,603938.SH,三孚股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6531262834698295,0.0,0.0,0.0,0.0,0.6531262834698295
