ts_code,name,industry,board,trade_date,limit_type_x,close_x,up_limit_x,down_limit_x,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,close_y,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,seal_amount_y,limit_type_y,up_limit_y,down_limit_y,first_limit_time,last_limit_time,up_limit,down_limit,seal_amount,limit_open_count,limit_type,limit_strength_raw,StrengthScore,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj,strength_feature_count,strength_missing_fields,strength_quality_flag
000010.SZ,美丽生态,建筑工程,建筑工程,20260313,U,4.53,4.53,3.71,0.0,67120896.0,93533,93533,67120896.0,9.9515,211570.338,475600.25,4.53,6.7248,6.7248,,520792.4883,0.88,,1.0,67120896.0,U,4.53,3.71,93533,93533,4.53,3.71,67120896.0,0.0,,77.915254,77.915254,0.8983050847457628,0.864406779661017,0.8983050847457628,0.8813559322033898,0.5084745762711864,0.5084745762711864,0.3305084745762712,1.0,8,,A
600691.SH,潞化科技,农药化肥,农药化肥,20260313,U,4.43,4.43,3.63,1.0,106234341.0,92504,93022,106234341.0,9.9256,312600.039,705970.17,4.43,5.9848,5.9848,,1052560.0047,0.6,104744945.31,1.0,106234341.0,U,4.43,3.63,92504,93022,4.43,3.63,106234341.0,1.0,,76.728814,76.728814,0.9491525423728814,0.7457627118644068,0.9322033898305084,0.9322033898305084,0.5084745762711864,0.288135593220339,0.7203389830508474,1.0,8,,A
001366.SZ,播恩集团,饲料,饲料,20260313,U,15.76,15.76,12.9,0.0,43056320.0,100348,100348,43056320.0,9.9791,91652.177,59373.0,15.76,10.6633,10.6633,,253231.68,1.53,,1.0,43056320.0,U,15.76,12.9,100348,100348,15.76,12.9,43056320.0,0.0,,76.389831,76.389831,0.8135593220338984,1.0,0.6779661016949152,0.711864406779661,0.5084745762711864,0.6949152542372882,0.3305084745762712,1.0,8,,A
603558.SH,健盛集团,纺织,纺织,20260313,U,12.99,12.99,10.63,0.0,41178949.0,93327,93327,41178949.0,9.9915,125067.549,97710.5,12.99,5.8478,5.8478,,445086.8257,2.63,,1.0,41178949.0,U,12.99,10.63,93327,93327,12.99,10.63,41178949.0,0.0,,75.338983,75.338983,0.6949152542372882,0.9152542372881356,0.9491525423728814,0.3898305084745763,0.5084745762711864,0.7288135593220338,0.3305084745762712,1.0,8,,A
002543.SZ,万和电气,家用电器,家用电器,20260313,U,9.79,9.79,8.01,3.0,17124002.0,103109,104224,17124002.0,10.0,219971.017,229718.77,9.79,9.5101,9.5101,,727984.4,4.96,,1.0,17124002.0,U,9.79,8.01,103109,104224,9.79,8.01,17124002.0,3.0,,71.627119,71.627119,0.5423728813559322,0.847457627118644,0.7457627118644068,0.0847457627118644,0.5084745762711864,0.9491525423728814,0.8983050847457628,1.0,8,,A
002637.SZ,赞宇科技,日用化工,日用化工,20260313,U,15.87,15.87,12.99,0.0,107489097.0,130554,130554,107489097.0,9.9792,279351.094,182967.0,15.87,6.5515,6.5515,,746526.387,0.74,,1.0,107489097.0,U,15.87,12.99,130554,130554,15.87,12.99,107489097.0,0.0,,70.694915,70.694915,0.7966101694915254,0.7627118644067796,0.9152542372881356,0.8983050847457628,0.5084745762711864,0.23728813559322035,0.3305084745762712,1.0,8,,A
600336.SH,澳柯玛,家用电器,家用电器,20260313,U,8.18,8.18,6.7,1.0,24157994.0,130704,131543,24157994.0,9.9462,417818.421,524312.08,8.18,10.709,10.709,,652776.081,7.86,,1.0,24157994.0,U,8.18,6.7,130704,131543,8.18,6.7,24157994.0,1.0,,70.084746,70.084746,0.9152542372881356,0.6440677966101694,0.6610169491525424,0.03389830508474576,0.5084745762711864,0.864406779661017,0.7203389830508474,1.0,8,,A
603607.SH,京华激光,造纸,造纸,20260313,U,24.55,24.55,20.09,0.0,36246111.0,93520,93520,36246111.0,9.991,234229.313,96133.84,24.55,10.5553,10.5553,,438258.744,3.49,,1.0,36246111.0,U,24.55,20.09,93520,93520,24.55,20.09,36246111.0,0.0,,68.457627,68.457627,0.711864406779661,0.8135593220338984,0.711864406779661,0.22033898305084745,0.5084745762711864,0.7627118644067796,0.3305084745762712,1.0,8,,A
600746.SH,江苏索普,化工原料,化工原料,20260313,U,9.26,9.26,7.58,1.0,15322522.0,132622,135507,15322522.0,9.9762,470444.139,525315.29,9.26,18.15,18.15,,1081422.5106,2.29,,1.0,15322522.0,U,9.26,7.58,132622,135507,9.26,7.58,15322522.0,1.0,,67.779661,67.779661,0.847457627118644,0.5932203389830508,0.3559322033898305,0.5338983050847458,0.5084745762711864,0.9661016949152542,0.7203389830508474,1.0,8,,A
002109.SZ,兴化股份,化工原料,化工原料,20260313,U,5.18,5.18,4.24,1.0,33441422.0,93200,100521,33441422.0,9.9788,475782.635,937480.54,5.18,17.175,17.175,,661107.7828,1.13,,1.0,33441422.0,U,5.18,4.24,93200,100521,5.18,4.24,33441422.0,1.0,,67.067797,67.067797,0.8305084745762712,0.576271186440678,0.3728813559322034,0.8135593220338984,0.5084745762711864,0.7796610169491526,0.7203389830508474,1.0,8,,A
