ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000029.SZ,深深房Ａ,区域地产,区域地产,20260511,U,24.08,24.08,19.7,0,89477595.0,133406,133406,89477595.0
000062.SZ,深圳华强,元器件,元器件,20260511,U,39.09,39.09,31.99,0,237214303.0,101648,101648,237214303.0
000425.SZ,徐工机械,工程机械,工程机械,20260511,U,10.97,10.97,8.97,2,49952805.0,94357,132124,49952805.0
000636.SZ,风华高科,元器件,元器件,20260511,U,28.46,28.46,23.28,3,100778510.0,93812,94151,100778510.0
000672.SZ,上峰水泥,水泥,水泥,20260511,U,15.62,15.62,12.78,1,70665332.0,104842,130142,70665332.0
000712.SZ,锦龙股份,证券,证券,20260511,U,11.41,11.41,9.33,0,80489494.0,140533,140533,80489494.0
000739.SZ,普洛药业,化学制药,化学制药,20260511,U,19.27,19.27,15.77,0,76639102.0,140439,140439,76639102.0
000791.SZ,甘肃能源,水力发电,水力发电,20260511,U,10.12,10.12,8.28,3,61831246.0,94839,102357,61831246.0
000811.SZ,冰轮环境,工程机械,工程机械,20260511,U,28.91,28.91,23.65,0,108289169.0,101351,101351,108289169.0
000922.SZ,佳电股份,电气设备,电气设备,20260511,U,17.08,17.08,13.98,1,66796190.0,112609,130018,66796190.0
001207.SZ,联科科技,化工原料,化工原料,20260511,U,19.84,19.84,16.24,0,66396147.0,145309,145309,66396147.0
001211.SZ,双枪科技,家居用品,家居用品,20260511,U,48.68,48.68,39.83,1,17802276.0,112215,130321,17802276.0
001221.SZ,悍高集团,家居用品,家居用品,20260511,U,63.53,63.53,51.98,0,52233095.0,103803,103803,52233095.0
001259.SZ,利仁科技,家用电器,家用电器,20260511,U,41.32,41.32,33.8,0,24808073.0,93827,93827,24808073.0
001331.SZ,胜通能源,供气供热,供气供热,20260511,U,54.99,54.99,44.99,0,105630291.0,93424,93424,105630291.0
001389.SZ,广合科技,元器件,元器件,20260511,U,190.3,190.3,155.7,14,21827410.0,132912,140330,21827410.0
002008.SZ,大族激光,专用机械,专用机械,20260511,U,134.27,134.27,109.85,7,40307719.0,133842,145033,40307719.0
002030.SZ,达安基因,医疗保健,医疗保健,20260511,U,7.3,7.3,5.98,0,97548388.0,131148,131148,97548388.0
002066.SZ,瑞泰科技,其他建材,其他建材,20260511,U,25.66,25.66,21.0,0,53893698.0,100033,100033,53893698.0
002108.SZ,沧州明珠,塑料,塑料,20260511,U,6.44,6.44,5.27,1,118407920.0,93003,93100,118407920.0
002124.SZ,天邦食品,农业综合,农业综合,20260511,U,2.84,2.84,2.32,1,51741332.0,94712,110654,51741332.0
