ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
000021.SZ,深科技,消费电子,消费电子,1→2,1.0,1→2,20260709,U,56.24,56.24,46.02,0,539787864.0,130427,130427,1/1,11.72,10109407232.0,88530509819.2,88542556202.24,539787864.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000417.SZ,合百集团,一般零售,一般零售,1→2,1.0,1→2,20260709,U,8.24,8.24,6.74,0,88539055.0,93212,93212,1/1,3.83,242352483.0,6419186196.24,6426245873.92,88539055.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000672.SZ,上峰材料,水泥,水泥,1→2,1.0,1→2,20260709,U,21.8,21.8,17.84,4,89443220.0,133842,135803,1/1,3.99,819350688.0,21132820810.0,21132820940.8,89443220.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000811.SZ,冰轮环境,通用设备,通用设备,1→2,1.0,1→2,20260709,U,55.11,55.11,45.09,1,146256263.0,135209,135309,1/1,5.45,2817008992.0,53919385979.91,54695461698.24,146256263.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000887.SZ,中鼎股份,汽车零部件,汽车零部件,1→2,1.0,1→2,20260709,U,18.8,18.8,15.38,1,106426800.0,105109,105539,1/1,4.58,1102254928.0,24710167430.4,24750007187.2,106426800.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000892.SZ,欢瑞世纪,影视院线,影视院线,1→2,1.0,1→2,20260709,U,3.82,3.82,3.12,3,26565044.0,94230,110800,3/6,17.12,458480032.0,2715395254.28,3747345433.6,26565044.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000977.SZ,浪潮信息,计算机设,计算机设,2→3,2.0,2→3,20260709,U,85.99,85.99,70.35,2,917382767.0,93833,100721,2/2,14.87,18533723904.0,126132866825.96,126274307649.44,917382767.0,0.92,0.015,0.35,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001395.SZ,亚联机械,专用设备,专用设备,1→2,1.0,1→2,20260709,U,26.03,26.03,21.29,0,69347928.0,92500,92500,1/1,1.21,16365738.0,1353729195.0,2952114360.0,69347928.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002067.SZ,景兴纸业,造纸,造纸,1→2,1.0,1→2,20260709,U,4.05,4.05,3.31,1,47833788.0,93054,94215,1/1,6.12,329070096.0,5417295604.65,5973158116.8,47833788.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002156.SZ,通富微电,半导体,半导体,1→2,1.0,1→2,20260709,U,72.17,72.17,59.05,5,225359052.0,133839,134603,1/1,10.76,11338611200.0,109514526861.74,109524969139.04,225359052.0,0.78,0.035,0.16,limit_list_d,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.55,0.0,,0.0,,1,,1,,1,,1,,0.5,1,,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,,,,missing_stock,missing_stock,stock not covered by intraday_features.csv,1,ok,0.6900000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
