ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
000506.SZ,招金黄金,贵金属,贵金属,1→2,1.0,1→2,20260708,U,13.42,13.42,10.98,0,109402524.0,100027,100027,3/5,5.43,644917152.0,12463247416.62,12467418339.2,109402524.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,10:01:00,15:00:00,1,0.0,1.5648,0,,0.0,55.611,12.7888,4.9355,0.020379,0.0,0.0,31,0.0,57.0,1.0,1.0,neutral_limitup,1.0,000506.SZ,0,67.3333,0,10.2,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,000506.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000524.SZ,岭南控股,旅游及景,旅游及景,1→2,1.0,1→2,20260708,U,9.85,9.85,8.06,0,156458375.0,92500,92500,1/1,0.46,30278043.0,6599178279.3,6601554631.2,156458375.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,9.85,0.0,0.069358,0.0,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,000524.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,000524.SZ,ok,ok,,0.0,missing_stock,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000759.SZ,中百集团,一般零售,一般零售,1→2,1.0,1→2,20260708,U,6.48,6.48,5.3,0,113267743.0,95030,95030,1/1,9.76,401702992.0,4248975042.0,4292764024.32,113267743.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,09:51:00,15:00:00,1,0.0,1.2346,0,,0.0,57.5926,6.2787,3.2058,0.01402,0.0,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,000759.SZ,0,73.7778,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,000759.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000948.SZ,南天信息,软件开发,软件开发,1→2,1.0,1→2,20260708,U,12.72,12.72,10.4,0,74547035.0,104224,104224,1/1,2.72,129341275.0,4949978981.52,4959385128.96,74547035.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,10:43:00,15:00:00,1,0.0,0.9434,0,,0.0,59.3396,12.227,4.0324,0.017241,0.0,0.0,31,0.0,57.0,1.0,1.0,neutral_limitup,1.0,000948.SZ,0,68.4519,0,10.2,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,000948.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000977.SZ,浪潮信息,计算机设,计算机设,1→2,1.0,1→2,20260708,U,78.17,78.17,63.95,0,3453244642.0,92500,92500,1/1,2.78,3193011088.0,114662242118.68,114790820199.52,3453244642.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,78.17,0.0,0.038894,0.0,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,000977.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,000977.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001207.SZ,联科科技,橡胶,橡胶,1→2,1.0,1→2,20260708,U,16.28,16.28,13.32,1,57399014.0,95657,105124,1/1,4.72,220010888.0,4763887657.76,4935082472.32,57399014.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,09:57:00,15:00:00,2,1.0,3.8698,1,52.0,20.0,36.7813,15.9301,2.1962,0.016384,0.0,0.0,31,0.0,64.0,1.0,1.0,neutral_limitup,1.0,001207.SZ,0,64.8344,0,33.1,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260708,intraday_refine_v2,001207.SZ,ok,ok,,1.0,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001208.SZ,华菱线缆,电网设备,电网设备,1→2,1.0,1→2,20260708,U,14.85,14.85,12.15,0,138109455.0,92500,92500,1/1,2.2,104153445.0,4733194806.45,9479503915.2,138109455.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,14.85,0.0,0.11027,0.0,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,001208.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,001208.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001229.SZ,魅视科技,计算机设,计算机设,2→3,2.0,2→3,20260708,U,42.7,42.7,34.94,0,80468747.0,92500,92500,4/8,1.53,48254672.0,3149176453.5,6124550670.0,80468747.0,0.92,0.015,0.35,limit_list_d,20260708,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,42.7,0.0,0.030122,0.0,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,001229.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,001229.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001365.SZ,天海电子,汽车零部件,汽车零部件,2→3,2.0,2→3,20260708,U,47.81,47.81,39.11,0,130937247.0,130724,130724,3/6,36.69,973310976.0,2749344935.26,25100250000.0,130937247.0,0.92,0.015,0.35,limit_list_d,20260708,1min,241,1,13:08:00,15:00:00,1,0.0,1.2968,0,,0.0,57.2192,46.1284,3.6455,0.006545,0.0,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,001365.SZ,0,62.4158,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,001365.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002152.SZ,广电运通,计算机设,计算机设,1→2,1.0,1→2,20260708,U,10.08,10.08,8.24,0,122720774.0,131906,131906,1/1,1.82,438922368.0,25019907827.04,25032499591.68,122720774.0,0.78,0.035,0.16,limit_list_d,20260708,1min,241,1,13:20:00,15:00:00,1,0.0,0.6944,0,,0.0,60.8333,9.7362,3.5307,0.019933,0.0,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,002152.SZ,0,63.5,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260708,intraday_refine_v2,002152.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
