ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
002963.SZ,豪尔赛,装修装饰,20260608,17.74,9.9814,46927.529,27190.0,2.2107,,266738.5158,0.89,,1.0,U,17.74,14.52,0.0,25465770.0,93639,93639,0.0,85.754386,85.754386,9,,A,0.8421052631578947,0.9824561403508771,0.9473684210526315,0.8070175438596491,0.5087719298245614,0.9649122807017544,0.2982456140350877,1.0
601588.SH,北辰实业,区域地产,20260608,2.22,9.901,251622.609,1164992.85,4.3797,,747478.44,1.22,,1.0,U,2.22,1.82,0.0,29282244.0,95735,95735,0.0,80.315789,80.315789,9,,A,1.0,0.7543859649122807,0.8421052631578947,0.7017543859649122,0.5087719298245614,0.8947368421052632,0.2982456140350877,1.0
000517.SZ,荣安地产,区域地产,20260608,2.33,9.9057,132389.378,592701.9,2.3784,,741853.939,1.5,31708858.0,1.0,U,2.33,1.91,0.0,55423570.0,93321,93321,0.0,79.368421,79.368421,9,,A,0.9824561403508771,0.8947368421052632,0.9122807017543859,0.6052631578947368,0.5087719298245614,0.6140350877192983,0.2982456140350877,1.0
603616.SH,韩建河山,水泥,20260608,6.63,9.9502,59332.102,89490.35,2.3287,,256725.534,0.33,,1.0,U,6.63,5.43,0.0,169728430.0,92505,92505,0.0,76.807018,76.807018,9,,A,0.9649122807017544,0.9649122807017544,0.9298245614035088,1.0,0.5087719298245614,0.10526315789473684,0.2982456140350877,1.0
001238.SZ,浙江正特,家居用品,20260608,31.12,10.0035,44914.288,14984.6,1.0325,,482820.576,2.9,,1.0,U,31.12,25.46,0.0,30829339.0,130548,130548,0.0,76.210526,76.210526,9,,A,0.5614035087719298,1.0,1.0,0.2982456140350877,0.5087719298245614,0.8421052631578947,0.2982456140350877,1.0
603877.SH,太平鸟,服饰,20260608,14.06,10.0156,71773.047,53128.41,1.132,,662332.4834,1.16,,1.0,U,14.06,11.5,0.0,47647934.0,102539,102539,0.0,74.982456,74.982456,9,,A,0.49122807017543857,0.9473684210526315,0.9824561403508771,0.7192982456140351,0.5087719298245614,0.7017543859649122,0.2982456140350877,1.0
600539.SH,狮头股份,互联网,20260608,15.4,10.0,208263.454,140081.0,6.0905,,354200.0,0.92,,1.0,U,15.4,12.6,0.0,49415520.0,104116,104116,0.0,68.982456,68.982456,9,,A,0.6666666666666666,0.7894736842105263,0.631578947368421,0.7894736842105263,0.5087719298245614,0.6842105263157895,0.2982456140350877,1.0
603823.SH,百合花,染料涂料,20260608,32.58,9.9932,830337.245,265242.99,6.3704,,1356525.9796,1.15,39500573.2,1.0,U,32.58,26.66,4.0,23111176.0,105357,132557,4.0,68.192982,68.192982,9,,A,0.7719298245614035,0.3333333333333333,0.5789473684210527,0.7368421052631579,0.5087719298245614,0.9824561403508771,0.9035087719298246,1.0
603206.SH,嘉环科技,通信设备,20260608,17.0,10.0324,102227.213,61283.0,2.008,,518839.9796,0.73,31742887.0,1.0,U,17.0,13.91,0.0,104346000.0,93530,93530,0.0,68.070175,68.070175,9,,A,0.38596491228070173,0.9298245614035088,0.9649122807017544,0.9122807017543859,0.5087719298245614,0.2807017543859649,0.2982456140350877,1.0
002362.SZ,汉王科技,软件服务,20260608,17.89,10.0246,167527.505,97396.2,4.6917,,437329.3617,2.51,,1.0,U,17.89,14.63,0.0,44302438.0,110533,110533,0.0,66.666667,66.666667,9,,A,0.45614035087719296,0.8596491228070176,0.7894736842105263,0.3508771929824561,0.5087719298245614,0.7368421052631579,0.2982456140350877,1.0
