ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
002445.SZ,中南文化,钢加工,钢加工,20260312,U,4.08,4.08,3.34,0.0,482047675.0,92500,92500,482047675.0,9.973,47724.005,116970.6,0.7855,0.7855,,969655.8726,0.25,29992853.0,1,482047675.0,482047675.0,0.8653846153846154,1.0,1.0,1.0,0.5096153846153846,0.5096153846153846,0.05,0.0,88.846154
603281.SH,江瀚新材,化工原料,化工原料,20260312,U,32.81,32.81,26.85,0.0,41729070.0,130441,130441,41729070.0,9.9899,235221.952,74051.28,2.8798,2.8798,,1224906.6689,2.54,,1,41729070.0,41729070.0,0.7307692307692307,0.9038461538461539,0.9807692307692307,0.2692307692307692,0.5096153846153846,0.5096153846153846,0.05,0.0,77.692308
600935.SH,华塑股份,化工原料,化工原料,20260312,U,3.31,3.31,2.71,1.0,14985032.0,100225,131022,14985032.0,9.9668,409537.665,1265426.75,10.0333,10.0333,,1189858.2965,1.9,,1,14985032.0,14985032.0,0.9038461538461539,0.7692307692307693,0.7692307692307693,0.46153846153846156,0.5096153846153846,0.5096153846153846,0.05,0.0,74.615385
603978.SH,深圳新星,小金属,小金属,20260312,U,27.52,27.52,22.52,0.0,215405011.0,93440,93440,215405011.0,9.992,297041.449,109167.83,8.1614,8.1614,,580931.5108,1.91,,1,215405011.0,215405011.0,0.7115384615384616,0.8269230769230769,0.8653846153846154,0.4423076923076923,0.5096153846153846,0.5096153846153846,0.05,0.0,74.423077
001260.SZ,坤泰股份,汽车配件,汽车配件,20260312,U,24.53,24.53,20.07,0.0,59009368.0,94742,94742,59009368.0,10.0,86447.769,35685.0,11.2394,11.2394,,282095.0,1.99,,1,59009368.0,59009368.0,0.6153846153846154,0.9807692307692307,0.7307692307692307,0.4230769230769231,0.5096153846153846,0.5096153846153846,0.05,0.0,73.846154
000593.SZ,德龙汇能,供气供热,供气供热,20260312,U,15.65,15.65,12.81,0.0,113564256.0,101918,101918,113564256.0,9.9789,450433.209,295510.11,12.8727,12.8727,,561257.5291,1.31,,1,113564256.0,113564256.0,0.8269230769230769,0.7307692307692307,0.6153846153846154,0.7115384615384616,0.5096153846153846,0.5096153846153846,0.05,0.0,71.153846
000553.SZ,安道麦A,农药化肥,农药化肥,20260312,U,6.8,6.8,5.56,0.0,34507960.0,101706,101706,34507960.0,10.0324,206162.152,312900.12,8.9673,8.9673,,1584272.0009,2.03,,1,34507960.0,34507960.0,0.34615384615384615,0.9423076923076923,0.8076923076923077,0.3942307692307692,0.5096153846153846,0.5096153846153846,0.05,0.0,69.307692
600726.SH,华电能源,火力发电,火力发电,20260312,U,3.88,3.88,3.18,0.0,107597374.0,93507,93507,107597374.0,9.915,690390.832,1818777.66,17.3753,17.3753,,3068046.4495,1.04,,1,107597374.0,107597374.0,0.9615384615384616,0.5769230769230769,0.4230769230769231,0.8846153846153846,0.5096153846153846,0.5096153846153846,0.05,0.0,67.115385
002951.SZ,金时科技,广告包装,广告包装,20260312,U,17.24,17.24,14.1,0.0,42125940.0,93748,93748,42125940.0,10.0191,191747.528,113964.14,16.8111,16.8111,,698220.0,1.33,,1,42125940.0,42125940.0,0.46153846153846156,0.9615384615384616,0.4423076923076923,0.6923076923076923,0.5096153846153846,0.5096153846153846,0.05,0.0,66.961538
600691.SH,潞化科技,农药化肥,农药化肥,20260312,U,4.03,4.03,3.29,1.0,48788485.0,93031,93125,48788485.0,10.1093,394341.132,982117.22,8.3258,8.3258,,957520.7267,0.81,80816167.31,1,48788485.0,48788485.0,0.15384615384615385,0.7884615384615384,0.8269230769230769,0.9807692307692307,0.5096153846153846,0.5096153846153846,0.05,0.0,66.923077
