ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
000420.SZ,吉林化纤,化纤,化纤,20260312,U,5.02,5.02,4.1,0.0,202258611.0,92500,92500,202258611.0,10.0877,495630.609,987311.97,5.0534,5.0534,,1234351.9082,1.26,,1,202258611.0,202258611.0,0.19230769230769232,0.7115384615384616,0.9615384615384616,0.7884615384615384,0.5096153846153846,0.5096153846153846,0.05,0.0,66.769231
603626.SH,科森科技,元器件,元器件,20260312,U,24.37,24.37,19.94,1.0,132296419.0,93407,93631,132296419.0,10.0226,704706.636,292920.85,7.4971,7.4971,,1352241.8045,0.87,,1,132296419.0,132296419.0,0.4230769230769231,0.5576923076923077,0.8846153846153846,0.9230769230769231,0.5096153846153846,0.5096153846153846,0.05,0.0,66.461538
002869.SZ,金溢科技,通信设备,通信设备,20260312,U,24.15,24.15,19.76,0.0,151942381.0,141215,141215,151942381.0,10.0228,279700.409,120183.8,9.8285,9.8285,,427249.7033,4.65,,1,151942381.0,151942381.0,0.40384615384615385,0.8461538461538461,0.7884615384615384,0.11538461538461539,0.5096153846153846,0.5096153846153846,0.05,0.0,65.230769
600868.SH,梅雁吉祥,水力发电,水力发电,20260312,U,4.33,4.33,3.55,0.0,99084714.0,94149,94149,99084714.0,9.8985,846547.975,2009712.95,11.4017,11.4017,,821898.378,2.03,,1,99084714.0,99084714.0,1.0,0.40384615384615385,0.7115384615384616,0.3942307692307692,0.5096153846153846,0.5096153846153846,0.05,0.0,65.153846
603992.SH,松霖科技,家居用品,家居用品,20260312,U,32.18,32.18,26.33,0.0,78792923.0,144419,144419,78792923.0,10.0171,334868.123,109903.04,12.2366,12.2366,,1394113.696,2.13,,1,78792923.0,78792923.0,0.4807692307692308,0.8076923076923077,0.6538461538461539,0.3269230769230769,0.5096153846153846,0.5096153846153846,0.05,0.0,64.615385
002254.SZ,泰和新材,化纤,化纤,20260312,U,13.81,13.81,11.3,1.0,42889703.0,92500,101009,42889703.0,10.0398,502711.325,364246.76,6.7189,6.7189,,1183595.9697,1.69,,1,42889703.0,42889703.0,0.28846153846153844,0.6730769230769231,0.9038461538461539,0.5480769230769231,0.5096153846153846,0.5096153846153846,0.05,0.0,64.423077
603507.SH,振江股份,电气设备,电气设备,20260312,U,38.87,38.87,31.81,0.0,50267461.0,131221,131221,50267461.0,9.9887,721297.953,194545.16,14.3321,14.3321,,716379.1803,1.69,,1,50267461.0,50267461.0,0.7692307692307693,0.5384615384615384,0.5384615384615384,0.5480769230769231,0.5096153846153846,0.5096153846153846,0.05,0.0,62.269231
002150.SZ,正泰电源,机械基件,机械基件,20260312,U,32.65,32.65,26.71,1.0,61396692.0,93124,93724,61396692.0,10.0067,744829.142,231359.63,12.6233,12.6233,,1178236.6418,1.21,174265317.2,1,61396692.0,61396692.0,0.5576923076923077,0.5,0.6346153846153846,0.8076923076923077,0.5096153846153846,0.5096153846153846,0.05,0.0,61.461538
002652.SZ,扬子新材,其他建材,其他建材,20260312,U,5.37,5.37,4.39,0.0,35058259.0,141506,141506,35058259.0,10.041,275078.573,544194.65,15.1813,15.1813,,274978.368,1.73,,1,35058259.0,35058259.0,0.2692307692307692,0.8653846153846154,0.5,0.5192307692307693,0.5096153846153846,0.5096153846153846,0.05,0.0,60.769231
601991.SH,大唐发电,火力发电,火力发电,20260312,U,4.58,4.58,3.74,0.0,209172644.0,93533,93533,209172644.0,10.0962,764848.807,1707456.78,5.0839,5.0839,,8476073.4108,1.08,122356427.85,1,209172644.0,209172644.0,0.17307692307692307,0.4807692307692308,0.9423076923076923,0.8653846153846154,0.5096153846153846,0.5096153846153846,0.05,0.0,60.653846
301068.SZ,大地海洋,环境保护,环境保护,20260312,U,35.16,35.16,23.44,2.0,3612303.0,135406,145633,3612303.0,20.0,225135.886,67787.99,10.2156,10.2156,,496866.1489,7.31,504361.91,1,3612303.0,3612303.0,0.0673076923076923,0.9230769230769231,0.75,0.057692307692307696,0.5096153846153846,0.5096153846153846,0.05,0.0,59.942308
605305.SH,中际联合,工程机械,工程机械,20260312,U,42.58,42.58,34.84,0.0,112462083.0,140907,140907,112462083.0,9.9974,729044.762,178449.22,11.6697,11.6697,,904910.16,4.17,,1,112462083.0,112462083.0,0.6923076923076923,0.5192307692307693,0.6730769230769231,0.15384615384615385,0.5096153846153846,0.5096153846153846,0.05,0.0,59.923077
600370.SH,三房巷,化工原料,化工原料,20260312,U,2.48,2.48,2.03,1.0,83785312.0,92502,93444,83785312.0,10.2222,258764.608,1043436.5,14.3088,14.3088,,966376.8178,1.82,54583560.0,1,83785312.0,83785312.0,0.11538461538461539,0.8846153846153846,0.5576923076923077,0.4807692307692308,0.5096153846153846,0.5096153846153846,0.05,0.0,59.346154
002487.SZ,大金重工,电气设备,电气设备,20260312,U,73.32,73.32,59.99,0.0,95790747.0,132127,132127,95790747.0,10.0075,1641388.98,234328.73,6.1243,6.1243,,4675978.2269,1.27,-2900852.7,1,95790747.0,95790747.0,0.5384615384615384,0.21153846153846154,0.9230769230769231,0.7692307692307693,0.5096153846153846,0.5096153846153846,0.05,0.0,59.076923
601038.SH,一拖股份,农用机械,农用机械,20260312,U,15.82,15.82,12.94,0.0,130931841.0,130211,130211,130931841.0,10.0139,427316.834,279780.52,15.2702,15.2702,,1777606.8251,3.22,,1,130931841.0,130931841.0,0.5,0.75,0.4807692307692308,0.19230769230769232,0.5096153846153846,0.5096153846153846,0.05,0.0,58.923077
603693.SH,江苏新能,新型电力,新型电力,20260312,U,15.42,15.42,12.62,0.0,46339705.0,131740,131740,46339705.0,9.9857,546478.347,371376.5,26.1521,26.1521,,1374655.807,2.66,,1,46339705.0,46339705.0,0.8076923076923077,0.6538461538461539,0.28846153846153844,0.23076923076923078,0.5096153846153846,0.5096153846153846,0.05,0.0,58.423077
603092.SH,德力佳,机械基件,机械基件,20260312,U,73.82,73.82,60.4,4.0,19370368.0,130955,144149,19370368.0,9.9985,502504.403,69841.96,20.878,20.878,,2952800.7382,4.61,,1,19370368.0,19370368.0,0.6730769230769231,0.6923076923076923,0.38461538461538464,0.1346153846153846,0.5096153846153846,0.5096153846153846,0.05,0.0,58.153846
603077.SH,和邦生物,化工原料,化工原料,20260312,U,3.33,3.33,2.73,3.0,80983062.0,95308,134702,80983062.0,9.901,2540290.312,7814625.87,13.1764,13.1764,,2940901.8969,1.81,,1,80983062.0,80983062.0,0.9807692307692307,0.17307692307692307,0.5769230769230769,0.5,0.5096153846153846,0.5096153846153846,0.05,0.0,56.961538
000600.SZ,建投能源,火力发电,火力发电,20260312,U,10.7,10.7,8.76,0.0,93425980.0,134145,134145,93425980.0,9.9692,1065117.985,1034859.37,16.8095,16.8095,,1929460.7823,2.57,-64804423.6,1,93425980.0,93425980.0,0.8846153846153846,0.3076923076923077,0.46153846153846156,0.25,0.5096153846153846,0.5096153846153846,0.05,0.0,54.423077
000537.SZ,绿发电力,新型电力,新型电力,20260312,U,12.51,12.51,10.23,0.0,280453333.0,93157,93157,280453333.0,10.0264,913512.539,741002.31,11.423,11.423,,2585319.5424,1.41,-738101.63,1,280453333.0,280453333.0,0.36538461538461536,0.36538461538461536,0.6923076923076923,0.6153846153846154,0.5096153846153846,0.5096153846153846,0.05,0.0,54.115385
600188.SH,兖矿能源,煤炭开采,煤炭开采,20260312,U,22.17,22.17,18.14,2.0,84326787.0,102658,132846,84326787.0,10.0248,2706121.946,1253740.8,8.201,8.201,,22253094.366,1.12,,1,84326787.0,84326787.0,0.38461538461538464,0.15384615384615385,0.8461538461538461,0.8461538461538461,0.5096153846153846,0.5096153846153846,0.05,0.0,53.884615
000990.SZ,诚志股份,化工原料,化工原料,20260312,U,9.78,9.78,8.0,1.0,81286157.0,94242,111739,81286157.0,10.0112,821062.063,848519.19,13.0761,13.0761,,1188502.3092,2.23,,1,81286157.0,81286157.0,0.5192307692307693,0.4230769230769231,0.5961538461538461,0.28846153846153844,0.5096153846153846,0.5096153846153846,0.05,0.0,53.846154
002498.SZ,汉缆股份,电气设备,电气设备,20260312,U,10.38,10.38,8.5,0.0,267705639.0,95727,95727,267705639.0,9.9576,2808565.166,2808843.98,25.2506,25.2506,,3453214.248,0.85,500898367.9,1,267705639.0,267705639.0,0.9230769230769231,0.1346153846153846,0.3076923076923077,0.9423076923076923,0.5096153846153846,0.5096153846153846,0.05,0.0,53.076923
600714.SH,金瑞矿业,化工原料,化工原料,20260312,U,23.79,23.79,19.47,8.0,12125763.0,130030,143251,12125763.0,9.9861,1319242.421,574942.97,30.8024,30.8024,,685571.3535,1.18,,1,12125763.0,12125763.0,0.7884615384615384,0.2692307692307692,0.21153846153846154,0.8269230769230769,0.5096153846153846,0.5096153846153846,0.05,0.0,51.307692
600703.SH,三安光电,半导体,半导体,20260312,U,18.74,18.74,15.34,1.0,352746037.0,94929,135626,352746037.0,9.9765,7968259.055,4354188.44,14.7642,14.7642,,9349421.0944,1.62,,1,352746037.0,352746037.0,0.8461538461538461,0.038461538461538464,0.5192307692307693,0.5769230769230769,0.5096153846153846,0.5096153846153846,0.05,0.0,50.5
600844.SH,金煤科技,化工原料,化工原料,20260312,U,3.94,3.94,3.22,4.0,19815048.0,100908,141220,19815048.0,10.0559,619476.622,1609675.67,27.4242,27.4242,,400510.5506,1.34,,1,19815048.0,19815048.0,0.23076923076923078,0.6346153846153846,0.25,0.6730769230769231,0.5096153846153846,0.5096153846153846,0.05,0.0,50.307692
601015.SH,陕西黑猫,焦炭加工,焦炭加工,20260312,U,5.17,5.17,4.23,0.0,251853091.0,130220,130220,251853091.0,10.0,1011184.566,2036223.66,26.7705,26.7705,,1055971.2794,1.28,,1,251853091.0,251853091.0,0.6153846153846154,0.3269230769230769,0.2692307692307692,0.75,0.5096153846153846,0.5096153846153846,0.05,0.0,50.230769
600121.SH,郑州煤电,煤炭开采,煤炭开采,20260312,U,5.14,5.14,4.2,0.0,190812112.0,110459,110459,190812112.0,10.0642,682120.283,1376476.39,23.4905,23.4905,,626263.7875,2.19,40042808.02,1,190812112.0,190812112.0,0.21153846153846154,0.6153846153846154,0.36538461538461536,0.3076923076923077,0.5096153846153846,0.5096153846153846,0.05,0.0,48.846154
601016.SH,节能风电,新型电力,新型电力,20260312,U,4.43,4.43,3.63,6.0,217451290.0,93829,130232,217451290.0,9.9256,3470422.993,7924298.41,23.8893,23.8893,,2853088.6457,2.11,295158690.87,1,217451290.0,217451290.0,0.9423076923076923,0.11538461538461539,0.3269230769230769,0.34615384615384615,0.5096153846153846,0.5096153846153846,0.05,0.0,48.538462
601969.SH,海南矿业,普钢,普钢,20260312,U,13.42,13.42,10.98,2.0,16103261.0,95627,145343,16103261.0,10.0,1368213.789,1041824.32,23.6584,23.6584,,2673172.4098,1.38,,1,16103261.0,16103261.0,0.6153846153846154,0.23076923076923078,0.34615384615384615,0.6538461538461539,0.5096153846153846,0.5096153846153846,0.05,0.0,48.5
000890.SZ,法尔胜,环境保护,环境保护,20260312,U,10.08,10.08,8.24,3.0,46265214.0,94236,104645,46265214.0,10.0437,819943.558,834597.16,33.3782,33.3782,,422859.9997,0.83,,1,46265214.0,46265214.0,0.25,0.4423076923076923,0.15384615384615385,0.9615384615384616,0.5096153846153846,0.5096153846153846,0.05,0.0,46.038462
603527.SH,众源新材,铜,铜,20260312,U,12.39,12.39,10.13,4.0,18100798.0,110350,140305,18100798.0,10.0355,682666.415,562113.28,28.7314,28.7314,,392727.3168,8.75,,1,18100798.0,18100798.0,0.3269230769230769,0.5961538461538461,0.23076923076923078,0.038461538461538464,0.5096153846153846,0.5096153846153846,0.05,0.0,45.576923
600956.SH,新天绿能,供气供热,供气供热,20260312,U,9.46,9.46,7.74,2.0,12290432.0,134557,145633,12290432.0,10.0,863155.42,940570.64,32.5179,32.5179,,4269007.6471,3.02,,1,12290432.0,12290432.0,0.6153846153846154,0.38461538461538464,0.17307692307692307,0.21153846153846154,0.5096153846153846,0.5096153846153846,0.05,0.0,45.5
600722.SH,金牛化工,化工原料,化工原料,20260312,U,15.4,15.4,12.6,3.0,48526016.0,102923,134120,48526016.0,10.0,2440938.778,1632452.16,54.5867,54.5867,,1047692.301,0.98,78927881.1,1,48526016.0,48526016.0,0.6153846153846154,0.19230769230769232,0.019230769230769232,0.9038461538461539,0.5096153846153846,0.5096153846153846,0.05,0.0,42.961538
002015.SZ,协鑫能科,新型电力,新型电力,20260312,U,21.36,21.36,17.48,9.0,241845695.0,100315,130454,241845695.0,9.9897,7252100.668,3475722.12,41.1958,41.1958,,3467421.3755,1.61,-632956037.98,1,241845695.0,241845695.0,0.75,0.057692307692307696,0.07692307692307693,0.5961538461538461,0.5096153846153846,0.5096153846153846,0.05,0.0,40.576923
600821.SH,金开新能,新型电力,新型电力,20260312,U,10.87,10.87,8.89,0.0,231912656.0,131046,131046,231912656.0,10.0202,4826750.574,4690316.24,31.0361,31.0361,,2171025.3734,1.3,,1,231912656.0,231912656.0,0.4423076923076923,0.07692307692307693,0.19230769230769232,0.7307692307692307,0.5096153846153846,0.5096153846153846,0.05,0.0,38.923077
601330.SH,绿色动力,环境保护,环境保护,20260312,U,9.21,9.21,7.53,14.0,18208869.0,93335,131820,18208869.0,10.0358,995343.341,1096485.69,35.2859,35.2859,,1317568.2895,5.71,-8668351.97,1,18208869.0,18208869.0,0.3076923076923077,0.34615384615384615,0.11538461538461539,0.09615384615384616,0.5096153846153846,0.5096153846153846,0.05,0.0,36.884615
688295.SH,中复神鹰,化纤,化纤,20260312,U,43.25,43.25,28.83,2.0,141733969.0,92503,94039,141733969.0,20.0055,1318114.667,305783.49,19.9012,19.9012,,3892500.0,3.57,58976981.24,1,141733969.0,141733969.0,0.019230769230769232,0.28846153846153844,0.40384615384615385,0.17307692307692307,0.5096153846153846,0.5096153846153846,0.05,0.0,36.576923
301667.SZ,纳百川,汽车配件,汽车配件,20260312,U,79.98,79.98,53.32,2.0,68638756.0,101512,101730,68638756.0,20.0,769277.272,101492.29,45.1188,45.1188,,893133.4608,7.03,140096010.49,1,68638756.0,68638756.0,0.0673076923076923,0.46153846153846156,0.038461538461538464,0.07692307692307693,0.5096153846153846,0.5096153846153846,0.05,0.0,33.865385
301396.SZ,宏景科技,软件服务,软件服务,20260312,U,149.98,149.98,99.98,0.0,51053192.0,143848,143848,51053192.0,20.0032,3671849.869,258375.57,34.3448,34.3448,,2302456.1699,1.4,425037318.18,1,51053192.0,51053192.0,0.038461538461538464,0.09615384615384616,0.1346153846153846,0.6346153846153846,0.5096153846153846,0.5096153846153846,0.05,0.0,30.230769
300690.SZ,双一科技,电气设备,电气设备,20260312,U,37.4,37.4,24.94,4.0,23872420.0,132639,141824,23872420.0,19.9872,1320198.464,369368.01,41.6022,41.6022,,618404.9571,14.24,136163621.89,1,23872420.0,23872420.0,0.09615384615384616,0.25,0.057692307692307696,0.019230769230769232,0.5096153846153846,0.5096153846153846,0.05,0.0,28.807692
601868.SH,中国能建,建筑工程,建筑工程,20260312,U,3.8,3.8,3.11,6.0,30659844.0,133322,145443,30659844.0,10.1449,17458275.094,47846559.47,39.4413,39.4413,,15842642.1817,2.09,98710305.04000002,1,30659844.0,30659844.0,0.1346153846153846,0.019230769230769232,0.09615384615384616,0.36538461538461536,0.5096153846153846,0.5096153846153846,0.05,0.0,27.038462
