ts_code,name,industry,trade_date,close,pct_chg,vol,turnover_rate,circ_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
002451.SZ,摩恩电气,电网设备,20260825,8.13,10.0135,339146.78,7.7228,,2.8,,1.0,U,8.13,6.65,1.0,63191238.0,13:37:00,15:00:00,1.0,59.918033,59.918033,59.918033,0.622928,0.474953,60.392986,1,ok,,20260825,intraday_refine_v2,002451.SZ,1,0.552297,0.133469,0,0.133469,0.0,0.33265700000000004,0.0,0.0,0.2713802435723952,0.5,0.45,1.0,ok,ok,9,,A,0.5737704918032787,0.5081967213114754,0.639344262295082,0.9016393442622951,0.5081967213114754,0.47540983606557374,0.319672131147541,1.0
600172.SH,黄河旋风,通用设备,20260825,13.99,9.9843,1852096.49,14.4334,,0.82,,1.0,U,13.99,11.45,1.0,185911711.0,135018,135530,1.0,59.196721,59.196721,59.196721,0.652783,0.0,59.196721,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.2518867924528299,0.5,0.5,0.0,missing_stock,ok,9,,A,0.19672131147540983,0.5081967213114754,0.9344262295081968,0.16393442622950818,0.5081967213114754,0.9508196721311475,0.319672131147541,1.0
603318.SH,水发燃气,燃气Ⅱ,20260825,10.24,9.9893,745704.03,16.2438,,1.39,,1.0,U,10.24,8.38,2.0,88163624.0,95639,100548,2.0,58.721311,58.721311,58.721311,0.693134,0.0,58.721311,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5208915145005364,0.5,0.5,0.0,missing_stock,ok,9,,A,0.21311475409836064,0.5081967213114754,0.9836065573770492,0.5737704918032787,0.5081967213114754,0.6721311475409836,0.1475409836065574,1.0
000566.SZ,海南海药,化学制药,20260825,4.97,9.9558,1017138.21,7.8438,,0.87,,1.0,U,4.97,4.07,0.0,128748222.0,09:55:00,15:00:00,0.0,52.737705,52.737705,52.737705,0.771518,4.882819,57.620524,1,ok,,20260825,intraday_refine_v2,000566.SZ,1,0.76,0.07,0,0.07,0.0,0.65,0.0,0.0,0.42345132743362895,0.5,0.7,1.0,ok,ok,9,,A,0.04918032786885246,0.5081967213114754,0.6557377049180327,0.18032786885245902,0.5081967213114754,0.8524590163934426,0.7295081967213115,1.0
000070.SZ,特发信息,通信设备,20260825,16.07,9.9932,535899.74,6.2552,,1.19,,1.0,U,16.07,13.15,0.0,121344570.0,10:16:00,15:00:00,0.0,55.032787,55.032787,55.032787,0.661212,2.217683,57.25047,1,ok,,20260825,intraday_refine_v2,000070.SZ,1,0.623093,0.122271,0,0.12227139999999999,0.0,0.388643,0.0,0.0,0.31036960985626316,0.5,0.57,1.0,ok,ok,9,,A,0.29508196721311475,0.5081967213114754,0.47540983606557374,0.3770491803278688,0.5081967213114754,0.819672131147541,0.7295081967213115,1.0
002041.SZ,登海种业,种植业,20260825,11.21,10.0098,848296.52,9.6397,,1.34,167260145.73,1.0,U,11.21,9.17,3.0,8143538.0,09:35:00,15:00:00,3.0,52.196721,52.196721,52.196721,0.759625,4.753156,56.949877,1,ok,,20260825,intraday_refine_v2,002041.SZ,1,0.80656,0.11896,0,0.11896,0.0,0.655201,1.0,0.2,0.44411187438665395,0.5,0.8,1.0,ok,ok,9,,A,0.5573770491803278,0.5081967213114754,0.8032786885245902,0.5163934426229508,0.5081967213114754,0.04918032786885246,0.0983606557377049,1.0
002821.SZ,凯莱英,医疗服务,20260825,172.23,10.0019,170217.41,5.3689,,1.03,-45603661.85,1.0,U,172.23,140.91,0.0,158255257.0,130142,130142,0.0,56.868852,56.868852,56.868852,0.681983,0.0,56.868852,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.44655106342211115,0.5,0.5,0.0,missing_stock,ok,9,,A,0.4918032786885246,0.5081967213114754,0.39344262295081966,0.26229508196721313,0.5081967213114754,0.8688524590163934,0.7295081967213115,1.0
603637.SH,镇海股份,专业工程,20260825,14.03,10.0392,119228.69,4.9952,,1.09,,1.0,U,14.03,11.48,1.0,82260696.0,100128,100304,1.0,56.868852,56.868852,56.868852,0.668382,0.0,56.868852,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.3558823529411768,0.5,0.5,0.0,missing_stock,ok,9,,A,0.819672131147541,0.5081967213114754,0.3770491803278688,0.32786885245901637,0.5081967213114754,0.6065573770491803,0.319672131147541,1.0
002963.SZ,豪尔赛,装修装饰,20260825,20.32,10.0162,109929.0,7.361,,2.05,,1.0,U,20.32,16.62,0.0,9889744.0,132521,132521,0.0,56.639344,56.639344,56.639344,0.682987,0.0,56.639344,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.4532485110990801,0.5,0.5,0.0,missing_stock,ok,9,,A,0.639344262295082,0.5081967213114754,0.5901639344262295,0.8360655737704918,0.5081967213114754,0.08196721311475409,0.7295081967213115,1.0
002947.SZ,恒铭达,消费电子,20260825,59.61,10.0018,119833.31,6.0429,,1.7,,1.0,U,59.61,48.77,2.0,111229577.0,103642,105100,2.0,56.131148,56.131148,56.131148,0.695953,0.0,56.131148,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5396844436242845,0.5,0.5,0.0,missing_stock,ok,9,,A,0.47540983606557374,0.5081967213114754,0.4426229508196721,0.7049180327868853,0.5081967213114754,0.7704918032786885,0.1475409836065574,1.0
000659.SZ,珠海中富,包装印刷,20260825,2.85,10.0386,388654.82,3.0229,,1.42,,1.0,U,2.85,2.33,0.0,27258255.0,14:03:00,15:00:00,0.0,51.52459,51.52459,51.52459,0.738275,4.460582,55.985172,1,ok,,20260825,intraday_refine_v2,000659.SZ,1,0.6475,0.07,0,0.09,0.0,0.65,0.0,0.0,0.42683397683397756,0.5,0.45,1.0,ok,ok,9,,A,0.8032786885245902,0.5081967213114754,0.21311475409836064,0.5901639344262295,0.5081967213114754,0.13114754098360656,0.7295081967213115,1.0
603113.SH,金能科技,化学原料,20260825,5.48,10.0402,355820.85,4.1936,,0.9,20833620.0,1.0,U,5.48,4.48,0.0,61131674.0,94836,94836,0.0,55.459016,55.459016,55.459016,0.664428,0.0,55.459016,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.32951807228915586,0.5,0.5,0.0,missing_stock,ok,9,,A,0.8360655737704918,0.5081967213114754,0.3442622950819672,0.19672131147540983,0.5081967213114754,0.4262295081967213,0.7295081967213115,1.0
600470.SH,六国化工,农化制品,20260825,5.93,10.0186,353463.87,6.7765,,0.96,,1.0,U,5.93,4.85,1.0,78405351.0,93523,93705,1.0,55.393443,55.393443,55.393443,0.687509,0.0,55.393443,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.48339517625231915,0.5,0.5,0.0,missing_stock,ok,9,,A,0.6721311475409836,0.5081967213114754,0.4918032786885246,0.2459016393442623,0.5081967213114754,0.5901639344262295,0.319672131147541,1.0
600785.SH,新华百货,一般零售,20260825,11.78,9.9907,713876.78,22.5993,,7.39,-18180516.62,1.0,U,11.78,9.64,1.0,32046547.0,95650,140008,1.0,54.803279,54.803279,54.803279,0.688382,0.0,54.803279,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.4892156862745083,0.5,0.5,0.0,missing_stock,ok,9,,A,0.22950819672131148,0.5081967213114754,0.8852459016393442,1.0,0.5081967213114754,0.18032786885245902,0.319672131147541,1.0
600984.SH,建设机械,工程机械,20260825,4.94,10.0223,138308.0,1.1003,,0.37,,1.0,U,4.94,4.04,0.0,162802195.0,92502,92502,0.0,54.442623,54.442623,54.442623,0.765,0.0,54.442623,0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7540983606557377,0.5081967213114754,0.06557377049180328,0.04918032786885246,0.5081967213114754,0.9016393442622951,0.7295081967213115,1.0
