ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000029.SZ,深深房Ａ,区域地产,20260129,U,21.97,21.97,17.97,0,112065476.0,95615,95615,112065476.0
000031.SZ,大悦城,全国地产,20260129,U,3.73,3.73,3.05,1,48402956.0,94109,94503,48402956.0
000506.SZ,招金黄金,黄金,20260129,U,28.52,28.52,23.34,9,9588424.0,92500,145012,9588424.0
000554.SZ,泰山石油,石油贸易,20260129,U,8.93,8.93,7.31,7,5347417.0,131303,144824,5347417.0
000560.SZ,我爱我家,房产服务,20260129,U,3.33,3.33,2.73,1,55602112.0,102236,112536,55602112.0
000568.SZ,泸州老窖,白酒,20260129,U,124.23,124.23,101.65,0,196909270.0,140457,140457,196909270.0
000596.SZ,古井贡酒,白酒,20260129,U,138.58,138.58,113.38,2,100741008.0,142633,143636,100741008.0
000607.SZ,华媒控股,广告包装,20260129,U,5.28,5.28,4.32,0,99033786.0,93542,93542,99033786.0
000630.SZ,铜陵有色,铜,20260129,U,9.19,9.19,7.52,1,341280768.0,130112,133230,341280768.0
000737.SZ,北方铜业,铜,20260129,U,20.57,20.57,16.83,0,222279605.0,111224,111224,222279605.0
000799.SZ,酒鬼酒,白酒,20260129,U,56.85,56.85,46.51,3,162340860.0,133409,134500,162340860.0
000813.SZ,德展健康,化学制药,20260129,U,4.17,4.17,3.41,0,133819795.0,93000,93000,133819795.0
000858.SZ,五 粮 液,白酒,20260129,U,110.77,110.77,90.63,0,224410936.0,144439,144439,224410936.0
000863.SZ,三湘印象,区域地产,20260129,U,6.7,6.7,5.48,7,24031560.0,94706,100703,24031560.0
000878.SZ,云南铜业,铜,20260129,U,29.47,29.47,24.11,2,129346777.0,130006,140206,129346777.0
000901.SZ,航天科技,汽车配件,20260129,U,28.09,28.09,22.99,4,121880796.0,105727,135654,121880796.0
000995.SZ,皇台酒业,白酒,20260129,U,14.48,14.48,11.84,0,124355557.0,132630,132630,124355557.0
001316.SZ,润贝航科,批发业,20260129,U,52.4,52.4,42.88,0,157114064.0,93412,93412,157114064.0
001376.SZ,百通能源,供气供热,20260129,U,24.52,24.52,20.06,2,29921756.0,93024,104733,29921756.0
001386.SZ,马可波罗,家居用品,20260129,U,25.7,25.7,21.02,0,87642576.0,130242,130242,87642576.0
002155.SZ,湖南黄金,黄金,20260129,U,33.64,33.64,27.52,0,1983102456.0,92500,92500,1983102456.0
002181.SZ,粤 传 媒,出版业,20260129,U,11.81,11.81,9.67,3,78352323.0,100700,101333,78352323.0
002207.SZ,准油股份,石油开采,20260129,U,11.18,11.18,9.14,0,38769981.0,130254,130254,38769981.0
002259.SZ,升达林业,供气供热,20260129,U,5.69,5.69,4.65,0,62391566.0,130206,130206,62391566.0
002304.SZ,洋河股份,白酒,20260129,U,59.82,59.82,48.94,0,14870235.0,145503,145503,14870235.0
002440.SZ,闰土股份,染料涂料,20260129,U,11.83,11.83,9.68,4,16644005.0,112233,143448,16644005.0
002455.SZ,百川股份,化工原料,20260129,U,8.72,8.72,7.14,5,37201560.0,93000,142148,37201560.0
002646.SZ,天佑德酒,白酒,20260129,U,9.81,9.81,8.03,0,42034888.0,145315,145315,42034888.0
002678.SZ,珠江钢琴,文教休闲,20260129,U,5.63,5.63,4.61,0,37720549.0,105757,105757,37720549.0
002948.SZ,青岛银行,银行,20260129,U,5.09,5.09,4.17,0,92379407.0,105027,105027,92379407.0
002970.SZ,锐明技术,IT设备,20260129,U,60.91,60.91,49.83,13,19850569.0,93033,144436,19850569.0
002995.SZ,天地在线,互联网,20260129,U,31.37,31.37,25.67,1,123051711.0,93127,93230,123051711.0
300063.SZ,天龙集团,互联网,20260129,U,17.17,17.17,11.45,4,,103306,,
300164.SZ,通源石油,石油开采,20260129,U,13.24,13.24,8.82,5,49134964.0,130833,132212,49134964.0
300780.SZ,德恩精工,机械基件,20260129,U,32.71,32.71,21.81,0,152788410.0,134521,134521,152788410.0
300781.SZ,因赛集团,广告包装,20260129,U,54.18,54.18,36.12,2,102662051.0,93942,141527,102662051.0
300975.SZ,商络电子,元器件,20260129,U,16.96,16.96,11.3,1,103580181.0,94936,102651,103580181.0
600059.SH,古越龙山,红黄酒,20260129,U,10.89,10.89,8.91,4,19524833.0,144805,145402,19524833.0
600084.SH,中信尼雅,红黄酒,20260129,U,6.62,6.62,5.42,7,22943596.0,92503,94300,22943596.0
600197.SH,伊力特,白酒,20260129,U,14.77,14.77,12.09,0,8277447.0,145339,145339,8277447.0
600199.SH,金种子酒,白酒,20260129,U,10.3,10.3,8.42,0,96083447.0,140652,140652,96083447.0
600215.SH,派斯林,专用机械,20260129,U,7.96,7.96,6.52,0,91709985.0,95107,95107,91709985.0
600273.SH,嘉化能源,化工原料,20260129,U,12.16,12.16,9.95,0,115964046.0,131001,131001,115964046.0
600339.SH,中油工程,石油开采,20260129,U,4.3,4.3,3.52,1,55579125.0,134052,134322,55579125.0
600392.SH,盛和资源,小金属,20260129,U,30.03,30.03,24.57,0,184006392.0,110317,110317,184006392.0
600499.SH,科达制造,专用机械,20260129,U,16.26,16.26,13.3,3,212555598.0,92504,93810,212555598.0
600531.SH,豫光金铅,铅锌,20260129,U,24.79,24.79,20.29,2,3722491.0,93445,145633,3722491.0
600559.SH,老白干酒,白酒,20260129,U,17.16,17.16,14.04,1,37106046.0,144505,144947,37106046.0
600649.SH,城投控股,区域地产,20260129,U,5.61,5.61,4.59,5,1063751.0,110904,145613,1063751.0
600678.SH,四川金顶,水泥,20260129,U,13.2,13.2,10.8,7,24750000.0,110033,141550,24750000.0
600684.SH,珠江股份,区域地产,20260129,U,4.92,4.92,4.02,2,24581623.0,101750,103311,24581623.0
600702.SH,舍得酒业,白酒,20260129,U,59.49,59.49,48.67,3,62306970.0,140101,141810,62306970.0
600722.SH,金牛化工,化工原料,20260129,U,8.61,8.61,7.05,3,2941124.0,143810,145310,2941124.0
600759.SH,洲际油气,石油开采,20260129,U,5.69,5.69,4.65,0,140529275.0,134348,134348,140529275.0
600779.SH,水井坊,白酒,20260129,U,41.99,41.99,34.35,0,97637205.0,140121,140121,97637205.0
600785.SH,新华百货,百货,20260129,U,22.99,22.99,18.81,0,124393763.0,131431,131431,124393763.0
600809.SH,山西汾酒,白酒,20260129,U,177.42,177.42,145.16,4,79816112.0,143424,144209,79816112.0
600871.SH,石化油服,石油开采,20260129,U,3.23,3.23,2.65,2,140238563.0,92501,130325,140238563.0
600916.SH,中国黄金,服饰,20260129,U,13.5,13.5,11.04,0,698474380.0,92501,92501,698474380.0
600959.SH,江苏有线,影视音像,20260129,U,4.44,4.44,3.64,0,97476377.0,94241,94241,97476377.0
600986.SH,浙文互联,互联网,20260129,U,13.78,13.78,11.28,2,153459950.0,93959,142223,153459950.0
601069.SH,西部黄金,黄金,20260129,U,48.69,48.69,39.83,4,146780971.0,92501,105025,146780971.0
601118.SH,海南橡胶,橡胶,20260129,U,7.84,7.84,6.42,6,3397581.0,105410,141549,3397581.0
601155.SH,新城控股,区域地产,20260129,U,17.85,17.85,14.61,5,51990713.0,105428,112628,51990713.0
601212.SH,白银有色,铜,20260129,U,15.19,15.19,12.43,4,275802824.0,93251,130115,275802824.0
601388.SH,怡球资源,铝,20260129,U,4.37,4.37,3.57,2,132432850.0,92503,95153,132432850.0
601579.SH,会稽山,红黄酒,20260129,U,22.98,22.98,18.8,2,44208924.0,140945,141648,44208924.0
603001.SH,奥康国际,服饰,20260129,U,10.44,10.44,8.54,0,80542960.0,95816,95816,80542960.0
603103.SH,横店影视,影视音像,20260129,U,23.18,23.18,18.96,1,28320906.0,100205,100247,28320906.0
