ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
600814.SH,杭州解百,百货,20260210,,9.64,,,-9.9907,908623.914,922936.33,37.367,12.5556,,708615.7685,1.56,-66367635.57,1,0.9857142857142858,0.4,0.14285714285714285,0.6142857142857143,0.5071428571428571,0.5071428571428571,0.05,0.0,55.114286
600373.SH,中文传媒,出版业,20260210,,10.29,,,7.9748,991793.892,980780.62,16.5723,7.2793,,1386432.1219,5.94,,1,0.8714285714285714,0.37142857142857144,0.4857142857142857,0.02857142857142857,0.5071428571428571,0.5071428571428571,0.05,0.0,54.485714
000839.SZ,国安股份,综合类,20260210,,3.27,,,10.101,741228.321,2310978.72,9.2761,5.8956,,1281783.2171,3.91,,1,0.15714285714285714,0.5428571428571428,0.7142857142857143,0.12857142857142856,0.5071428571428571,0.5071428571428571,0.05,0.0,51.457143
000818.SZ,航锦科技,化工原料,20260210,,23.62,,,10.014,1288618.696,561278.55,11.6962,8.5273,,1558920.0921,2.48,,1,0.37142857142857144,0.34285714285714286,0.6571428571428571,0.38571428571428573,0.5071428571428571,0.5071428571428571,0.05,0.0,51.028571
000815.SZ,美利云,通信设备,20260210,,15.53,,,9.9858,1753612.979,1148549.88,24.7196,16.5196,,1079743.4934,1.41,,1,0.7142857142857143,0.2714285714285714,0.3142857142857143,0.6714285714285714,0.5071428571428571,0.5071428571428571,0.05,0.0,50.771429
002655.SZ,共达电声,元器件,20260210,,14.08,,,10.0,848174.035,610140.01,19.3729,16.8643,,509544.0416,7.55,,1,0.5285714285714286,0.5,0.42857142857142855,0.014285714285714285,0.5071428571428571,0.5071428571428571,0.05,0.0,50.4
002235.SZ,安妮股份,造纸,20260210,,10.71,,,4.1829,1422730.411,1303937.61,28.4525,23.5547,,620721.9162,4.77,,1,0.9571428571428572,0.3142857142857143,0.2,0.07142857142857142,0.5071428571428571,0.5071428571428571,0.05,0.0,49.171429
002099.SZ,海翔药业,化学制药,20260210,,8.38,,,1.4528,2162311.583,2519519.72,25.8966,15.594,,1356483.382,3.27,-293485971.77,1,0.9714285714285714,0.21428571428571427,0.24285714285714285,0.24285714285714285,0.5071428571428571,0.5071428571428571,0.05,0.0,49.057143
601869.SH,长飞光纤,通信设备,20260210,,211.48,,,10.0026,3239913.113,155658.59,14.4565,3.8308,,17508537.224,0.78,-131657123.97,1,0.45714285714285713,0.11428571428571428,0.5714285714285714,0.8,0.5071428571428571,0.5071428571428571,0.05,0.0,48.228571
002905.SZ,金逸影视,影视音像,20260210,,15.04,,,10.0219,652883.713,452552.92,48.103,12.9508,,565985.28,1.31,,1,0.3,0.6142857142857143,0.07142857142857142,0.7142857142857143,0.5071428571428571,0.5071428571428571,0.05,0.0,47.714286
002969.SZ,嘉美包装,广告包装,20260210,,30.42,,,10.0181,2349745.635,791654.06,14.7388,7.2611,,3335268.4087,1.01,21545852.89,1,0.32857142857142857,0.17142857142857143,0.5571428571428572,0.7571428571428571,0.5071428571428571,0.5071428571428571,0.05,0.0,46.771429
002624.SZ,完美世界,互联网,20260210,,22.47,,,4.366,6354685.335,2829000.95,21.0331,15.4782,,4359109.0038,3.65,,1,0.9428571428571428,0.04285714285714286,0.4,0.17142857142857143,0.5071428571428571,0.5071428571428571,0.05,0.0,46.657143
001217.SZ,华尔泰,化工原料,20260210,,15.14,,,7.6048,972072.739,647060.47,53.3442,19.6924,,502451.18,5.77,,1,0.8857142857142857,0.38571428571428573,0.05714285714285714,0.04285714285714286,0.5071428571428571,0.5071428571428571,0.05,0.0,46.657143
002181.SZ,粤 传 媒,出版业,20260210,,13.23,,,9.9751,1942693.374,1548874.94,41.8554,13.652,,1536079.9642,1.46,,1,0.7857142857142857,0.22857142857142856,0.08571428571428572,0.6571428571428571,0.5071428571428571,0.5071428571428571,0.05,0.0,46.257143
601595.SH,上海电影,影视音像,20260210,,35.78,,,9.9908,1355206.755,380188.81,27.5556,8.4826,,1603659.6,3.5,90836176.0,1,0.6571428571428571,0.32857142857142857,0.21428571428571427,0.21428571428571427,0.5071428571428571,0.5071428571428571,0.05,0.0,45.571429
002739.SZ,万达电影,影视音像,20260210,,13.87,,,9.9921,4049934.188,3046362.44,20.7295,14.5071,,2929037.068,2.17,-150615472.28,1,0.6142857142857143,0.08571428571428572,0.4142857142857143,0.42142857142857143,0.5071428571428571,0.5071428571428571,0.05,0.0,44.142857
000056.SZ,皇庭国际,其他商业,20260210,,2.41,,,10.0457,663588.0,2812150.74,38.9171,31.1173,,284989.301,1.86,,1,0.2,0.5714285714285714,0.11428571428571428,0.5,0.5071428571428571,0.5071428571428571,0.05,0.0,43.942857
002438.SZ,江苏神通,机械基件,20260210,,19.4,,,5.2632,2386134.453,1193108.01,31.9441,25.4459,,984622.6743,5.24,,1,0.9285714285714286,0.15714285714285714,0.15714285714285714,0.05714285714285714,0.5071428571428571,0.5071428571428571,0.05,0.0,43.6
301025.SZ,读客文化,出版业,20260210,,13.9,,,20.0345,564266.495,436002.77,38.7728,15.7316,,556430.066,3.07,,1,0.014285714285714285,0.6714285714285714,0.12857142857142856,0.2714285714285714,0.5071428571428571,0.5071428571428571,0.05,0.0,41.657143
002323.SZ,雅博股份,建筑工程,20260210,,2.16,,,10.2041,852462.435,4039172.82,24.892,19.0493,,458104.7107,4.5,-8846775.31,1,0.12857142857142856,0.4714285714285714,0.3,0.08571428571428572,0.5071428571428571,0.5071428571428571,0.05,0.0,40.457143
600977.SH,中国电影,影视音像,20260210,,20.74,,,10.0265,2651235.356,1334369.89,21.8994,7.1471,,3872158.0,1.35,214943151.79,1,0.2857142857142857,0.12857142857142856,0.35714285714285715,0.6857142857142857,0.5071428571428571,0.5071428571428571,0.05,0.0,40.314286
300749.SZ,顶固集创,家居用品,20260210,,25.72,,,20.0187,867857.024,345426.02,31.0699,21.9464,,527695.6968,1.72,52369492.38,1,0.04285714285714286,0.45714285714285713,0.17142857142857143,0.5428571428571428,0.5071428571428571,0.5071428571428571,0.05,0.0,39.628571
603888.SH,新华网,互联网,20260210,,27.23,,,10.0202,1769978.351,666026.27,26.1287,9.8709,,1837312.0315,2.17,,1,0.3142857142857143,0.2571428571428571,0.22857142857142856,0.42142857142857143,0.5071428571428571,0.5071428571428571,0.05,0.0,39.485714
002292.SZ,奥飞娱乐,影视音像,20260210,,10.88,,,10.0101,2248828.737,2148549.35,25.3236,21.1083,,1608825.2703,2.58,55590943.65,1,0.38571428571428573,0.18571428571428572,0.2857142857142857,0.34285714285714286,0.5071428571428571,0.5071428571428571,0.05,0.0,39.428571
000681.SZ,视觉中国,互联网,20260210,,30.49,,,9.9928,4206780.248,1432978.62,29.3014,21.1897,,2136060.6024,2.13,109032045.45,1,0.6,0.07142857142857142,0.18571428571428572,0.44285714285714284,0.5071428571428571,0.5071428571428571,0.05,0.0,39.114286
000559.SZ,万向钱潮,汽车配件,20260210,,19.53,,,10.0282,4255897.439,2296723.71,19.1217,6.9292,,6474895.0411,1.88,202680410.85,1,0.2714285714285714,0.05714285714285714,0.44285714285714284,0.4714285714285714,0.5071428571428571,0.5071428571428571,0.05,0.0,38.2
603598.SH,引力传媒,互联网,20260210,,31.3,,,10.0176,2208015.897,733947.79,54.3598,27.2577,,843731.877,1.65,-166341614.60000002,1,0.34285714285714286,0.2,0.02857142857142857,0.5857142857142857,0.5071428571428571,0.5071428571428571,0.05,0.0,35.828571
300182.SZ,捷成股份,影视音像,20260210,,8.45,,,20.0284,3741274.135,4611311.06,21.6935,20.4139,,2250932.659,2.32,585576292.47,1,0.02857142857142857,0.1,0.37142857142857144,0.4,0.5071428571428571,0.5071428571428571,0.05,0.0,32.942857
301085.SZ,亚康股份,软件服务,20260210,,77.82,,,20.0,1443336.355,195693.98,54.1716,33.2182,,675288.3029,2.52,98892849.09,1,0.1,0.3,0.04285714285714286,0.37142857142857144,0.5071428571428571,0.5071428571428571,0.05,0.0,32.628571
300251.SZ,光线传媒,影视音像,20260210,,25.56,,,20.0,7913129.767,3308502.8,24.1516,11.921,,7498252.0322,1.81,903147386.62,1,0.1,0.02857142857142857,0.32857142857142857,0.5142857142857142,0.5071428571428571,0.5071428571428571,0.05,0.0,32.428571
300528.SZ,幸福蓝海,影视音像,20260210,,29.46,,,20.0,2389704.932,879840.43,59.7186,23.613,,1097703.3271,1.87,214223215.9,1,0.1,0.14285714285714285,0.014285714285714285,0.4857142857142857,0.5071428571428571,0.5071428571428571,0.05,0.0,28.885714
300364.SZ,中文在线,出版业,20260210,,42.34,,,20.0113,9547101.557,2351454.96,40.883,35.6059,,3084469.4996,4.09,440188790.91999996,1,0.05714285714285714,0.014285714285714285,0.1,0.11428571428571428,0.5071428571428571,0.5071428571428571,0.05,0.0,23.514286
