ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000056.SZ,皇庭国际,其他商业,20260210,U,2.41,2.41,1.97,9,8976045.0,93824,132703,8976045.0
000070.SZ,特发信息,通信设备,20260210,U,16.12,16.12,13.19,0,251536093.0,93039,93039,251536093.0
000156.SZ,华数传媒,影视音像,20260210,U,9.83,9.83,8.05,1,98861165.0,93303,95936,98861165.0
000559.SZ,万向钱潮,汽车配件,20260210,U,19.53,19.53,15.98,0,206120635.0,134406,134406,206120635.0
000681.SZ,视觉中国,互联网,20260210,U,30.49,30.49,24.95,0,211483457.0,112203,112203,211483457.0
000815.SZ,美利云,通信设备,20260210,U,15.53,15.53,12.71,4,89764953.0,94851,131221,89764953.0
000818.SZ,航锦科技,化工原料,20260210,U,23.62,23.62,19.32,0,224990963.0,104524,104524,224990963.0
000839.SZ,国安股份,综合类,20260210,U,3.27,3.27,2.67,1,22597008.0,95051,95430,22597008.0
000859.SZ,国风新材,塑料,20260210,U,11.66,11.66,9.54,1,138379714.0,94724,94806,138379714.0
000892.SZ,欢瑞世纪,影视音像,20260210,U,8.97,8.97,7.34,0,304115292.0,92500,92500,304115292.0
001330.SZ,博纳影业,影视音像,20260210,U,12.47,12.47,10.21,0,448674490.0,93236,93236,448674490.0
002082.SZ,万邦德,中成药,20260210,U,18.59,18.59,15.21,0,98006256.0,101000,101000,98006256.0
002159.SZ,三特索道,旅游服务,20260210,U,18.37,18.37,15.03,4,3337829.0,104321,145554,3337829.0
002181.SZ,粤 传 媒,出版业,20260210,U,13.23,13.23,10.83,0,270713477.0,143933,143933,270713477.0
002292.SZ,奥飞娱乐,影视音像,20260210,U,10.88,10.88,8.9,1,109899978.0,111730,130703,109899978.0
002302.SZ,西部建设,水泥,20260210,U,6.72,6.72,5.5,0,177247022.0,144548,144548,177247022.0
002323.SZ,雅博股份,建筑工程,20260210,U,2.16,2.16,1.76,3,47178700.0,94109,100327,47178700.0
002429.SZ,兆驰股份,家用电器,20260210,U,11.37,11.37,9.31,0,202213687.0,92500,92500,202213687.0
002455.SZ,百川股份,化工原料,20260210,U,13.48,13.48,11.03,0,257753776.0,92500,92500,257753776.0
002597.SZ,金禾实业,食品,20260210,U,26.22,26.22,21.46,1,23617271.0,130003,131230,23617271.0
002655.SZ,共达电声,元器件,20260210,U,14.08,14.08,11.52,2,39391616.0,94303,100806,39391616.0
002723.SZ,小崧股份,家用电器,20260210,U,10.56,10.56,8.64,0,63621993.0,92500,92500,63621993.0
002739.SZ,万达电影,影视音像,20260210,U,13.87,13.87,11.35,0,60456250.0,144045,144045,60456250.0
002806.SZ,华锋股份,汽车配件,20260210,U,16.1,16.1,13.18,3,5261995.0,93148,144912,5261995.0
002905.SZ,金逸影视,影视音像,20260210,U,15.04,15.04,12.3,1,89015563.0,95415,111209,89015563.0
002969.SZ,嘉美包装,广告包装,20260210,U,30.42,30.42,24.89,5,5244742.0,134948,145448,5244742.0
300182.SZ,捷成股份,影视音像,20260210,U,8.45,8.45,5.63,0,440120675.0,93618,93618,440120675.0
300251.SZ,光线传媒,影视音像,20260210,U,25.56,25.56,17.04,0,421357852.0,110312,110312,421357852.0
300364.SZ,中文在线,出版业,20260210,U,42.34,42.34,28.22,0,255183603.0,110433,110433,255183603.0
300528.SZ,幸福蓝海,影视音像,20260210,U,29.46,29.46,19.64,2,109131624.0,110936,145609,109131624.0
300749.SZ,顶固集创,家居用品,20260210,U,25.72,25.72,17.14,10,9320928.0,93851,144406,9320928.0
301025.SZ,读客文化,出版业,20260210,U,13.9,13.9,9.26,0,159258026.0,102609,102609,159258026.0
301085.SZ,亚康股份,软件服务,20260210,U,77.82,77.82,51.88,1,37610406.0,95057,130454,37610406.0
