rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,002436.SZ,兴森科技,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6851352003287955,0.0,0.0,0.0,0.0,0.6612102003287955
2,002409.SZ,雅克科技,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6651294099650397,0.0,0.0,0.0,0.0,0.6412044099650397
3,603061.SH,金海通,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6936202164753522,0.0,0.0,0.0,0.0,0.6696952164753522
4,600584.SH,长电科技,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6607595212554911,0.0,0.0,0.0,0.0,0.6368345212554911
5,600206.SH,有研新材,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6471628420118036,0.0,0.0,0.0,0.0,0.6232378420118037
6,002579.SZ,中京电子,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6499566119620962,0.0,0.0,0.0,0.0,0.6260316119620962
7,600992.SH,贵绳股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6806728074838784,0.0,0.0,0.0,0.0,0.6567478074838784
8,603991.SH,领先股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6721059697032629,0.0,0.0,0.0,0.0,0.6481809697032629
9,688720.SH,艾森股份,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.638064606833278,0.0,0.0,0.0,0.0,0.6141396068332781
10,002185.SZ,华天科技,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6291583846044524,0.0,0.0,0.0,0.0,0.6052333846044524
11,002552.SZ,宝鼎科技,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.660547556792124,0.0,0.0,0.0,0.0,0.636622556792124
12,605358.SH,立昂微,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6471413503574106,0.0,0.0,0.0,0.0,0.6232163503574106
13,688584.SH,上海合晶,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6321218291637113,0.0,0.0,0.0,0.0,0.6081968291637113
14,603986.SH,兆易创新,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6305327810567142,0.0,0.0,0.0,0.0,0.6066077810567142
15,603757.SH,大元泵业,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6246768028586005,0.0,0.0,0.0,0.0,0.6007518028586005
16,002384.SZ,东山精密,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6100795436292079,0.0,0.0,0.0,0.0,0.5861545436292079
17,688432.SH,有研硅,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6310676460025941,0.0,0.0,0.0,0.0,0.6071426460025942
18,002815.SZ,崇达技术,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.5906979769731906,0.0,0.0,0.0,0.0,0.5667729769731906
19,000811.SZ,冰轮环境,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6130053913095291,0.0,0.0,0.0,0.0,0.5890803913095292
20,603005.SH,晶方科技,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6223290092743983,0.0,0.0,0.0,0.0,0.5984040092743983
21,001395.SZ,亚联机械,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.6094400749802452,0.0,0.0,0.0,0.0,0.5855150749802452
22,002156.SZ,通富微电,0.0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,中,分时缺失|低置信,0.620448325721742,0.0,0.0,0.0,0.0,0.596523325721742
