ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000798.SZ,中水渔业,渔业,20260130,U,11.55,11.55,9.45,0,131269203.0,103303,103303,131269203.0
000995.SZ,皇台酒业,白酒,20260130,U,15.93,15.93,13.03,2,31224393.0,93006,93918,31224393.0
002009.SZ,天奇股份,工程机械,20260130,U,28.38,28.38,23.22,2,120455561.0,130618,131336,120455561.0
002041.SZ,登海种业,种植业,20260130,U,11.29,11.29,9.23,1,57706204.0,95557,102703,57706204.0
002137.SZ,实益达,元器件,20260130,U,10.14,10.14,8.3,0,161950269.0,141203,141203,161950269.0
002155.SZ,湖南黄金,黄金,20260130,U,37.0,37.0,30.28,9,22329981.0,92500,144703,22329981.0
002165.SZ,红 宝 丽,化工原料,20260130,U,12.77,12.77,10.45,0,233538934.0,142148,142148,233538934.0
002455.SZ,百川股份,化工原料,20260130,U,9.59,9.59,7.85,2,93953230.0,93139,101048,93953230.0
002491.SZ,通鼎互联,通信设备,20260130,U,7.85,7.85,6.43,0,194732869.0,110018,110018,194732869.0
002562.SZ,兄弟科技,化学制药,20260130,U,7.44,7.44,6.08,0,77144169.0,140527,140527,77144169.0
002830.SZ,名雕股份,装修装饰,20260130,U,23.25,23.25,19.03,0,53963203.0,111942,111942,53963203.0
002952.SZ,亚世光电,元器件,20260130,U,23.75,23.75,19.43,0,47331375.0,132948,132948,47331375.0
002995.SZ,天地在线,互联网,20260130,U,34.51,34.51,28.23,7,38313416.0,93939,145530,38313416.0
300731.SZ,科创新源,橡胶,20260130,U,69.92,69.92,46.62,0,123288537.0,131621,131621,123288537.0
300805.SZ,电声股份,广告包装,20260130,U,15.67,15.67,10.45,1,56983955.0,101115,144427,56983955.0
301486.SZ,致尚科技,元器件,20260130,U,198.37,198.37,132.25,1,29500792.0,112724,112809,29500792.0
600084.SH,中信尼雅,红黄酒,20260130,U,7.28,7.28,5.96,1,26959296.0,92500,94342,26959296.0
600313.SH,农发种业,种植业,20260130,U,8.83,8.83,7.23,7,56578225.0,94047,141429,56578225.0
600330.SH,天通股份,专用机械,20260130,U,13.56,13.56,11.1,2,84995666.0,130915,132903,84995666.0
600345.SH,长江通信,通信设备,20260130,U,35.93,35.93,29.39,0,163592703.0,104045,104045,163592703.0
600354.SH,敦煌种业,种植业,20260130,U,7.92,7.92,6.48,6,31120040.0,94152,140407,31120040.0
600371.SH,万向德农,种植业,20260130,U,10.29,10.29,8.42,13,27014110.0,95724,112948,27014110.0
600395.SH,盘江股份,煤炭开采,20260130,U,5.47,5.47,4.47,0,125320522.0,92501,92501,125320522.0
600487.SH,亨通光电,通信设备,20260130,U,35.01,35.01,28.65,0,161572305.0,133905,133905,161572305.0
600667.SH,太极实业,半导体,20260130,U,11.22,11.22,9.18,1,204435603.0,94826,133238,204435603.0
600828.SH,茂业商业,百货,20260130,U,6.58,6.58,5.38,0,67466858.0,94423,94423,67466858.0
601133.SH,柏诚股份,建筑工程,20260130,U,18.55,18.55,15.17,4,30490635.0,93913,104304,30490635.0
601208.SH,东材科技,化工原料,20260130,U,28.42,28.42,23.26,0,154998218.0,130133,130133,154998218.0
601231.SH,环旭电子,元器件,20260130,U,33.88,33.88,27.72,0,107697744.0,130246,130246,107697744.0
601869.SH,长飞光纤,通信设备,20260130,U,149.12,149.12,122.0,0,136292846.0,111529,111529,136292846.0
603010.SH,万盛股份,化工原料,20260130,U,12.13,12.13,9.93,0,133915442.0,145116,145116,133915442.0
603059.SH,倍加洁,日用化工,20260130,U,37.29,37.29,30.51,0,95902422.0,101345,101345,95902422.0
603103.SH,横店影视,影视音像,20260130,U,25.5,25.5,20.86,0,91388430.0,93745,93745,91388430.0
603172.SH,万丰股份,染料涂料,20260130,U,25.73,25.73,21.05,0,156719654.0,92503,92503,156719654.0
603331.SH,百达精工,专用机械,20260130,U,15.63,15.63,12.79,0,70749507.0,131043,131043,70749507.0
603391.SH,力聚热能,专用机械,20260130,U,69.71,69.71,57.03,0,77308390.0,135542,135542,77308390.0
603598.SH,引力传媒,互联网,20260130,U,29.37,29.37,24.03,4,89029222.0,93941,103647,89029222.0
603618.SH,杭电股份,电气设备,20260130,U,9.04,9.04,7.4,0,125637594.0,132008,132008,125637594.0
603629.SH,利通电子,元器件,20260130,U,37.4,37.4,30.6,0,143551073.0,130010,130010,143551073.0
603861.SH,白云电器,电气设备,20260130,U,16.62,16.62,13.6,0,87217089.0,110759,110759,87217089.0
603863.SH,松炀资源,造纸,20260130,U,21.56,21.56,17.64,0,123313498.0,132438,132438,123313498.0
603887.SH,城地香江,软件服务,20260130,U,15.62,15.62,12.78,1,43095580.0,94137,94822,43095580.0
605003.SH,众望布艺,纺织,20260130,U,36.59,36.59,29.93,0,65834557.0,130104,130104,65834557.0
605151.SH,西上海,汽车配件,20260130,U,22.9,22.9,18.74,0,45575580.0,130051,130051,45575580.0
605289.SH,罗曼股份,建筑工程,20260130,U,80.41,80.41,65.79,6,16821772.0,134226,143217,16821772.0
688025.SH,杰普特,专用机械,20260130,U,161.7,161.7,107.8,1,42819453.0,130113,133807,42819453.0
688280.SH,精进电动-UW,汽车配件,20260130,U,11.17,11.17,7.45,1,14467272.0,134028,141246,14467272.0
688583.SH,思看科技,电器仪表,20260130,U,128.68,128.68,85.78,0,190353879.0,92503,92503,190353879.0
