rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,002903.SZ,宇环数控,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.662293,0.0,0,0.0,0.0,0.5,0.0,0.3152849740932646,0.0,中,分时缺失|低置信,0.4708275637396333,0.0,0.0,0.0,0.0,0.44690256373963333
2,002008.SZ,大族激光,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.670688,0.0,0,0.0,0.0,0.5,0.0,0.37125085596895674,0.0,中,分时缺失|低置信,0.38551168132983615,0.0,0.0,0.0,0.0,0.3615866813298362
3,600540.SH,新赛股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.3652806471244311,0.0,0.0,0.0,0.0,0.3752806471244311
4,000977.SZ,浪潮信息,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.670181,0.0,0,0.0,0.0,0.5,0.0,0.36787190082644644,0.0,中,分时缺失|低置信,0.3671534428738014,0.0,0.0,0.0,0.0,0.34322844287380144
5,002679.SZ,福建金森,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.35783835329327024,0.0,0.0,0.0,0.0,0.34901335329327027
6,603459.SH,红板科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.647997,0.0,0,0.0,0.0,0.5,0.0,0.2199791521890198,0.0,中,分时缺失|低置信,0.35215032906059696,0.0,0.0,0.0,0.0,0.328225329060597
7,600227.SH,赤天化,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.704116,0.0,0,0.0,0.0,0.5,0.0,0.5941048034934504,0.0,中,分时缺失|低置信,0.35441697045317605,0.0,0.0,0.0,0.0,0.3455919704531761
8,002855.SZ,捷荣技术,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.704631,0.0,0,0.0,0.0,0.5,0.0,0.5975409836065569,0.0,中,分时缺失|低置信,0.3136582169391167,0.0,0.0,0.0,0.0,0.3111832169391167
9,000560.SZ,我爱我家,0,degenerate_features,matched intraday row has no non-degenerate feature in candidate intersection,0.0,0.5,0.0,0,0.75,0.0,0.0,0.0,1.0,0.0,中,分时缺失|低置信,0.2865552183627524,0.0,0.0,0.0,0.0,0.2777302183627524
10,600371.SH,万向德农,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2861979421716046,0.0,0.0,0.0,0.0,0.2837229421716046
11,601086.SH,国芳集团,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2729258124133221,0.0,0.0,0.0,0.0,0.2641008124133221
12,603090.SH,宏盛股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.671926,0.0,0,0.0,0.0,0.5,0.0,0.37950391644908676,0.0,中,分时缺失|低置信,0.3477057303802261,0.0,0.0,0.0,0.0,0.32378073038022614
13,001330.SZ,博纳影业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.680735,0.0,0,0.0,0.0,0.5,0.0,0.4382352941176471,0.0,中,分时缺失|低置信,0.34272507479358083,0.0,0.0,0.0,0.0,0.31880007479358086
14,002141.SZ,贤丰控股,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.660174,0.0,0,0.0,0.0,0.5,0.0,0.30116279069767443,0.0,中,分时缺失|低置信,0.33832046565612495,0.0,0.0,0.0,0.0,0.314395465656125
15,603559.SH,中通国脉,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.671227,0.0,0,0.0,0.0,0.5,0.0,0.37484342379958313,0.0,中,分时缺失|低置信,0.30104402123302143,0.0,0.0,0.0,0.0,0.29221902123302146
