ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000422.SZ,湖北宜化,农药化肥,20260224,U,16.95,16.95,13.87,0,102873770.0,131903,131903,102873770.0
000545.SZ,金浦钛业,化工原料,20260224,U,3.11,3.11,2.55,0,45749623.0,94903,94903,45749623.0
000554.SZ,泰山石油,石油贸易,20260224,U,8.72,8.72,7.14,0,124914619.0,93336,93336,124914619.0
000603.SZ,盛达资源,铅锌,20260224,U,49.72,49.72,40.68,0,67074318.0,144824,144824,67074318.0
000635.SZ,英 力 特,化工原料,20260224,U,10.69,10.69,8.75,0,45406085.0,103706,103706,45406085.0
000636.SZ,风华高科,元器件,20260224,U,23.4,23.4,19.14,0,366276034.0,92500,92500,366276034.0
000803.SZ,山高环能,环境保护,20260224,U,9.19,9.19,7.52,0,36343693.0,130136,130136,36343693.0
000890.SZ,法尔胜,环境保护,20260224,U,6.63,6.63,5.43,0,78450801.0,93024,93024,78450801.0
000968.SZ,蓝焰控股,石油开采,20260224,U,8.66,8.66,7.08,0,76778971.0,102200,102200,76778971.0
000988.SZ,华工科技,专用机械,20260224,U,82.42,82.42,67.44,4,525584098.0,93842,94830,525584098.0
001337.SZ,四川黄金,黄金,20260224,U,50.64,50.64,41.44,11,20792784.0,95757,144842,20792784.0
001396.SZ,誉帆科技,建筑工程,20260224,U,50.77,50.77,41.54,2,36866990.0,112433,140245,36866990.0
001896.SZ,豫能控股,火力发电,20260224,U,10.03,10.03,8.21,0,354441724.0,92500,92500,354441724.0
002136.SZ,安 纳 达,化工原料,20260224,U,14.04,14.04,11.48,0,46374120.0,103633,103633,46374120.0
002165.SZ,红 宝 丽,化工原料,20260224,U,12.52,12.52,10.24,0,162239193.0,103230,103230,162239193.0
002207.SZ,准油股份,石油开采,20260224,U,11.1,11.1,9.08,0,104663853.0,93121,93121,104663853.0
002283.SZ,天润工业,汽车配件,20260224,U,10.07,10.07,8.24,2,81644498.0,130212,145048,81644498.0
002312.SZ,川发龙蟒,化工原料,20260224,U,12.76,12.76,10.44,0,102446263.0,105733,105733,102446263.0
002358.SZ,森源电气,电气设备,20260224,U,8.8,8.8,7.2,0,97843504.0,93748,93748,97843504.0
002457.SZ,青龙管业,塑料,20260224,U,13.7,13.7,11.21,0,98249550.0,104121,104121,98249550.0
002470.SZ,金正大,农药化肥,20260224,U,2.33,2.33,1.91,3,20337633.0,93336,112145,20337633.0
002490.SZ,山东墨龙,化工机械,20260224,U,8.47,8.47,6.93,0,126831431.0,93136,93136,126831431.0
002491.SZ,通鼎互联,通信设备,20260224,U,10.19,10.19,8.33,0,141560835.0,102403,102403,141560835.0
002498.SZ,汉缆股份,电气设备,20260224,U,7.45,7.45,6.09,4,177969496.0,93136,94721,177969496.0
002506.SZ,协鑫集成,电气设备,20260224,U,4.74,4.74,3.88,15,45750480.0,93127,144842,45750480.0
002539.SZ,云图控股,农药化肥,20260224,U,16.16,16.16,13.22,0,97018062.0,132951,132951,97018062.0
002554.SZ,惠博普,石油开采,20260224,U,4.18,4.18,3.42,0,85117987.0,93503,93503,85117987.0
002606.SZ,大连电瓷,电气设备,20260224,U,12.77,12.77,10.45,0,79897944.0,142027,142027,79897944.0
002652.SZ,扬子新材,其他建材,20260224,U,4.57,4.57,3.74,0,81075181.0,142727,142727,81075181.0
002694.SZ,顾地科技,塑料,20260224,U,3.4,3.4,2.78,0,690064.0,142442,142442,690064.0
002716.SZ,湖南白银,小金属,20260224,U,15.05,15.05,12.31,3,244484541.0,93403,100851,244484541.0
002795.SZ,永和智控,机械基件,20260224,U,7.77,7.77,6.35,0,76101058.0,94836,94836,76101058.0
002809.SZ,红墙股份,化工原料,20260224,U,14.1,14.1,11.54,0,75704408.0,103745,103745,75704408.0
