ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000062.SZ,深圳华强,元器件,元器件,20260422,U,32.64,32.64,26.7,0,116288812.0,132121,132121,116288812.0
000751.SZ,锌业股份,铅锌,铅锌,20260422,U,6.33,6.33,5.18,0,122389777.0,95039,95039,122389777.0
000811.SZ,冰轮环境,工程机械,工程机械,20260422,U,22.41,22.41,18.33,2,34472854.0,102630,134636,34472854.0
000990.SZ,诚志股份,化工原料,化工原料,20260422,U,11.94,11.94,9.77,14,15372750.0,105121,145606,15372750.0
001234.SZ,泰慕士,服饰,服饰,20260422,U,29.56,29.56,24.18,1,254857452.0,135403,135645,254857452.0
002081.SZ,金 螳 螂,装修装饰,装修装饰,20260422,U,4.94,4.94,4.04,0,227115931.0,92500,92500,227115931.0
002194.SZ,武汉凡谷,通信设备,通信设备,20260422,U,11.86,11.86,9.7,0,148510267.0,92500,92500,148510267.0
002201.SZ,九鼎新材,玻璃,玻璃,20260422,U,15.32,15.32,12.54,4,58419756.0,93224,142448,58419756.0
002256.SZ,兆新股份,新型电力,新型电力,20260422,U,4.51,4.51,3.69,0,91577805.0,131718,131718,91577805.0
002360.SZ,同德化工,化工原料,化工原料,20260422,U,6.92,6.92,5.66,0,97053851.0,93503,93503,97053851.0
002384.SZ,东山精密,元器件,元器件,20260422,U,186.34,186.34,152.46,1,693081194.0,112803,130724,693081194.0
002397.SZ,梦洁股份,纺织,纺织,20260422,U,4.59,4.59,3.75,0,24324246.0,104321,104321,24324246.0
002418.SZ,康盛股份,家用电器,家用电器,20260422,U,6.74,6.74,5.52,0,171070986.0,111924,111924,171070986.0
002428.SZ,云南锗业,小金属,小金属,20260422,U,75.24,75.24,61.56,0,117259734.0,110206,110206,117259734.0
002432.SZ,九安医疗,医疗保健,医疗保健,20260422,U,88.09,88.09,72.07,0,102813626.0,144915,144915,102813626.0
002443.SZ,金洲管道,钢加工,钢加工,20260422,U,10.48,10.48,8.58,0,49732431.0,111745,111745,49732431.0
002588.SZ,史丹利,农药化肥,农药化肥,20260422,U,11.68,11.68,9.56,2,17382176.0,93200,140618,17382176.0
002636.SZ,金安国纪,元器件,元器件,20260422,U,46.07,46.07,37.69,0,93442214.0,132306,132306,93442214.0
002796.SZ,世嘉科技,通信设备,通信设备,20260422,U,61.39,61.39,50.23,1,44360414.0,110757,112839,44360414.0
002938.SZ,鹏鼎控股,元器件,元器件,20260422,U,76.18,76.18,62.33,2,120958299.0,140915,141209,120958299.0
003018.SZ,金富科技,塑料,塑料,20260422,U,52.2,52.2,42.71,14,76822740.0,93103,101442,76822740.0
300067.SZ,安诺其,染料涂料,染料涂料,20260422,U,6.06,6.06,4.04,0,584790333.0,92500,92500,584790333.0
300890.SZ,翔丰华,电气设备,电气设备,20260422,U,39.79,39.79,26.53,1,61394418.0,93036,101903,61394418.0
301003.SZ,江苏博云,塑料,塑料,20260422,U,63.48,63.48,42.32,1,39803800.0,101151,101742,39803800.0
600052.SH,东望时代,供气供热,供气供热,20260422,U,4.16,4.16,3.4,1,34988096.0,95745,100057,34988096.0
600105.SH,永鼎股份,通信设备,通信设备,20260422,U,45.53,45.53,37.25,0,403850280.0,93715,93715,403850280.0
600126.SH,杭钢股份,普钢,普钢,20260422,U,10.26,10.26,8.4,1,70320398.0,132629,133341,70320398.0
600184.SH,光电股份,专用机械,专用机械,20260422,U,25.85,25.85,21.15,0,102687884.0,95710,95710,102687884.0
600234.SH,科新发展,装修装饰,装修装饰,20260422,U,24.37,24.37,19.94,0,10585718.0,104717,104717,10585718.0
600330.SH,天通股份,专用机械,专用机械,20260422,U,25.87,25.87,21.17,0,289003522.0,101334,101334,289003522.0
600396.SH,华电辽能,火力发电,火力发电,20260422,U,8.94,8.94,7.32,1,110369664.0,93842,94312,110369664.0
600446.SH,金证股份,软件服务,软件服务,20260422,U,13.31,13.31,10.89,0,48157190.0,104552,104552,48157190.0
600487.SH,亨通光电,通信设备,通信设备,20260422,U,65.78,65.78,53.82,12,84210043.0,102119,131822,84210043.0
600641.SH,先导基电,半导体,半导体,20260422,U,27.06,27.06,22.14,1,138884989.0,130033,130309,138884989.0
600683.SH,京投发展,区域地产,区域地产,20260422,U,13.15,13.15,10.76,1,57714298.0,100118,100715,57714298.0
600703.SH,三安光电,半导体,半导体,20260422,U,14.94,14.94,12.22,0,403343830.0,94457,94457,403343830.0
600736.SH,苏州高新,园区开发,园区开发,20260422,U,7.61,7.61,6.23,1,170911262.0,93101,93846,170911262.0
600815.SH,厦工股份,工程机械,工程机械,20260422,U,4.52,4.52,3.7,30,11862107.0,93341,143123,11862107.0
600869.SH,远东股份,电气设备,电气设备,20260422,U,17.18,17.18,14.06,11,1408760.0,132343,145607,1408760.0
601061.SH,中信金属,商贸代理,商贸代理,20260422,U,14.28,14.28,11.68,0,91230636.0,93425,93425,91230636.0
601512.SH,中新集团,园区开发,园区开发,20260422,U,10.32,10.32,8.44,0,18687352.0,143520,143520,18687352.0
603115.SH,海星股份,铝,铝,20260422,U,53.56,53.56,43.82,0,111458360.0,93101,93101,111458360.0
603318.SH,水发燃气,供气供热,供气供热,20260422,U,9.41,9.41,7.7,5,17340748.0,95234,130943,17340748.0
603496.SH,恒为科技,IT设备,IT设备,20260422,U,31.5,31.5,25.78,0,105997500.0,103922,103922,105997500.0
603606.SH,东方电缆,电气设备,电气设备,20260422,U,67.2,67.2,54.98,1,80338473.0,93942,94006,80338473.0
