ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,strength_plus_score,intraday_available,auction_available,limitup_quality_score,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
002672.SZ,东江环保,环境保护,20260616,3.89,9.887,92941.54972,253873.03,2.8049,,429944.5062,1.84,,1.0,U,3.89,3.19,0.0,13296409.0,13:14:00,15:00:00,0.0,79.025424,79.025424,79.025424,0.725,77.394068,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,ok,ok,9,,A,0.9957627118644068,0.940677966101695,0.8220338983050848,0.19491525423728814,0.5042372881355932,0.8813559322033898,0.2542372881355932,1.0
002774.SZ,快意电梯,运输设备,20260616,12.02,9.9726,102828.18315,89623.31,3.1807,,404698.8558,1.68,,1.0,U,12.02,9.84,1.0,3241794.0,14:47:00,15:00:00,1.0,80.576271,80.576271,80.576271,0.625,76.057203,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,ok,ok,9,,A,0.9152542372881356,0.9322033898305084,0.7966101694915254,0.2457627118644068,0.5042372881355932,0.9661016949152542,0.5932203389830508,1.0
600615.SH,鑫源智造,铝,20260616,10.04,9.9671,83807.24,86875.33,3.8566,,226527.1988,3.07,,1.0,U,10.04,8.22,2.0,826292.0,13:09:00,15:00:00,2.0,79.983051,79.983051,79.983051,0.625,75.612288,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,ok,ok,9,,A,0.940677966101695,0.9576271186440678,0.7372881355932204,0.05084745762711865,0.5042372881355932,0.9915254237288136,0.711864406779661,1.0
000541.SZ,佛山照明,家用电器,20260616,5.31,9.9379,185381.34719,351958.71,2.8603,,815498.2401,5.38,,1.0,U,5.31,4.35,1.0,13271808.0,09:35:00,15:00:00,1.0,76.152542,76.152542,76.152542,0.725,75.239406,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,ok,ok,9,,A,0.9830508474576272,0.7796610169491526,0.8135593220338984,0.01694915254237288,0.5042372881355932,0.8898305084745762,0.5932203389830508,1.0
002449.SZ,国星光电,半导体,20260616,8.29,9.9469,139138.531,167839.0,2.7137,,512717.5988,0.62,,1.0,U,8.29,6.79,0.0,66713775.0,09:30:00,15:00:00,0.0,75.745763,75.745763,75.745763,0.725,74.934322,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,ok,ok,9,,A,0.9745762711864406,0.8559322033898306,0.8305084745762712,0.8559322033898306,0.5042372881355932,0.4067796610169492,0.2542372881355932,1.0
000736.SZ,中交发展,全国地产,20260616,4.62,10.0,77383.29726,172481.96,2.3087,,345159.4608,0.85,,1.0,U,4.62,3.78,0.0,40213404.0,09:38:00,15:00:00,0.0,74.347458,74.347458,74.347458,0.725,73.885594,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,ok,ok,9,,A,0.614406779661017,0.9661016949152542,0.8559322033898306,0.6991525423728814,0.5042372881355932,0.6694915254237288,0.2542372881355932,1.0
603721.SH,中广天择,影视音像,20260616,20.49,9.9839,114947.958,59335.0,4.5642,,266370.0,1.38,,1.0,U,20.49,16.77,0.0,27595932.0,102410,102410.0,0.0,73.423729,73.423729,73.423729,0.55,73.423729,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,missing_stock,ok,9,,A,0.864406779661017,0.9067796610169492,0.6440677966101694,0.423728813559322,0.5042372881355932,0.7966101694915254,0.2542372881355932,1.0
605255.SH,天普股份,汽车配件,20260616,83.26,10.0013,132716.993,16766.0,1.2504,,1116350.08,1.47,,1.0,U,83.26,68.12,0.0,16377242.0,144228,144228.0,0.0,71.932203,71.932203,71.932203,0.55,71.932203,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,missing_stock,ok,9,,A,0.5254237288135594,0.864406779661017,0.9322033898305084,0.3389830508474576,0.5042372881355932,0.864406779661017,0.2542372881355932,1.0
600110.SH,诺德股份,电气设备,20260616,15.65,9.9789,169201.665,108116.08,0.6231,,2715558.1085,0.06,329803660.14,1.0,U,15.65,12.81,0.0,706223339.0,09:30:00,15:00:00,0.0,71.389831,71.389831,71.389831,0.725,71.667373,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,ok,ok,9,,A,0.8898305084745762,0.8050847457627118,0.9830508474576272,0.9830508474576272,0.5042372881355932,0.00847457627118644,0.2542372881355932,1.0
603949.SH,雪龙集团,汽车配件,20260616,16.74,9.9869,146583.417,89797.83,4.2719,,352773.2358,3.7,,1.0,U,16.74,13.7,1.0,24596366.0,102011,131147.0,1.0,71.491525,71.491525,71.491525,0.55,71.491525,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,missing_stock,ok,9,,A,0.847457627118644,0.8220338983050848,0.6949152542372882,0.03389830508474576,0.5042372881355932,0.8135593220338984,0.5932203389830508,1.0
