ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
603320.SH,迪贝电气,电气设备,20260512,26.29,10.0,90960.473,35622.4,2.3884,,392105.3677,0.91,,1.0,U,26.29,21.51,0.0,16454911.0,94942,94942,0.0,81.45614,81.45614,9,,A,0.6842105263157895,0.9473684210526315,0.9122807017543859,0.8421052631578947,0.5087719298245614,0.9473684210526315,0.2719298245614035,1.0
001259.SZ,利仁科技,家用电器,20260512,45.45,9.9952,23429.475,5155.0,1.0842,,334461.496,0.2,24243944.0,1.0,U,45.45,37.19,0.0,76846860.0,92500,92500,0.0,81.210526,81.210526,9,,A,0.8070175438596491,1.0,0.9824561403508771,0.9824561403508771,0.5087719298245614,0.5263157894736842,0.2719298245614035,1.0
002918.SZ,蒙娜丽莎,陶瓷,20260512,14.0,9.9764,56329.49,40235.35,1.8785,,572329.1406,0.42,37974651.0,1.0,U,14.0,11.46,0.0,94192910.0,92500,92500,0.0,80.017544,80.017544,9,,A,0.9298245614035088,0.9824561403508771,0.9298245614035088,0.9649122807017544,0.5087719298245614,0.38596491228070173,0.2719298245614035,1.0
002346.SZ,柘中股份,电气设备,20260512,20.37,9.9892,195049.78,98432.83,2.5103,,899489.1224,2.87,,1.0,U,20.37,16.67,0.0,69249852.0,94830,94830,0.0,72.859649,72.859649,9,,A,0.8596491228070176,0.8771929824561403,0.8947368421052632,0.14035087719298245,0.5087719298245614,0.631578947368421,0.2719298245614035,1.0
603037.SH,凯众股份,汽车配件,20260512,15.62,10.0,200967.608,129307.82,4.8585,,416931.0706,1.56,,1.0,U,15.62,12.78,0.0,43591218.0,93105,93105,0.0,72.017544,72.017544,9,,A,0.6842105263157895,0.8596491228070176,0.7543859649122807,0.42105263157894735,0.5087719298245614,0.8421052631578947,0.2719298245614035,1.0
603895.SH,天永智能,专用机械,20260512,36.5,10.006,174501.087,49366.23,4.5676,,394492.0,1.43,,1.0,U,36.5,29.86,0.0,37343880.0,101311,101311,0.0,70.824561,70.824561,9,,A,0.49122807017543857,0.8947368421052632,0.7894736842105263,0.5087719298245614,0.5087719298245614,0.8596491228070176,0.2719298245614035,1.0
002522.SZ,浙江众成,塑料,20260512,7.73,9.9573,607568.963,810495.78,8.9556,,700167.4662,0.97,,1.0,U,7.73,6.33,1.0,56957732.0,94321,94615,1.0,69.421053,69.421053,9,,A,0.9824561403508771,0.6140350877192983,0.40350877192982454,0.7807017543859649,0.5087719298245614,0.7192982456140351,0.6228070175438597,1.0
603052.SH,可川科技,元器件,20260512,95.35,10.0023,166634.614,17476.1,0.9301,,1791600.5839,0.19,,1.0,U,95.35,78.01,0.0,257053111.0,92501,92501,0.0,69.105263,69.105263,9,,A,0.5614035087719298,0.9122807017543859,1.0,1.0,0.5087719298245614,0.07017543859649122,0.2719298245614035,1.0
603682.SH,锦和商管,房产服务,20260512,9.56,10.0115,256990.869,272021.0,5.7571,,451710.0,1.36,,1.0,U,9.56,7.82,2.0,26317724.0,93111,132656,2.0,68.578947,68.578947,9,,A,0.40350877192982454,0.8070175438596491,0.6491228070175439,0.543859649122807,0.5087719298245614,0.8947368421052632,0.7456140350877193,1.0
000029.SZ,深深房Ａ,区域地产,20260512,26.49,10.0083,663194.794,255457.42,2.865,,2679887.34,2.97,-61898215.53,1.0,U,26.49,21.67,26.0,14487381.0,101054,142009,26.0,67.438596,67.438596,9,,A,0.43859649122807015,0.5789473684210527,0.8596491228070176,0.10526315789473684,0.5087719298245614,0.9649122807017544,1.0,1.0
