rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,002229.SZ,鸿博股份,1,ok,,0.786771,0.753022,0.121353,0,0.121353,0.0,0.643235,1.0,0.455623242736644,1.0,低,健康涨停,0.3585118655993408,0.02882555,0.009460884999999999,0.0,0.009460884999999999,0.3539515305993408
2,000802.SZ,北京文化,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.3205582236280034,0.03145,0.00315,0.0,0.00315,0.3400332236280034
3,603179.SH,新泉股份,1,ok,,0.611206,0.709043,0.094196,0,0.094196,0.0,0.529021,0.0,0.46584367573276997,1.0,低,健康涨停,0.3699096946116234,0.027726075000000003,0.00423882,0.0,0.00423882,0.36947194961162344
4,600667.SH,太极实业,1,ok,,0.691311,0.728018,0.076792,0,0.07679240000000001,0.0,0.616038,0.0,0.3161131292163988,1.0,低,健康涨停,0.3208189700047385,0.028200450000000002,0.00345564,0.0,0.00345564,0.32163878000473856
5,600611.SH,大众交通,1,ok,,0.507549,0.522891,0.316625,0,0.3166251,0.536991,0.47236100000000003,1.0,0.4236842105263164,1.0,中,健康涨停,0.2937498058181044,0.023072275000000003,0.037042809999999995,0.0,0.037042809999999995,0.2558542708181044
6,603087.SH,甘李药业,1,ok,,0.7865800000000001,0.829694,0.12628,0,0.12628,0.0,0.6186,1.0,1.0,1.0,低,健康涨停,0.2811831739272822,0.03074235,0.0096826,0.0,0.0096826,0.2783179239272823
7,002859.SZ,洁美科技,1,ok,,0.721928,0.738697,0.095381,0,0.09538120000000001,0.0,0.523094,0.0,0.45,1.0,低,健康涨停,0.2634384212993494,0.028467425000000005,0.004292145,0.0,0.004292145,0.2636887012993494
8,002248.SZ,华东数控,1,ok,,0.719313,0.815871,0.097125,0,0.097125,0.0,0.514376,0.0,0.9813432835820883,1.0,低,健康涨停,0.29916484768470647,0.030396775,0.004370625,0.0,0.004370625,0.31636599768470647
9,000859.SZ,国风新材,1,ok,,0.68271,0.703619,0.121527,0,0.121527,0.0,0.39236600000000005,0.0,0.4688877229800632,1.0,低,健康涨停,0.27433307615527897,0.027590475000000003,0.005468715,0.0,0.005468715,0.287629836155279
10,603137.SH,恒尚节能,1,ok,,0.770153,0.756546,0.101231,0,0.10537500000000001,0.0,0.743845,1.0,0.3782088469905734,1.0,低,健康涨停,0.289725188352918,0.028913650000000006,0.008555395,0.0,0.008555395,0.286158443352918
11,600664.SH,哈药股份,1,ok,,0.25,0.371223,0.45,1,0.45,0.0,0.0,15.0,0.6414893617021277,1.0,高,多次炸板,0.23659851606990726,0.019280575,0.04025,0.08,0.12025,0.14562909106990723
12,002329.SZ,皇氏集团,1,ok,,0.703455,0.780494,0.107696,0,0.10769639999999998,0.0,0.46151800000000004,0.0,0.8476945244956775,1.0,低,健康涨停,0.2563997238595018,0.02951235,0.0048463199999999994,0.0,0.0048463199999999994,0.27224075385950186
13,603883.SH,老百姓,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.710757,0.0,0,0.0,0.0,0.5,0.0,0.6383830455259026,0.0,中,分时缺失|低置信,0.2595876192431382,0.0,0.0,0.0,0.0,0.23566261924313822
14,603106.SH,恒银科技,1,ok,,0.69833,0.743447,0.111113,0,0.11111339999999999,0.0,0.444433,0.0,0.6337455830388692,1.0,低,健康涨停,0.25939122020122474,0.028586175,0.005000085,0.0,0.005000085,0.25905231020122477
15,002235.SZ,安妮股份,1,ok,,0.632421,0.731321,0.080052,0,0.09,0.0,0.599738,0.0,0.477649769585254,1.0,低,健康涨停,0.25898489029325544,0.028283025000000003,0.00360234,0.0,0.00360234,0.2597405752932555
16,002585.SZ,双星新材,1,ok,,0.6453610000000001,0.650561,0.146426,0,0.146426,0.0,0.26787099999999997,0.0,0.3558577405857737,1.0,低,回封偏弱,0.2588908807891778,0.026264024999999996,0.00658917,0.0,0.00658917,0.25464073578917784
17,603887.SH,城地香江,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.692095,0.0,0,0.0,0.0,0.5,0.0,0.5139658848614068,0.0,中,分时缺失|低置信,0.25619019696215184,0.0,0.0,0.0,0.0,0.23226519696215184
