ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
603330.SH,天洋新材,塑料,20260601,7.06,9.9688,88928.429,127608.12,2.9493,,305467.5962,0.62,,1.0,U,7.06,5.78,0.0,14295991.0,93638,93638,0.0,83.833333,83.833333,9,,A,0.8833333333333333,0.9416666666666667,0.8083333333333333,0.9291666666666667,0.5041666666666667,0.95,0.2916666666666667,1.0
600617.SH,国新能源,供气供热,20260601,3.67,9.8802,163027.773,460107.87,2.5914,,708013.3818,1.06,,1.0,U,3.67,3.01,1.0,29821465.0,103242,103345,1.0,80.591667,80.591667,9,,A,0.9916666666666667,0.7666666666666667,0.8333333333333334,0.6833333333333333,0.5041666666666667,0.775,0.6708333333333333,1.0
600847.SH,万里股份,电气设备,20260601,15.98,9.9794,41944.26,26932.0,1.757,,244953.2652,0.54,,1.0,U,15.98,13.08,0.0,53385984.0,94323,94323,0.0,80.416667,80.416667,9,,A,0.85,1.0,0.925,0.9416666666666667,0.5041666666666667,0.5083333333333333,0.2916666666666667,1.0
000048.SZ,京基智农,农业综合,20260601,13.79,9.9681,110866.19563,82742.62,1.5632,,731149.5923,1.09,,1.0,U,13.79,11.29,0.0,71356920.0,93745,93745,0.0,76.266667,76.266667,9,,A,0.8916666666666667,0.9083333333333333,0.95,0.6625,0.5041666666666667,0.4166666666666667,0.2916666666666667,1.0
603877.SH,太平鸟,服饰,20260601,13.86,10.0,68626.506,51342.61,1.094,,652910.9687,3.01,,1.0,U,13.86,11.34,0.0,16708230.0,132620,132620,0.0,75.45,75.45,9,,A,0.5916666666666667,0.9666666666666667,0.9833333333333333,0.125,0.5041666666666667,0.925,0.2916666666666667,1.0
603725.SH,天安新材,塑料,20260601,12.21,10.0,111679.546,94390.95,3.2928,,372231.2273,0.31,,1.0,U,12.21,9.99,0.0,31339712.0,94416,94416,0.0,74.716667,74.716667,9,,A,0.5916666666666667,0.9,0.7583333333333333,0.9833333333333333,0.5041666666666667,0.7666666666666667,0.2916666666666667,1.0
600540.SH,新赛股份,种植业,20260601,4.99,9.9119,141393.757,296624.69,5.1021,,290107.103,1.37,,1.0,U,4.99,4.09,0.0,23705993.0,132743,132743,0.0,73.816667,73.816667,9,,A,0.975,0.8333333333333334,0.5333333333333333,0.55,0.5041666666666667,0.8416666666666667,0.2916666666666667,1.0
002871.SZ,伟隆股份,机械基件,20260601,22.13,9.9901,117166.98561,53918.19,3.6122,,557352.559,0.83,,1.0,U,22.13,18.11,0.0,45616082.0,94130,94130,0.0,73.316667,73.316667,9,,A,0.7666666666666667,0.8916666666666667,0.7166666666666667,0.7916666666666666,0.5041666666666667,0.6166666666666667,0.2916666666666667,1.0
603161.SH,科华控股,汽车配件,20260601,13.95,10.0158,56009.409,41108.22,2.1551,,271198.7485,1.3,,1.0,U,13.95,11.41,0.0,24372045.0,100208,100208,0.0,73.266667,73.266667,9,,A,0.4083333333333333,0.9833333333333333,0.9,0.5708333333333333,0.5041666666666667,0.8333333333333334,0.2916666666666667,1.0
603121.SH,华培动力,汽车配件,20260601,17.96,9.9816,157545.49,90459.37,2.6721,,608006.5521,1.14,,1.0,U,17.96,14.7,0.0,47067772.0,100641,100641,0.0,72.833333,72.833333,9,,A,0.8333333333333334,0.7833333333333333,0.825,0.6375,0.5041666666666667,0.6,0.2916666666666667,1.0
