ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,_limitup_quality_score_provided,limitup_quality_is_default,limitup_quality_score_source_raw,limitup_quality_score_raw,_intraday_risk_score_provided,intraday_risk_is_default,intraday_risk_score_source_raw,intraday_risk_score_raw,_late_withdraw_score_provided,late_withdraw_is_default,late_withdraw_score_source_raw,late_withdraw_score_raw,_reseal_score_provided,reseal_is_default,reseal_score_source_raw,reseal_score_raw,reseal_score,_open_board_count_provided,open_board_count_is_default,open_board_count_source_raw,open_board_count_raw,_seal_stability_score_provided,seal_stability_score,_auction_strength_score_provided,auction_strength_is_default,auction_strength_score_source_raw,auction_strength_score_raw,auction_strength_score,_auction_real_volume_score_provided,auction_real_volume_score,_volatility_risk_score_provided,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,_intraday_feature_valid_count,_intraday_code_match,intraday_status,intraday_data_status,intraday_missing_reason,_auction_source_auction_strength_score_provided,_auction_source_auction_real_volume_score_provided,auction_available,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,auction_data_status,risk_level,risk_label,risk_tags,auction_matched_key
002165.SZ,红 宝 丽,化学制品,化学制品,1→2,1.0,1→2,20260828,U,8.37,8.37,6.85,1,193649282.0,94242,100306,1/1,16.57,981934912.0,6091396364.52,6154208560.8,193649282.0,0.78,0.035,0.16,limit_list_d,1min,241,1,09:43:00,15:00:00,1,0.0,4.779,0,,0.0,36.3262,8.1447,2.7657,0.013434,0.0,0.0,31,0.0,70.0,0.6739780000000001,0.1273476,neutral_limitup,1,002165.SZ,1.0,0,67.3978,0.6739780000000001,1.0,0,8.25,0.0825,1.0,0,0.0,0.0,1.0,0,36.3262,0.363262,0.363262,1.0,0,0.0,0.0,1.0,0.7,0.0,0,,,0.38692509855453366,0.0,0.5,0.0,0.0,0.0,0.636738,0.0,20260828,intraday_refine_v2,002165.SZ,6.0,1.0,ok,ok,,1,0,1,0.6828845647831802,0.1273476,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002165.SZ
002212.SZ,天融信,软件开发,软件开发,1→2,1.0,1→2,20260828,U,6.93,6.93,5.67,0,125389341.0,93803,93803,1/1,9.41,751126816.0,8086264838.19,8173615332.96,125389341.0,0.78,0.035,0.16,limit_list_d,1min,241,1,09:35:00,15:00:00,2,0.0,2.886,0,,0.0,47.684,6.8441,1.2544,0.045412,0.0,0.0,31,0.0,70.0,0.708052,0.10463200000000002,neutral_limitup,1,002212.SZ,1.0,0,70.8052,0.708052,1.0,0,8.25,0.0825,1.0,0,0.0,0.0,1.0,0,47.684,0.47684,0.47684,1.0,0,0.0,0.0,1.0,0.7,0.0,0,,,0.792857142857143,0.0,0.5,0.0,0.0,0.0,0.5231600000000001,0.0,20260828,intraday_refine_v2,002212.SZ,6.0,1.0,ok,ok,,1,0,1,0.7767121714285715,0.10463200000000002,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002212.SZ
002229.SZ,鸿博股份,IT服务Ⅱ,IT服务Ⅱ,1→2,1.0,1→2,20260828,U,12.29,12.29,10.05,1,81128748.0,100348,100542,1/1,16.43,969490256.0,6060989259.29,6061289368.8,81128748.0,0.78,0.035,0.16,limit_list_d,1min,241,1,10:04:00,15:00:00,1,0.0,2.8478,0,,0.0,47.9129,11.9684,2.687,0.032143,0.0,0.0,31,0.0,57.0,0.650239,0.1041742,neutral_limitup,1,002229.SZ,1.0,0,65.0239,0.650239,1.0,0,10.2,0.102,1.0,0,0.0,0.0,1.0,0,47.9129,0.479129,0.479129,1.0,0,0.0,0.0,1.0,0.57,0.0,0,,,0.45,0.0,0.5,0.0,0.0,0.0,0.520871,0.0,20260828,intraday_refine_v2,002229.SZ,6.0,1.0,ok,ok,,1,0,1,0.7083975000000001,0.1041742,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002229.SZ
002279.SZ,久其软件,软件开发,软件开发,1→2,1.0,1→2,20260828,U,7.05,7.05,5.77,0,122216685.0,93257,93257,1/1,5.84,323045328.0,5612423029.65,6078558391.2,122216685.0,0.78,0.035,0.16,limit_list_d,1min,241,1,09:33:00,15:00:00,1,0.0,4.539,0,,0.0,37.766,6.9467,1.4863,0.02992,0.0,0.0,31,0.0,70.0,0.6782980000000001,0.12446800000000001,neutral_limitup,1,002279.SZ,1.0,0,67.8298,0.6782980000000001,1.0,0,8.25,0.0825,1.0,0,0.0,0.0,1.0,0,37.766,0.37766,0.37766,1.0,0,0.0,0.0,1.0,0.7,0.0,0,,,0.6278471138845554,0.0,0.5,0.0,0.0,0.0,0.62234,0.0,20260828,intraday_refine_v2,002279.SZ,6.0,1.0,ok,ok,,1,0,1,0.7231984670826833,0.12446800000000001,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002279.SZ
002349.SZ,精华制药,中药Ⅱ,中药Ⅱ,1→2,1.0,1→2,20260828,U,7.89,7.89,6.45,0,96440259.0,101803,101803,1/1,5.19,325503408.0,6423887364.12,6557602318.56,96440259.0,0.78,0.035,0.16,limit_list_d,1min,241,1,10:19:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,7.6964,2.5151,0.04017,0.0,0.0,31,0.0,57.0,0.7015,0.0765,neutral_limitup,1,002349.SZ,1.0,0,70.15,0.7015,1.0,0,10.2,0.102,1.0,0,0.0,0.0,1.0,0,65.0,0.65,0.65,1.0,0,0.0,0.0,1.0,0.57,0.0,0,,,0.4165271966527196,0.0,0.5,0.0,0.0,0.0,0.35,0.0,20260828,intraday_refine_v2,002349.SZ,6.0,1.0,ok,ok,,1,0,1,0.752929079497908,0.06999999999999999,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002349.SZ
002354.SZ,天娱数科,广告营销,广告营销,1→2,1.0,1→2,20260828,U,7.85,7.85,6.43,0,529592768.0,93000,93000,1/1,5.63,718716592.0,12771901165.15,12988498718.4,529592768.0,0.78,0.035,0.16,limit_list_d,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,7.85,-0.0,0.037015,0.0,0.0,31,0.0,70.0,0.76,0.06999999999999999,healthy_limitup,1,002354.SZ,1.0,0,76.0,0.76,1.0,0,8.25,0.0825,1.0,0,0.0,0.0,1.0,0,65.0,0.65,0.65,1.0,0,0.0,0.0,1.0,0.7,0.0,0,,,1.0,0.0,0.5,0.0,0.0,0.0,0.35,0.0,20260828,intraday_refine_v2,002354.SZ,6.0,1.0,ok,ok,,1,0,1,0.858,0.06999999999999999,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002354.SZ
002396.SZ,星网锐捷,通信设备,通信设备,2→3,2.0,2→3,20260828,U,36.69,36.69,30.02,7,144942377.0,93609,145251,3/6,15.16,4141078928.0,27789560239.14,27904739761.92,144942377.0,0.92,0.015,0.35,limit_list_d,1min,241,1,09:37:00,15:00:00,3,2.0,1.0357,2,4.0,90.0,66.2858,36.0699,1.7192,0.26047,0.0,0.0,24,0.264847,61.3788,0.65885,0.2468825,neutral_limitup,1,002396.SZ,1.0,0,65.885,0.65885,1.0,0,30.3143,0.303143,1.0,0,26.4847,0.264847,1.0,0,66.2858,0.662858,0.662858,1.0,0,2.0,2.0,1.0,0.613788,0.0,0,,,0.5309595202398792,0.0,0.5,0.0,0.0,0.4,0.33714200000000005,0.0,20260828,intraday_refine_v2,002396.SZ,6.0,1.0,ok,ok,,1,0,1,0.6469011280359819,0.2468825,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002396.SZ
002427.SZ,尤夫股份,化学纤维,化学纤维,1→2,1.0,1→2,20260828,U,5.19,5.19,4.25,1,48430568.0,132106,132836,1/1,6.53,320808176.0,5109648347.34,5114396148.96,48430568.0,0.78,0.035,0.16,limit_list_d,1min,241,1,13:22:00,15:00:00,1,0.0,1.7341,0,,0.0,54.5954,4.9879,4.0508,0.030426,0.0,0.0,31,0.0,45.0,0.616286,0.09080920000000002,neutral_limitup,1,002427.SZ,1.0,0,61.6286,0.616286,1.0,0,12.0,0.12,1.0,0,0.0,0.0,1.0,0,54.5954,0.5459539999999999,0.5459539999999999,1.0,0,0.0,0.0,1.0,0.45,0.0,0,,,0.45,0.0,0.5,0.0,0.0,0.0,0.45404600000000006,0.0,20260828,intraday_refine_v2,002427.SZ,6.0,1.0,ok,ok,,1,0,1,0.7115766,0.09080920000000002,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002427.SZ
002437.SZ,誉衡药业,化学制药,化学制药,1→2,1.0,1→2,20260828,U,4.86,4.86,3.98,0,231183877.0,143412,143412,1/1,38.86,3612936944.0,10219006915.2,10837159102.08,231183877.0,0.78,0.035,0.16,limit_list_d,1min,241,1,14:35:00,15:00:00,1,0.0,2.2634,0,,0.0,51.4198,4.4216,9.9161,0.174181,2.3158,0.0,26,0.12,17.0,0.45075899999999997,0.14400000000000002,weak_limitup,1,002437.SZ,1.0,0,45.0759,0.45075899999999997,1.0,0,19.2,0.192,1.0,0,12.0,0.12,1.0,0,51.4198,0.514198,0.514198,1.0,0,0.0,0.0,1.0,0.17,0.0,0,,,0.5042986425339364,0.0,0.5,0.0,0.0,0.0,0.48580199999999996,0.0,20260828,intraday_refine_v2,002437.SZ,6.0,1.0,ok,ok,,1,0,1,0.6397120963800905,0.13316039999999998,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002437.SZ
002486.SZ,嘉麟杰,服装家纺,服装家纺,1→2,1.0,1→2,20260828,U,2.95,2.95,2.41,0,46530125.0,140018,140018,1/1,9.38,219805227.0,2420268370.2,2431635156.8,46530125.0,0.78,0.035,0.16,limit_list_d,1min,241,1,14:01:00,15:00:00,1,0.0,1.0169,0,,0.0,58.8983,2.8553,3.3154,0.036504,0.0,0.0,31,0.0,45.0,0.629195,0.09,neutral_limitup,1,002486.SZ,1.0,0,62.9195,0.629195,1.0,0,12.0,0.12,1.0,0,0.0,0.0,1.0,0,58.8983,0.588983,0.588983,1.0,0,0.0,0.0,1.0,0.45,0.0,0,,,0.47238805970149156,0.0,0.5,0.0,0.0,0.0,0.41101699999999997,0.0,20260828,intraday_refine_v2,002486.SZ,6.0,1.0,ok,ok,,1,0,1,0.7274133089552237,0.0822034,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,002486.SZ
