rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,002084.SZ,海鸥住工,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.4207882223008509,0.03145,0.00315,0.0,0.00315,0.4590882223008509
2,000017.SZ,深中华A,1,ok,,0.671056,0.753637,0.090296,0,0.090296,0.0,0.54852,0.0,0.6174418604651158,1.0,低,健康涨停,0.36531681299149454,0.028840925000000003,0.00406332,0.0,0.00406332,0.3876194179914946
3,600362.SH,江西铜业,1,ok,,0.721828,0.755112,0.095448,0,0.095448,0.0,0.522761,0.0,0.5600792751981885,1.0,低,健康涨停,0.3937301694744523,0.028877800000000002,0.00429516,0.0,0.00429516,0.3943878094744523
4,600103.SH,青山纸业,1,ok,,0.739251,0.769728,0.083833,0,0.083833,0.0,0.580836,0.0,0.5452380952380963,1.0,低,健康涨停,0.3559976740111905,0.029243200000000004,0.003772485,0.0,0.003772485,0.37264338901119054
5,002418.SZ,康盛股份,1,ok,,0.743857,0.842395,0.080762,0,0.0807624,0.0,0.596188,0.0,1.0,1.0,低,健康涨停,0.3650172760436712,0.031059875,0.00363429,0.0,0.00363429,0.38361786104367124
6,000533.SZ,顺钠股份,1,ok,,0.571531,0.668313,0.120646,0,0.120646,0.0,0.39677,0.0,0.45,1.0,低,健康涨停,0.372148440115485,0.026707825000000004,0.00542907,0.0,0.00542907,0.36950219511548504
7,603083.SH,剑桥科技,1,ok,,0.6840519999999999,0.756645,0.081632,0,0.0816322,0.0,0.591839,0.0,0.553746397694525,1.0,低,健康涨停,0.35053175127538705,0.028916125,0.0036734399999999996,0.0,0.0036734399999999996,0.3518494362753871
8,603979.SH,金诚信,1,ok,,0.730115,0.774456,0.089923,0,0.08992320000000001,0.0,0.550384,0.0,0.6356344554995225,1.0,低,健康涨停,0.36901255222980844,0.029361400000000003,0.004046535,0.0,0.004046535,0.37040241722980843
9,002366.SZ,融发核电,1,ok,,0.7340380000000001,0.832904,0.087308,0,0.087308,0.0,0.563462,0.0,1.0,1.0,低,健康涨停,0.33327549245022053,0.0308226,0.003928859999999999,0.0,0.003928859999999999,0.33624423245022056
10,000428.SZ,华天酒店,1,ok,,0.718316,0.772705,0.097789,0,0.09778940000000001,0.0,0.511053,0.0,0.6999999999999992,1.0,低,健康涨停,0.2946546904298821,0.029317625,0.004400505,0.0,0.004400505,0.31074681042988217
11,002295.SZ,精艺股份,1,ok,,0.695778,0.720289,0.112815,0,0.112815,0.0,0.435927,0.0,0.49580152671755795,1.0,低,健康涨停,0.34954121651010084,0.028007224999999997,0.005076675,0.0,0.005076675,0.34854676651010086
12,001258.SZ,立新能源,1,ok,,0.578269,0.649929,0.116154,0,0.116154,0.0,0.41923099999999996,0.0,0.2840113913751015,1.0,低,健康涨停,0.3514462698520896,0.026248225,0.005226929999999999,0.0,0.005226929999999999,0.3485425648520896
13,000712.SZ,锦龙股份,1,ok,,0.695385,0.709991,0.113077,0,0.11307700000000001,0.0,0.43461500000000003,0.0,0.4296839729119642,1.0,低,健康涨停,0.30823788411664066,0.027749775000000004,0.0050884649999999995,0.0,0.0050884649999999995,0.3069741941166407
14,603618.SH,杭电股份,1,ok,,0.831707,0.846223,0.102195,0,0.1021954,0.0,0.739023,1.0,0.859372846312888,1.0,低,健康涨停,0.32930874759073686,0.031155574999999998,0.008598775,0.0,0.008598775,0.3279405475907369
15,600371.SH,万向德农,1,ok,,0.781791,0.78642,0.119873,0,0.13485000000000003,0.0,0.6506350000000001,1.0,0.6783737024221449,1.0,低,健康涨停,0.29525109984610726,0.0296605,0.009394284999999999,0.0,0.009394284999999999,0.30669231484610726
16,002949.SZ,华阳国际,1,ok,,0.7240389999999999,0.685909,0.190974,0,0.190974,0.0,0.545132,2.0,0.464469453376206,1.0,低,健康涨停,0.270808961188338,0.027147724999999998,0.01659383,0.0,0.01659383,0.2725378561883381
