ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
300985.SZ,致远新能,通用设备,通用设备,1→2,1.0,1→2,20260703,U,49.67,49.67,33.11,0,59175000.0,130139,130139,1/1,4.31,369561808.0,9264074881.6,9264074881.6,59175000.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,13:02:00,15:00:00,1,0.0,1.3892,0,,0.0,56.665,0.015556,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,300985.SZ,0,62.2495,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,300985.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
301199.SZ,迈赫股份,自动化设,自动化设,1→2,1.0,1→2,20260703,U,21.28,21.28,14.18,0,6708371.0,140551,140551,1/1,5.75,207344828.0,3823502620.0,3972465280.0,6708371.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,14:06:00,15:00:00,1,0.0,0.9398,0,,0.0,59.3609,0.042453,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,301199.SZ,0,63.0583,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,301199.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
301379.SZ,天山电子,光学光电,光学光电,1→2,1.0,1→2,20260703,U,32.16,32.16,21.44,6,32503886.0,93833,143930,2/4,22.75,1559512064.0,7000779991.2,8891853050.88,32503886.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:39:00,15:00:00,3,3.0,4.7264,3,4.3333,88.6667,31.6751,0.059955,0.0,30,1.0,54.7333,1.0,1.0,high_open_board_risk,1.0,301379.SZ,0,56.1325,0,35.7233,0,12.0,1,,0.5,0,3.0,0.5,1,,0.5,0.5,0.0,0.6,0.5,0.0,20260703,intraday_refine_v2,301379.SZ,ok,ok,,1,ok,0.535,0.5499999999999999,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
301499.SZ,维科精密,汽车零部件,汽车零部件,1→2,1.0,1→2,20260703,U,34.74,34.74,23.16,0,33165096.0,134651,134651,1/1,25.88,292465312.0,1200743528.58,4802974044.84,33165096.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,13:47:00,15:00:00,1,0.0,0.5757,0,,0.0,61.5458,0.027069,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,301499.SZ,0,63.7137,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,301499.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
301596.SZ,瑞迪智驱,通用设备,通用设备,1→2,1.0,1→2,20260703,U,63.97,63.97,42.65,4,27999669.0,130915,131500,1/1,18.34,488549456.0,2804653214.26,6910769937.4,27999669.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,13:10:00,15:00:00,1,2.0,0.766,2,1.0,100.0,71.4041,0.013676,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,301596.SZ,0,66.6712,0,23.65,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260703,intraday_refine_v2,301596.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600143.SH,金发科技,塑料,塑料,1→2,1.0,1→2,20260703,U,17.01,17.01,13.91,2,114874109.0,112644,112853,1/1,4.6,2008422624.0,44818390736.28,45472805239.68,114874109.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,11:27:00,15:00:00,1,1.0,0.1176,1,1.0,100.0,87.2945,0.01415,0.0,31,0.0,55.0,1.0,1.0,healthy_limitup,1.0,600143.SH,0,75.9384,0,14.45,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260703,intraday_refine_v2,600143.SH,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600376.SH,首开股份,房地产开发,房地产开发,1→2,1.0,1→2,20260703,U,3.81,3.81,3.11,0,140795250.0,92503,92503,1/1,1.44,141211805.0,9828143572.02,9828143594.88,140795250.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.021069,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,600376.SH,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600376.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600391.SH,航发科技,航空装备,航空装备,1→2,1.0,1→2,20260703,U,35.52,35.52,29.06,1,60806688.0,93848,112500,2/4,3.33,384730720.0,11726195115.84,11726194867.2,60806688.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:39:00,15:00:00,2,1.0,1.3795,1,3.0,90.0,76.223,0.016158,0.0,31,0.0,78.0,1.0,1.0,healthy_limitup,1.0,600391.SH,0,82.9669,0,13.5,0,0.0,1,,0.5,0,1.0,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260703,intraday_refine_v2,600391.SH,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600530.SH,交大昂立,食品加工,食品加工,1→2,1.0,1→2,20260703,U,5.7,5.7,4.66,0,53800020.0,95030,95030,1/1,1.51,64902703.0,4417044000.0,4417044000.0,53800020.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:51:00,15:00:00,1,0.0,0.8772,0,,0.0,59.7368,0.00918,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,600530.SH,0,74.4211,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600530.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
600580.SH,卧龙电驱,电机Ⅱ,电机Ⅱ,1→2,1.0,1→2,20260703,U,37.35,37.35,30.56,1,244120757.0,100209,100318,1/1,5.13,2920380528.0,58177574285.85,58345088774.4,244120757.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,10:03:00,15:00:00,1,0.0,0.6961,0,,0.0,60.8233,0.016464,0.0,31,0.0,57.0,1.0,1.0,neutral_limitup,1.0,600580.SH,0,68.897,0,10.2,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,600580.SH,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
