ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000010.SZ,美丽生态,建筑工程,建筑工程,20260413,U,4.13,4.13,3.38,0,127900731.0,100918,100918,127900731.0
000026.SZ,飞亚达,服饰,服饰,20260413,U,16.41,16.41,13.43,0,121481392.0,94103,94103,121481392.0
000402.SZ,金 融 街,全国地产,全国地产,20260413,U,3.06,3.06,2.5,1,28033896.0,94257,94342,28033896.0
000612.SZ,焦作万方,铝,铝,20260413,U,13.51,13.51,11.05,1,46931038.0,93039,93854,46931038.0
000688.SZ,国城矿业,铅锌,铅锌,20260413,U,45.13,45.13,36.93,1,52283105.0,130318,131221,52283105.0
000791.SZ,甘肃能源,水力发电,水力发电,20260413,U,8.0,8.0,6.54,0,128860832.0,93000,93000,128860832.0
000968.SZ,蓝焰控股,石油开采,石油开采,20260413,U,10.18,10.18,8.33,8,18558140.0,131345,142418,18558140.0
001203.SZ,大中矿业,普钢,普钢,20260413,U,42.67,42.67,34.91,0,124723556.0,141306,141306,124723556.0
001299.SZ,美能能源,供气供热,供气供热,20260413,U,16.85,16.85,13.79,1,177922402.0,94427,94618,177922402.0
002080.SZ,中材科技,玻璃,玻璃,20260413,U,50.14,50.14,41.02,1,184853695.0,103439,112709,184853695.0
002124.SZ,天邦食品,农业综合,农业综合,20260413,U,2.59,2.59,2.12,2,51532564.0,94309,94900,51532564.0
002240.SZ,盛新锂能,小金属,小金属,20260413,U,44.86,44.86,36.7,0,234212400.0,130421,130421,234212400.0
002297.SZ,博云新材,航空,航空,20260413,U,12.08,12.08,9.88,0,659582689.0,92500,92500,659582689.0
002321.SZ,华英农业,农业综合,农业综合,20260413,U,2.27,2.27,1.85,0,130413089.0,93218,93218,130413089.0
002364.SZ,中恒电气,电气设备,电气设备,20260413,U,38.63,38.63,31.61,0,720067410.0,92500,92500,720067410.0
002418.SZ,康盛股份,家用电器,家用电器,20260413,U,6.26,6.26,5.12,3,155255493.0,93045,95130,155255493.0
002436.SZ,兴森科技,元器件,元器件,20260413,U,25.23,25.23,20.65,5,44024760.0,141927,145615,44024760.0
002439.SZ,启明星辰,软件服务,软件服务,20260413,U,14.26,14.26,11.66,1,118164249.0,92500,93133,118164249.0
002467.SZ,二六三,互联网,互联网,20260413,U,7.87,7.87,6.44,1,95790019.0,103857,131648,95790019.0
