ts_code,name,industry,trade_date,close,pct_chg,vol,turnover_rate,circ_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
301667.SZ,纳百川,汽车零部件,20260730,65.82,20.0,41060.89,17.3035,,2.77,22877387.74,1.0,U,65.82,43.88,0.0,73529101.0,10:06:00,15:00:00,0.0,77.403846,77.403846,77.403846,0.747102,-0.538729,76.865117,1,ok,,20260730,intraday_refine_v2,301667.SZ,1,0.683998,0.081668,0,0.0816682,0.0,0.591659,0.0,0.0,0.4904740200546945,0.5,0.57,1.0,ok,ok,9,,A,0.9326923076923077,0.5096153846153846,0.9807692307692307,0.75,0.5096153846153846,0.7307692307692307,0.7307692307692308,1.0
003032.SZ,传智教育,教育,20260730,8.01,10.0275,250275.0,8.7976,,1.52,15785246.28,1.0,U,8.01,6.55,0.0,108070920.0,09:31:00,15:00:00,0.0,67.923077,67.923077,67.923077,0.837613,3.167645,71.090722,1,ok,,20260730,intraday_refine_v2,003032.SZ,1,0.757753,0.071498,0,0.0714982,0.0,0.642509,0.0,0.0,0.8785714285714283,0.5,0.7,1.0,ok,ok,9,,A,0.7115384615384616,0.5096153846153846,0.7884615384615384,0.25961538461538464,0.5096153846153846,0.8653846153846154,0.7307692307692308,1.0
301449.SZ,天溯计量,专业服务,20260730,39.08,19.9877,49079.09,23.8903,,7.31,-11457779.81,1.0,U,39.08,26.06,0.0,32408027.0,13:21:00,15:00:00,0.0,69.923077,69.923077,69.923077,0.687558,-0.233455,69.689622,1,ok,,20260730,intraday_refine_v2,301449.SZ,1,0.615258,0.091494,0,0.0914944,0.0,0.542528,0.0,0.0,0.29650325477266276,0.5,0.45,1.0,ok,ok,9,,A,0.9038461538461539,0.5096153846153846,0.8653846153846154,0.9807692307692307,0.5096153846153846,0.25,0.7307692307692308,1.0
300996.SZ,普联软件,软件开发,20260730,15.52,20.0309,467530.71,14.034,,2.31,47415985.2,1.0,U,15.52,10.34,0.0,24708460.0,09:34:00,15:00:00,0.0,66.615385,66.615385,66.615385,0.792974,2.536403,69.151788,1,ok,,20260730,intraday_refine_v2,300996.SZ,1,0.692732,0.114845,0,0.11484540000000001,0.0,0.425773,0.0,0.0,1.0,0.5,0.7,1.0,ok,ok,9,,A,0.9615384615384616,0.5096153846153846,0.9038461538461539,0.5865384615384616,0.5096153846153846,0.11538461538461539,0.7307692307692308,1.0
603352.SH,至信股份,汽车零部件,20260730,27.06,10.0,43977.88,9.701,,4.34,,1.0,U,27.06,22.14,0.0,87709199.0,10:26:00,15:00:00,0.0,67.557692,67.557692,67.557692,0.752163,1.531722,69.089414,1,ok,,20260730,intraday_refine_v2,603352.SH,1,0.6955129999999999,0.073991,0,0.0765,0.0,0.6300439999999999,0.0,0.0,0.45,0.5,0.57,1.0,ok,ok,9,,A,0.4326923076923077,0.5096153846153846,0.8269230769230769,0.9230769230769231,0.5096153846153846,0.7692307692307693,0.7307692307692308,1.0
001309.SZ,德明利,半导体,20260730,390.04,10.0006,306387.35,18.5656,,1.31,-705911602.65,1.0,U,390.04,319.12,1.0,715633690.0,13:23:00,15:00:00,1.0,66.5,66.5,66.5,0.731839,1.33678,67.83678,1,ok,,20260730,intraday_refine_v2,001309.SZ,1,0.673189,0.119674,0,0.15457500000000002,0.0,0.651631,1.0,0.2,0.5303767838005523,0.5,0.506,1.0,ok,ok,9,,A,0.4807692307692308,0.5096153846153846,1.0,0.19230769230769232,0.5096153846153846,1.0,0.3269230769230769,1.0
920685.BJ,新芝生物,通用设备,20260730,13.65,30.0,110323.08,18.9188,,16.96,-8355997.51,1.0,U,13.65,7.35,5.0,2706030.0,09:49:00,15:00:00,5.0,65.865385,65.865385,65.865385,0.747043,1.767783,67.633168,1,ok,,20260730,intraday_refine_v2,920685.BJ,1,0.707286,0.205143,0,0.205143,0.0,0.47428600000000004,2.0,0.4,1.0,0.5,0.7,1.0,ok,ok,9,,A,1.0,0.5096153846153846,0.9423076923076923,1.0,0.5096153846153846,0.019230769230769232,0.04807692307692309,1.0
301668.SZ,昊创瑞通,电网设备,20260730,37.26,20.0,56738.71,23.3218,,5.25,19038253.89,1.0,U,37.26,24.84,2.0,31546551.0,10:01:00,15:00:00,2.0,66.576923,66.576923,66.576923,0.677725,0.239115,66.816038,1,ok,,20260730,intraday_refine_v2,301668.SZ,1,0.678373,0.182418,0,0.182418,0.0,0.587911,2.0,0.4,0.4442028985507248,0.5,0.56,1.0,ok,ok,9,,A,0.9326923076923077,0.5096153846153846,0.8846153846153846,0.9615384615384616,0.5096153846153846,0.21153846153846154,0.14423076923076922,1.0
002882.SZ,金龙羽,电网设备,20260730,21.62,10.0254,155237.15,6.2904,,2.93,21607566.9,1.0,U,21.62,17.69,1.0,55688796.0,09:31:00,15:00:00,1.0,62.153846,62.153846,62.153846,0.784622,3.261671,65.415517,1,ok,,20260730,intraday_refine_v2,002882.SZ,1,0.7812350000000001,0.129844,0,0.129844,0.0,0.600782,1.0,0.2,0.7339694656488546,0.5,0.78,1.0,ok,ok,9,,A,0.6923076923076923,0.5096153846153846,0.6346153846153846,0.7692307692307693,0.5096153846153846,0.5576923076923077,0.3269230769230769,1.0
600228.SH,返利科技,数字媒体,20260730,7.33,10.0601,241619.46,5.8076,,1.07,64149906.92,1.0,U,7.33,5.99,0.0,63224651.0,09:38:00,15:00:00,0.0,62.153846,62.153846,62.153846,0.776851,3.106251,65.260097,1,ok,,20260730,intraday_refine_v2,600228.SH,1,0.76,0.07,0,0.07,0.0,0.65,0.0,0.0,0.4590090090090085,0.5,0.7,1.0,ok,ok,9,,A,0.8269230769230769,0.5096153846153846,0.5961538461538461,0.11538461538461539,0.5096153846153846,0.6346153846153846,0.7307692307692308,1.0
