ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000506.SZ,招金黄金,黄金,20260127,U,23.57,23.57,19.29,10,37077967.0,95854,142315,37077967.0
000592.SZ,平潭发展,林业,20260127,U,10.68,10.68,8.74,0,493957390.0,100848,100848,493957390.0
000659.SZ,珠海中富,广告包装,20260127,U,4.93,4.93,4.03,0,72285222.0,145112,145112,72285222.0
000738.SZ,航发控制,航空,20260127,U,26.33,26.33,21.55,2,97582718.0,131842,141354,97582718.0
001267.SZ,汇绿生态,建筑工程,20260127,U,28.09,28.09,22.99,0,135309530.0,112330,112330,135309530.0
001311.SZ,多利科技,汽车配件,20260127,U,44.48,44.48,36.4,0,140643313.0,131254,131254,140643313.0
001337.SZ,四川黄金,黄金,20260127,U,60.78,60.78,49.73,3,7980414.0,143851,145627,7980414.0
002009.SZ,天奇股份,工程机械,20260127,U,28.72,28.72,23.5,2,167573962.0,93057,100527,167573962.0
002030.SZ,达安基因,医疗保健,20260127,U,7.71,7.71,6.31,2,65239375.0,93021,102939,65239375.0
002115.SZ,三维通信,互联网,20260127,U,15.73,15.73,12.87,2,193914013.0,93106,95036,193914013.0
002119.SZ,康强电子,半导体,20260127,U,24.75,24.75,20.25,2,123516186.0,101300,104027,123516186.0
002150.SZ,正泰电源,机械基件,20260127,U,25.88,25.88,21.18,0,81871742.0,132221,132221,81871742.0
002155.SZ,湖南黄金,黄金,20260127,U,27.8,27.8,22.74,0,3154449181.0,92500,92500,3154449181.0
002185.SZ,华天科技,半导体,20260127,U,14.66,14.66,12.0,0,478531514.0,135212,135212,478531514.0
002218.SZ,拓日新能,新型电力,20260127,U,6.61,6.61,5.41,2,171375030.0,93133,93512,171375030.0
002291.SZ,遥望科技,广告包装,20260127,U,8.28,8.28,6.78,1,235559293.0,92500,95221,235559293.0
002446.SZ,盛路通信,通信设备,20260127,U,12.46,12.46,10.2,0,132647291.0,131103,131103,132647291.0
002524.SZ,光正眼科,医疗保健,20260127,U,5.56,5.56,4.55,1,189026088.0,103327,103348,189026088.0
002634.SZ,棒杰股份,服饰,20260127,U,5.91,5.91,4.83,0,17996541.0,93451,93451,17996541.0
002796.SZ,世嘉科技,通信设备,20260127,U,50.39,50.39,41.23,2,41949271.0,104221,143309,41949271.0
002943.SZ,宇晶股份,机床制造,20260127,U,77.0,77.0,63.0,0,76728652.0,130127,130127,76728652.0
002995.SZ,天地在线,互联网,20260127,U,27.61,27.61,22.59,1,47249048.0,100048,100506,47249048.0
003031.SZ,中瓷电子,元器件,20260127,U,84.79,84.79,69.37,0,153950828.0,101836,101836,153950828.0
003042.SZ,中农联合,农药化肥,20260127,U,23.1,23.1,18.9,1,430780350.0,93148,94130,430780350.0
300639.SZ,凯普生物,医疗保健,20260127,U,8.7,8.7,5.8,10,12379595.0,130806,143639,12379595.0
300689.SZ,澄天伟业,通信设备,20260127,U,53.3,53.3,35.54,0,160853537.0,102421,102421,160853537.0
300806.SZ,斯迪克,塑料,20260127,U,50.04,50.04,33.36,0,137901733.0,112803,112803,137901733.0
