rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,000712.SZ,锦龙股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.43354677632673694,0.0,0.0,0.0,0.0,0.42472177632673697
2,002155.SZ,湖南黄金,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.40595026684426444,0.0,0.0,0.0,0.0,0.38202526684426447
3,600103.SH,青山纸业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.744748,0.0,0,0.0,0.0,0.5,0.0,0.8649855907780973,0.0,中,分时缺失|低置信,0.42224238162817634,0.0,0.0,0.0,0.0,0.43224238162817635
4,600095.SH,湘财股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.716756,0.0,0,0.0,0.0,0.5,0.0,0.6783737024221449,0.0,中,分时缺失|低置信,0.36455617920705197,0.0,0.0,0.0,0.0,0.355731179207052
5,002084.SZ,海鸥住工,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.349058621400459,0.0,0.0,0.0,0.0,0.358783621400459
6,000017.SZ,深中华A,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.692965,0.0,0,0.0,0.0,0.5,0.0,0.5197674418604653,0.0,中,分时缺失|低置信,0.3523473042387189,0.0,0.0,0.0,0.0,0.3351223042387189
7,600613.SH,神奇制药,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.3509271332519018,0.0,0.0,0.0,0.0,0.3270021332519018
8,002942.SZ,新农股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.31991704984526,0.0,0.0,0.0,0.0,0.31109204984526
9,000962.SZ,东方钽业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.6825,0.0,0,0.0,0.0,0.5,0.0,0.45,0.0,中,分时缺失|低置信,0.31605712133231073,0.0,0.0,0.0,0.0,0.29213212133231076
10,002886.SZ,沃特股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.70931,0.0,0,0.0,0.0,0.5,0.0,0.6287351054078816,0.0,中,分时缺失|低置信,0.3484377755032833,0.0,0.0,0.0,0.0,0.32451277550328333
