ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000035.SZ,中国天楹,环境保护,环境保护,20260324,U,7.46,7.46,6.1,3,38753954.0,93503,105003,38753954.0
000065.SZ,北方国际,建筑工程,建筑工程,20260324,U,14.22,14.22,11.64,0,71023780.0,104509,104509,71023780.0
000415.SZ,渤海租赁,多元金融,多元金融,20260324,U,4.29,4.29,3.51,0,109366677.0,130206,130206,109366677.0
000509.SZ,华塑控股,元器件,元器件,20260324,U,4.5,4.5,3.68,0,63453096.0,94524,94524,63453096.0
000537.SZ,绿发电力,新型电力,新型电力,20260324,U,11.95,11.95,9.77,2,,144951,,
000539.SZ,粤电力Ａ,火力发电,火力发电,20260324,U,6.78,6.78,5.54,0,74710854.0,145545,145545,74710854.0
000601.SZ,韶能股份,水力发电,水力发电,20260324,U,8.06,8.06,6.6,2,97958547.0,93536,103409,97958547.0
000677.SZ,恒天海龙,化纤,化纤,20260324,U,4.93,4.93,4.03,0,96009496.0,103515,103515,96009496.0
000688.SZ,国城矿业,铅锌,铅锌,20260324,U,35.86,35.86,29.34,0,33267322.0,145242,145242,33267322.0
000720.SZ,新能泰山,电气设备,电气设备,20260324,U,4.14,4.14,3.38,0,124971277.0,92500,92500,124971277.0
000722.SZ,湖南发展,水力发电,水力发电,20260324,U,15.11,15.11,12.37,0,134234202.0,93421,93421,134234202.0
000811.SZ,冰轮环境,工程机械,工程机械,20260324,U,18.11,18.11,14.81,0,85199509.0,133842,133842,85199509.0
001203.SZ,大中矿业,普钢,普钢,20260324,U,40.26,40.26,32.94,4,14163468.0,143130,145627,14163468.0
002082.SZ,万邦德,中成药,中成药,20260324,U,19.79,19.79,16.19,1,28052325.0,105521,111424,28052325.0
002083.SZ,孚日股份,纺织,纺织,20260324,U,10.96,10.96,8.96,1,63015616.0,93039,142103,63015616.0
002192.SZ,融捷股份,小金属,小金属,20260324,U,58.6,58.6,47.94,5,113672162.0,93027,103518,113672162.0
002218.SZ,拓日新能,新型电力,新型电力,20260324,U,7.25,7.25,5.93,1,314921998.0,93042,93336,314921998.0
002222.SZ,福晶科技,元器件,元器件,20260324,U,64.79,64.79,53.01,0,175693634.0,141815,141815,175693634.0
