ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
603607.SH,京华激光,造纸,20260622,21.67,10.0,160574.884,77121.76,4.3201,,386845.9056,2.17,,1.0,U,21.67,17.73,0.0,37942523.0,102139,102139.0,0.0,65.369565,65.369565,65.369565,0.69,0.0,65.369565,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.5652173913043478,0.9130434782608695,0.7681159420289855,0.15942028985507245,0.5036231884057971,0.6159420289855072,0.19202898550724637,1.0
603976.SH,正川股份,医疗保健,20260622,28.12,10.0156,166507.969,59933.85,3.9638,,425185.0856,0.58,,1.0,U,28.12,23.0,1.0,64608371.0,93433,93539.0,1.0,64.855072,64.855072,64.855072,0.69,0.0,64.855072,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.2753623188405797,0.8985507246376812,0.782608695652174,0.8731884057971014,0.5036231884057971,0.4420289855072464,0.43478260869565216,1.0
000783.SZ,长江证券,证券,20260622,8.6,9.9744,1847065.85064,2214193.34,4.0039,,4755862.694,1.52,,1.0,U,8.6,7.04,2.0,71297809.0,11:29:00,15:00:00,2.0,60.949275,60.949275,60.949275,0.795,3.710145,64.65942,1.0,ok,,20260622,intraday_refine_v2,000783.SZ,1,1.0,0.15,0,1.0,0.0,0.5,1.0,0.2,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9057971014492754,0.34057971014492755,0.7753623188405797,0.3695652173913043,0.5036231884057971,0.39855072463768115,0.5471014492753623,1.0
603012.SH,创力集团,专用机械,20260622,8.21,10.0536,122676.796,153612.6,2.3761,,530776.5,0.96,7972359.98,1.0,U,8.21,6.71,1.0,55828730.0,94407,94455.0,1.0,64.637681,64.637681,64.637681,0.69,0.0,64.637681,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.13768115942028986,0.9565217391304348,0.8913043478260869,0.6521739130434783,0.5036231884057971,0.5072463768115942,0.43478260869565216,1.0
601108.SH,财通证券,证券,20260622,8.27,9.9734,1027599.146,1294788.17,2.7882,,3840392.9107,2.0,,1.0,U,8.27,6.77,0.0,50269707.0,145443,145443.0,0.0,64.326087,64.326087,64.326087,0.69,0.0,64.326087,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.9130434782608695,0.5,0.855072463768116,0.21014492753623187,0.5036231884057971,0.5434782608695652,0.19202898550724637,1.0
000987.SZ,越秀资本,多元金融,20260622,8.23,10.0267,729767.788,921967.08,1.839,,4129099.9652,2.43,,1.0,U,8.23,6.73,9.0,19610657.0,13:15:00,15:00:00,9.0,61.985507,61.985507,61.985507,0.735,2.302899,64.288406,1.0,ok,,20260622,intraday_refine_v2,000987.SZ,1,1.0,0.25,0,1.0,0.0,0.5,3.0,0.6,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.21739130434782608,0.6014492753623188,0.9420289855072463,0.10869565217391304,0.5036231884057971,0.7971014492753623,0.8333333333333334,1.0
600961.SH,株冶集团,铅锌,20260622,31.7,9.9931,686234.42,218064.57,2.9005,,3401006.459,0.3,,1.0,U,31.7,25.94,0.0,148639302.0,93147,93147.0,0.0,64.050725,64.050725,64.050725,0.69,0.0,64.050725,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7391304347826086,0.6159420289855072,0.8405797101449275,0.9565217391304348,0.5036231884057971,0.17391304347826086,0.19202898550724637,1.0
002114.SZ,罗平锌电,铅锌,20260622,8.24,10.0134,166560.01561,205332.04,6.3493,,266477.6448,1.36,,1.0,U,8.24,6.74,0.0,28634824.0,09:41:00,15:00:00,0.0,59.34058,59.34058,59.34058,0.825,4.631884,63.972464,1.0,ok,,20260622,intraday_refine_v2,002114.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.3115942028985507,0.8913043478260869,0.5652173913043478,0.39855072463768115,0.5036231884057971,0.6666666666666666,0.19202898550724637,1.0
002657.SZ,中科金财,软件服务,20260622,21.8,9.9899,662998.71684,310996.22,9.2523,,741313.3491,1.02,,1.0,U,21.8,17.84,3.0,59714560.0,09:56:00,15:00:00,3.0,59.927536,59.927536,59.927536,0.795,3.914493,63.842029,1.0,ok,,20260622,intraday_refine_v2,002657.SZ,1,1.0,0.15,0,1.0,0.0,0.5,1.0,0.2,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.782608695652174,0.6304347826086957,0.32608695652173914,0.5978260869565217,0.5036231884057971,0.4782608695652174,0.6376811594202898,1.0
600791.SH,京能置业,全国地产,20260622,10.78,10.0,291682.756,277258.44,6.1298,,488204.64,1.23,,1.0,U,10.78,8.82,0.0,21479150.0,94545,94545.0,0.0,63.789855,63.789855,63.789855,0.69,0.0,63.789855,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.5652173913043478,0.7753623188405797,0.5797101449275363,0.463768115942029,0.5036231884057971,0.7681159420289855,0.19202898550724637,1.0
000751.SZ,锌业股份,铅锌,20260622,5.67,10.0971,185823.74916,327731.48,2.3246,,916062.5502,0.36,,1.0,U,5.67,4.64,0.0,151312182.0,09:30:00,15:00:00,0.0,58.949275,58.949275,58.949275,0.825,4.710145,63.65942,1.0,ok,,20260622,intraday_refine_v2,000751.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.11594202898550725,0.8768115942028986,0.9057971014492754,0.9347826086956522,0.5036231884057971,0.16666666666666666,0.19202898550724637,1.0
603533.SH,掌阅科技,互联网,20260622,22.92,9.9808,804541.645,365651.62,8.3312,,1005951.4656,2.24,,1.0,U,22.92,18.76,14.0,20866368.0,130332,134520.0,14.0,63.456522,63.456522,63.456522,0.69,0.0,63.456522,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.855072463768116,0.5797101449275363,0.37681159420289856,0.14492753623188406,0.5036231884057971,0.7898550724637681,0.9021739130434783,1.0
600397.SH,江钨装备,专用机械,20260622,22.22,10.0,556683.798,251224.01,2.5377,,2199690.8978,0.23,,1.0,U,22.22,18.18,1.0,198729014.0,93007,93016.0,1.0,63.028986,63.028986,63.028986,0.69,0.0,63.028986,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.5652173913043478,0.6521739130434783,0.8695652173913043,0.9710144927536232,0.5036231884057971,0.12318840579710146,0.43478260869565216,1.0
600352.SH,浙江龙盛,染料涂料,20260622,12.06,10.0365,1289306.974,1108547.3,3.4074,,3923518.2714,1.02,,1.0,U,12.06,9.86,4.0,23653193.0,10:10:00,15:00:00,4.0,57.804348,57.804348,57.804348,0.825,4.93913,62.743478,1.0,ok,,20260622,intraday_refine_v2,600352.SH,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.18115942028985507,0.45652173913043476,0.8043478260869565,0.5978260869565217,0.5036231884057971,0.7101449275362319,0.6920289855072463,1.0
003031.SZ,中瓷电子,元器件,20260622,193.92,10.0006,1647924.35573,85219.08,2.5053,,8746817.8368,0.54,,1.0,U,193.92,158.66,3.0,137312424.0,09:31:00,15:00:00,3.0,58.550725,58.550725,58.550725,0.795,4.189855,62.74058,1.0,ok,,20260622,intraday_refine_v2,003031.SZ,1,1.0,0.15,0,1.0,0.0,0.5,1.0,0.2,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.5,0.37681159420289856,0.8840579710144928,0.9094202898550725,0.5036231884057971,0.21014492753623187,0.6376811594202898,1.0
