ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
600084.SH,中信尼雅,红黄酒,20260129,U,6.62,6.62,5.42,7.0,22943596.0,92503,94300,22943596.0,9.9668,88537.058,133857.0,2.7263,2.7263,,743907.1615,1.45,,1,22943596.0,22943596.0,0.8809523809523809,1.0,0.9880952380952381,0.7142857142857143,0.5059523809523809,0.5059523809523809,0.05,0.0,86.5
600959.SH,江苏有线,影视音像,20260129,U,4.44,4.44,3.64,0.0,97476377.0,94241,94241,97476377.0,9.901,563459.792,1304315.52,5.4998,5.4998,,2220318.6526,0.78,,1,97476377.0,97476377.0,0.9821428571428571,0.7142857142857143,0.9047619047619048,0.9047619047619048,0.5059523809523809,0.5059523809523809,0.05,0.0,80.75
002155.SZ,湖南黄金,黄金,20260129,U,33.64,33.64,27.52,0.0,1983102456.0,92500,92500,1983102456.0,10.0065,147675.328,43898.73,0.4327,0.4327,,5256759.027,0.18,126251876.68,1,1983102456.0,1983102456.0,0.42857142857142855,0.9761904761904762,1.0,1.0,0.5059523809523809,0.5059523809523809,0.05,0.0,80.261905
600215.SH,派斯林,专用机械,20260129,U,7.96,7.96,6.52,0.0,91709985.0,95107,95107,91709985.0,9.9448,211890.517,272915.31,8.5155,8.5155,,363678.7725,1.72,,1,91709985.0,91709985.0,0.9523809523809523,0.8928571428571429,0.7857142857142857,0.5833333333333334,0.5059523809523809,0.5059523809523809,0.05,0.0,79.904762
605099.SH,共创草坪,文教休闲,20260129,U,43.05,43.05,35.23,0.0,69301890.0,105231,105231,69301890.0,9.9898,210606.025,51023.93,12.1952,12.1952,,1732899.201,1.29,,1,69301890.0,69301890.0,0.7619047619047619,0.9047619047619048,0.6666666666666666,0.7916666666666666,0.5059523809523809,0.5059523809523809,0.05,0.0,76.071429
000607.SZ,华媒控股,广告包装,20260129,U,5.28,5.28,4.32,0.0,99033786.0,93542,93542,99033786.0,10.0,227309.816,439116.01,9.2868,9.2868,,537344.7605,0.52,,1,99033786.0,99033786.0,0.625,0.8809523809523809,0.7380952380952381,0.9642857142857143,0.5059523809523809,0.5059523809523809,0.05,0.0,75.797619
000029.SZ,深深房Ａ,区域地产,20260129,U,21.97,21.97,17.97,0.0,112065476.0,95615,95615,112065476.0,10.015,183000.128,85655.2,3.2392,3.2392,,2222617.02,1.32,,1,112065476.0,112065476.0,0.32142857142857145,0.9523809523809523,0.9761904761904762,0.75,0.5059523809523809,0.5059523809523809,0.05,0.0,75.238095
603001.SH,奥康国际,服饰,20260129,U,10.44,10.44,8.54,0.0,80542960.0,95816,95816,80542960.0,10.0105,171818.445,168545.45,8.0531,8.0531,,418623.12,0.73,,1,80542960.0,80542960.0,0.36904761904761907,0.9642857142857143,0.8095238095238095,0.9285714285714286,0.5059523809523809,0.5059523809523809,0.05,0.0,74.5
001316.SZ,润贝航科,批发业,20260129,U,52.4,52.4,42.88,0.0,157114064.0,93412,93412,157114064.0,9.9916,261576.632,50897.6,14.6898,14.6898,,603204.8008,0.68,,1,157114064.0,157114064.0,0.75,0.8690476190476191,0.5357142857142857,0.9404761904761905,0.5059523809523809,0.5059523809523809,0.05,0.0,73.5
000813.SZ,德展健康,化学制药,20260129,U,4.17,4.17,3.41,0.0,133819795.0,93000,93000,133819795.0,10.0264,202357.118,485399.22,3.8988,3.8988,,874493.0102,1.64,,1,133819795.0,133819795.0,0.23809523809523808,0.9285714285714286,0.9642857142857143,0.6071428571428571,0.5059523809523809,0.5059523809523809,0.05,0.0,71.738095
