ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
600626.SH,申达股份,汽车配件,20260519,4.21,9.9217,138008.434,331032.71,2.9877,,556033.5048,1.35,,1.0,U,4.21,3.45,1.0,21490782.0,93433,93515,1.0,86.444444,86.444444,9,,A,0.9777777777777777,0.9444444444444444,0.9,0.5444444444444444,0.5055555555555555,0.9555555555555556,0.6555555555555556,1.0
002375.SZ,亚厦股份,装修装饰,20260519,4.87,9.9323,131338.173,277556.94,2.0853,,652578.2945,0.49,,1.0,U,4.87,3.99,0.0,90450052.0,93736,93736,0.0,82.544444,82.544444,9,,A,0.9555555555555556,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.5055555555555555,0.4777777777777778,0.2833333333333333,1.0
600936.SH,北投科技,软件服务,20260519,5.84,9.9812,350962.266,611060.6,3.6568,,975879.3236,0.43,,1.0,U,5.84,4.78,0.0,57922288.0,93533,93533,0.0,77.788889,77.788889,9,,A,0.8888888888888888,0.7555555555555555,0.8222222222222222,0.9777777777777777,0.5055555555555555,0.7333333333333333,0.2833333333333333,1.0
000910.SZ,大亚圣象,家居用品,20260519,7.06,9.9688,137558.059,202750.28,3.7054,,386462.635,1.42,,1.0,U,7.06,5.78,0.0,67073530.0,95006,95006,0.0,77.544444,77.544444,9,,A,0.9111111111111111,0.9555555555555556,0.8111111111111111,0.5,0.5055555555555555,0.6888888888888889,0.2833333333333333,1.0
600903.SH,贵州燃气,供气供热,20260519,9.69,9.9886,560552.367,582541.0,5.0655,,1114359.1164,0.72,37519461.55,1.0,U,9.69,7.93,3.0,51769212.0,93105,100741,3.0,75.955556,75.955556,9,,A,0.8444444444444444,0.6,0.7111111111111111,0.8888888888888888,0.5055555555555555,0.8111111111111111,0.9,1.0
002421.SZ,达实智能,软件服务,20260519,3.88,9.915,242736.331,625609.1,3.1228,,822785.6759,0.41,,1.0,U,3.88,3.18,0.0,322834585.0,92500,92500,0.0,73.277778,73.277778,9,,A,0.9888888888888889,0.8555555555555555,0.8888888888888888,0.9944444444444445,0.5055555555555555,0.044444444444444446,0.2833333333333333,1.0
603779.SH,威龙股份,红黄酒,20260519,12.0,9.9908,77833.86,64861.55,1.9532,,398499.3048,0.61,,1.0,U,12.0,9.82,0.0,446293740.0,92500,92500,0.0,73.255556,73.255556,9,,A,0.7666666666666667,1.0,1.0,0.9388888888888889,0.5055555555555555,0.011111111111111112,0.2833333333333333,1.0
002226.SZ,江南化工,化工原料,20260519,6.2,9.9291,667367.671,1111629.25,4.1965,,1642332.1701,3.55,,1.0,U,6.2,5.08,2.0,29765952.0,134433,135954,2.0,71.866667,71.866667,9,,A,0.9666666666666667,0.5,0.7777777777777778,0.05555555555555555,0.5055555555555555,0.9333333333333333,0.8111111111111111,1.0
605288.SH,凯迪股份,电气设备,20260519,95.1,10.0058,172427.061,18932.7,2.697,,672100.3441,1.5,14165160.17,1.0,U,95.1,77.81,0.0,64602381.0,130031,130031,0.0,70.655556,70.655556,9,,A,0.4666666666666667,0.9111111111111111,0.9333333333333333,0.45555555555555555,0.5055555555555555,0.7,0.2833333333333333,1.0
603823.SH,百合花,染料涂料,20260519,22.99,10.0,550789.837,243867.34,5.857,,957229.3515,1.5,,1.0,U,22.99,18.81,5.0,7692454.0,104510,145431,5.0,70.211111,70.211111,9,,A,0.6166666666666667,0.6222222222222222,0.6222222222222222,0.45555555555555555,0.5055555555555555,1.0,0.9555555555555556,1.0
