ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000420.SZ,吉林化纤,化纤,化纤,20260312,U,5.02,5.02,4.1,0,202258611.0,92500,92500,202258611.0
000537.SZ,绿发电力,新型电力,新型电力,20260312,U,12.51,12.51,10.23,0,280453333.0,93157,93157,280453333.0
000553.SZ,安道麦A,农药化肥,农药化肥,20260312,U,6.8,6.8,5.56,0,34507960.0,101706,101706,34507960.0
000593.SZ,德龙汇能,供气供热,供气供热,20260312,U,15.65,15.65,12.81,0,113564256.0,101918,101918,113564256.0
000600.SZ,建投能源,火力发电,火力发电,20260312,U,10.7,10.7,8.76,0,93425980.0,134145,134145,93425980.0
000890.SZ,法尔胜,环境保护,环境保护,20260312,U,10.08,10.08,8.24,3,46265214.0,94236,104645,46265214.0
000990.SZ,诚志股份,化工原料,化工原料,20260312,U,9.78,9.78,8.0,1,81286157.0,94242,111739,81286157.0
001260.SZ,坤泰股份,汽车配件,汽车配件,20260312,U,24.53,24.53,20.07,0,59009368.0,94742,94742,59009368.0
002015.SZ,协鑫能科,新型电力,新型电力,20260312,U,21.36,21.36,17.48,9,241845695.0,100315,130454,241845695.0
002150.SZ,正泰电源,机械基件,机械基件,20260312,U,32.65,32.65,26.71,1,61396692.0,93124,93724,61396692.0
002254.SZ,泰和新材,化纤,化纤,20260312,U,13.81,13.81,11.3,1,42889703.0,92500,101009,42889703.0
002445.SZ,中南文化,钢加工,钢加工,20260312,U,4.08,4.08,3.34,0,482047675.0,92500,92500,482047675.0
002487.SZ,大金重工,电气设备,电气设备,20260312,U,73.32,73.32,59.99,0,95790747.0,132127,132127,95790747.0
002498.SZ,汉缆股份,电气设备,电气设备,20260312,U,10.38,10.38,8.5,0,267705639.0,95727,95727,267705639.0
002652.SZ,扬子新材,其他建材,其他建材,20260312,U,5.37,5.37,4.39,0,35058259.0,141506,141506,35058259.0
002869.SZ,金溢科技,通信设备,通信设备,20260312,U,24.15,24.15,19.76,0,151942381.0,141215,141215,151942381.0
002951.SZ,金时科技,广告包装,广告包装,20260312,U,17.24,17.24,14.1,0,42125940.0,93748,93748,42125940.0
