ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
000066.SZ,中国长城,计算机设,计算机设,1→2,1.0,1→2,20260706,U,18.82,18.82,15.4,0,304719099.0,131221,131221,1/1,6.4,3729009536.0,60704847951.16,60709538836.16,304719099.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,13:13:00,15:00:00,1,0.0,0.3719,0,,0.0,62.7683,0.031207,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1,000066.SZ,0,64.0805,0,12.0,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000066.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000301.SZ,东方盛虹,炼化及贸,炼化及贸,1→2,1.0,1→2,20260706,U,13.81,13.81,11.3,2,51552274.0,141133,141351,1/1,1.78,1586288016.0,91261630411.88,91301120990.72,51552274.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,14:12:00,15:00:00,1,0.0,0.2896,0,,0.0,63.2621,0.045319,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1,000301.SZ,0,64.2286,0,12.0,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000301.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000545.SZ,金浦钛业,化学原料,化学原料,1→2,1.0,1→2,20260706,U,2.71,2.71,2.21,0,35763428.0,93839,93839,2/4,5.86,153496373.0,2670442390.16,2674317711.84,35763428.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,09:39:00,15:00:00,1,0.0,2.583,0,,0.0,49.5018,0.019308,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,000545.SZ,0,71.3506,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000545.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000593.SZ,德龙汇能,燃气Ⅱ,燃气Ⅱ,1→2,1.0,1→2,20260706,U,24.66,24.66,20.18,0,97754853.0,94421,94421,1/1,4.86,415247408.0,8840194947.54,8843840657.28,97754853.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,09:45:00,15:00:00,1,0.0,0.7705,0,,0.0,60.3771,0.007853,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,000593.SZ,0,74.6131,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000593.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000656.SZ,金科股份,房地产开发,房地产开发,3→4,3.0,3→4,20260706,U,1.43,1.43,1.17,4,102361502.0,92500,93730,3/3,6.93,751158880.0,10849909080.01,15141886256.64,102361502.0,1.1,0.0,0.43,limit_list_d,20260706,1min,241,1,09:30:00,15:00:00,1,0.0,3.4965,0,,0.0,44.021,0.001703,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,000656.SZ,0,69.7063,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000656.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000892.SZ,欢瑞世纪,影视院线,影视院线,1→2,1.0,1→2,20260706,U,3.76,3.76,3.08,0,50980437.0,93512,93512,2/3,7.23,188295888.0,2672745067.04,3688486604.8,50980437.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,09:36:00,15:00:00,1,0.0,4.5213,0,,0.0,37.8723,0.028662,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,000892.SZ,0,67.8617,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000892.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000938.SZ,紫光股份,IT服务Ⅱ,IT服务Ⅱ,1→2,1.0,1→2,20260706,U,33.31,33.31,27.25,0,394406255.0,134624,134624,1/1,11.04,9933777920.0,95269020770.94,95269260536.32,394406255.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,13:47:00,15:00:00,1,0.0,0.5104,0,,0.0,61.9379,0.031172,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1,000938.SZ,0,63.8314,0,12.0,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,000938.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001287.SZ,中电港,其他电子,其他电子,1→2,1.0,1→2,20260706,U,31.47,31.47,25.75,0,96644370.0,93154,93154,1/1,4.04,956947488.0,23914056052.59,23914056021.12,96644370.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,09:32:00,15:00:00,1,0.0,3.3683,0,,0.0,44.7903,0.037865,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,001287.SZ,0,69.9371,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,001287.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002025.SZ,航天电器,军工电子,军工电子,1→2,1.0,1→2,20260706,U,92.07,92.07,75.33,0,302288827.0,111251,111251,1/1,6.35,2522432144.0,41787930498.93,41801600776.32,302288827.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,11:13:00,15:00:00,1,0.0,1.3577,0,,0.0,56.854,0.010147,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1,002025.SZ,0,62.3062,0,12.0,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260706,intraday_refine_v2,002025.SZ,ok,ok,,1.0,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002042.SZ,华孚时尚,纺织制造,纺织制造,1→2,1.0,1→2,20260706,U,3.86,3.86,3.16,1,29833353.0,92500,93133,1/1,2.25,147309648.0,6564630030.3,6564630049.6,29833353.0,0.78,0.035,0.16,limit_list_d,20260706,1min,241,1,09:30:00,15:00:00,1,1.0,1.5544,1,1.0,100.0,78.6736,0.012969,0.0,31,0.0,80.0,1.0,1.0,healthy_limitup,1,002042.SZ,0,84.6021,0,10.7,0,0.0,1,,0.5,0,1,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260706,intraday_refine_v2,002042.SZ,ok,ok,,1.0,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
