ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
000882.SZ,华联股份,其他商业,20260623,1.46,9.7744,98270.07206,675972.11,2.4713,,399653.3843,1.04,,1.0,U,1.46,1.2,0.0,15340495.0,09:31:00,15:00:00,0.0,84.402062,84.402062,84.402062,0.825,-0.380412,84.02165,1.0,ok,,20260623,intraday_refine_v2,000882.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,1.0,0.9175257731958762,0.8969072164948454,0.8350515463917526,0.5051546391752577,0.8350515463917526,0.2422680412371134,1.0
600881.SH,亚泰集团,综合类,20260623,1.66,9.9338,153819.45,947533.74,2.9316,,536537.066,1.07,,1.0,U,1.66,1.36,2.0,15050272.0,09:53:00,15:00:00,2.0,81.061856,81.061856,81.061856,0.825,0.287629,81.349485,1.0,ok,,20260623,intraday_refine_v2,600881.SH,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9484536082474226,0.7010309278350515,0.8350515463917526,0.7938144329896907,0.5051546391752577,0.845360824742268,0.7783505154639175,1.0
002021.SZ,中捷资源,纺织机械,20260623,2.67,9.8765,99485.64228,384497.18,3.2164,,319192.4391,1.01,,1.0,U,2.67,2.19,0.0,35492379.0,09:58:00,15:00:00,0.0,77.783505,77.783505,77.783505,0.825,0.943299,78.726804,1.0,ok,,20260623,intraday_refine_v2,002021.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9896907216494846,0.9072164948453608,0.7525773195876289,0.8505154639175257,0.5051546391752577,0.5670103092783505,0.2422680412371134,1.0
000566.SZ,海南海药,化学制药,20260623,4.08,9.973,113666.5218,282449.85,2.1782,,529324.9608,1.13,,1.0,U,4.08,3.34,1.0,37268821.0,09:33:00,15:00:00,1.0,77.659794,77.659794,77.659794,0.825,0.968041,78.627835,1.0,ok,,20260623,intraday_refine_v2,000566.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.8298969072164949,0.8556701030927835,0.9175257731958762,0.7680412371134021,0.5051546391752577,0.5154639175257731,0.6082474226804123,1.0
002453.SZ,华软科技,化工原料,20260623,5.41,9.9593,123145.37559,231090.82,3.8346,,439490.6552,1.58,,1.0,U,5.41,4.43,0.0,7607542.0,09:38:00,15:00:00,0.0,74.494845,74.494845,74.494845,0.825,1.601031,76.095876,1.0,ok,,20260623,intraday_refine_v2,002453.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.8711340206185567,0.8041237113402062,0.6597938144329897,0.5051546391752577,0.5051546391752577,0.9484536082474226,0.2422680412371134,1.0
600405.SH,动力源,电气设备,20260623,4.44,9.901,106279.979,247258.04,4.0347,,272096.3424,2.05,,1.0,U,4.44,3.64,0.0,15387827.0,10:49:00,15:00:00,0.0,73.907216,73.907216,73.907216,0.825,1.718557,75.625773,1.0,ok,,20260623,intraday_refine_v2,600405.SH,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.979381443298969,0.8865979381443299,0.6391752577319587,0.26288659793814434,0.5051546391752577,0.8144329896907216,0.2422680412371134,1.0
000042.SZ,中洲控股,全国地产,20260623,9.9,10.0,85411.45777,89052.05,1.341,,658182.789,1.75,,1.0,U,9.9,8.1,1.0,30800880.0,10:11:00,15:00:00,1.0,73.051546,73.051546,73.051546,0.825,1.889691,74.941237,1.0,ok,,20260623,intraday_refine_v2,000042.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.5051546391752577,0.9381443298969072,0.9587628865979382,0.44329896907216493,0.5051546391752577,0.6185567010309279,0.6082474226804123,1.0
002047.SZ,宝鹰股份,装修装饰,20260623,4.77,9.9078,222692.51092,482079.0,3.1796,,723250.6299,0.92,,1.0,U,4.77,3.91,1.0,37060038.0,10:32:00,15:00:00,1.0,73.463918,73.463918,73.463918,0.795,1.207216,74.671134,1.0,ok,,20260623,intraday_refine_v2,002047.SZ,1.0,1.0,0.15,0,1.0,0.0,0.5,1.0,0.2,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9690721649484536,0.5773195876288659,0.7938144329896907,0.8865979381443299,0.5051546391752577,0.5257731958762887,0.6082474226804123,1.0
002370.SZ,亚太药业,化学制药,20260623,5.41,9.9593,109269.87745,207641.85,2.7846,,403406.1175,1.26,,1.0,U,5.41,4.43,0.0,63767945.0,09:44:00,15:00:00,0.0,72.185567,72.185567,72.185567,0.825,2.062887,74.248454,1.0,ok,,20260623,intraday_refine_v2,002370.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.8711340206185567,0.865979381443299,0.8762886597938144,0.711340206185567,0.5051546391752577,0.29896907216494845,0.2422680412371134,1.0
002038.SZ,双鹭药业,生物制药,20260623,5.54,9.9206,148314.74055,273441.11,3.2097,,569151.9,1.28,,1.0,U,5.54,4.54,1.0,70594380.0,09:43:00,15:00:00,1.0,70.268041,70.268041,70.268041,0.825,2.446392,72.714433,1.0,ok,,20260623,intraday_refine_v2,002038.SZ,1.0,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9587628865979382,0.711340206185567,0.7628865979381443,0.6958762886597938,0.5051546391752577,0.26804123711340205,0.6082474226804123,1.0
