ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
600545.SH,卓郎智能,纺织机械,20260424,4.74,9.9768,822999.52,1825569.98,10.2106,,847470.3932,1.6,,1.0,U,4.74,3.88,0.0,91673339.0,144144,144144,0.0,55.847458,55.847458,9,,A,0.9661016949152542,0.423728813559322,0.3728813559322034,0.576271186440678,0.5084745762711864,0.3389830508474576,0.2966101694915254,1.0
002290.SZ,禾盛新材,家用电器,20260424,81.35,10.0068,1851830.105,228148.48,9.2295,,2018393.8046,2.53,,1.0,U,81.35,66.56,14.0,16920800.0,92500,145003,14.0,55.322034,55.322034,9,,A,0.5254237288135594,0.1864406779661017,0.423728813559322,0.423728813559322,0.5084745762711864,0.9491525423728814,0.9491525423728814,1.0
000546.SZ,金圆股份,环境保护,20260424,7.16,9.9846,1147070.348,1637893.86,23.5091,,556796.1556,2.24,,1.0,U,7.16,5.86,5.0,34824092.0,102745,134506,5.0,54.661017,54.661017,9,,A,0.9322033898305084,0.3220338983050847,0.05084745762711865,0.4576271186440678,0.5084745762711864,0.6779661016949152,0.8728813559322034,1.0
000062.SZ,深圳华强,元器件,20260424,34.34,9.9936,3731477.591,1121345.78,10.7316,,3591652.6117,1.51,94022391.19,1.0,U,34.34,28.1,11.0,32961008.0,104821,144757,11.0,54.542373,54.542373,9,,A,0.7966101694915254,0.06779661016949153,0.3220338983050847,0.6101694915254238,0.5084745762711864,0.7457627118644068,0.9322033898305084,1.0
002999.SZ,天禾股份,批发业,20260424,7.66,10.0575,241064.356,322188.69,9.3737,,266255.472,4.07,,1.0,U,7.66,6.26,1.0,32189311.0,95257,95336,1.0,53.864407,53.864407,9,,A,0.1694915254237288,0.7627118644067796,0.4067796610169492,0.15254237288135594,0.5084745762711864,0.7796610169491526,0.6610169491525424,1.0
000906.SZ,浙商中拓,仓储物流,20260424,6.36,10.0346,368362.098,582526.56,8.3071,,451345.7818,11.79,,1.0,U,6.36,5.2,1.0,37566923.0,94339,101033,1.0,53.389831,53.389831,9,,A,0.288135593220339,0.6949152542372882,0.5084745762711864,0.03389830508474576,0.5084745762711864,0.6271186440677966,0.6610169491525424,1.0
600726.SH,华电能源,火力发电,20260424,5.8,10.0569,2858738.701,4986485.7,6.6706,,4586255.0018,1.9,-54209624.82,1.0,U,5.8,4.74,16.0,22411780.0,93457,143121,16.0,51.779661,51.779661,9,,A,0.1864406779661017,0.1016949152542373,0.6271186440677966,0.5254237288135594,0.5084745762711864,0.9152542372881356,0.9915254237288136,1.0
002406.SZ,远东传动,汽车配件,20260424,8.43,10.0522,368754.963,450216.09,7.476,,615579.7441,3.2,,1.0,U,8.43,6.89,0.0,56623230.0,130233,130233,0.0,50.932203,50.932203,9,,A,0.2033898305084746,0.6779661016949152,0.559322033898305,0.23728813559322035,0.5084745762711864,0.559322033898305,0.2966101694915254,1.0
603520.SH,司太立,化学制药,20260424,11.64,10.0189,587059.293,518119.87,11.8182,,510309.1015,3.5,,1.0,U,11.64,9.52,2.0,32261424.0,103312,104430,2.0,50.576271,50.576271,9,,A,0.3559322033898305,0.5084745762711864,0.2711864406779661,0.2033898305084746,0.5084745762711864,0.7627118644067796,0.7796610169491526,1.0
000925.SZ,众合科技,运输设备,20260424,9.2,10.0478,381950.595,416170.6,6.1816,,622260.2694,1.31,181472426.59,1.0,U,9.2,7.52,0.0,190241648.0,93000,93000,0.0,49.949153,49.949153,9,,A,0.23728813559322035,0.6440677966101694,0.6949152542372882,0.6779661016949152,0.5084745762711864,0.06779661016949153,0.2966101694915254,1.0
