ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
002155.SZ,湖南黄金,黄金,20260128,U,30.58,30.58,25.02,0.0,2603344327.0,92500,92500,2603344327.0,10.0,108263.781,35403.46,0.3489,0.3489,,4778587.7243,0.1,,1,2603344327.0,2603344327.0,0.6375,1.0,1.0,1.0,0.50625,0.50625,0.05,0.0,84.65
603188.SH,亚邦股份,染料涂料,20260128,U,5.31,5.31,4.35,1.0,41990418.0,93547,94211,41990418.0,9.9379,132794.607,252932.0,6.3049,6.3049,,302760.27,1.7,,1,41990418.0,41990418.0,0.9625,0.975,0.875,0.3,0.50625,0.50625,0.05,0.0,81.75
605599.SH,菜百股份,服饰,20260128,U,21.71,21.71,17.77,2.0,30069739.0,112130,130145,30069739.0,9.9797,297958.103,141497.25,4.883,4.883,,1688555.6038,1.44,,1,30069739.0,30069739.0,0.8625,0.875,0.9,0.45,0.50625,0.50625,0.05,0.0,79.05
001376.SZ,百通能源,供气供热,20260128,U,22.29,22.29,18.23,0.0,86429475.0,92500,92500,86429475.0,10.0197,120201.121,53926.03,2.5228,2.5228,,1027346.1,0.19,,1,86429475.0,86429475.0,0.35,0.9875,0.9875,0.975,0.50625,0.50625,0.05,0.0,78.7
000599.SZ,青岛双星,汽车配件,20260128,U,6.74,6.74,5.52,0.0,43734356.0,94003,94003,43734356.0,9.9511,252041.294,381191.28,7.9582,7.9582,,550495.5572,2.23,,1,43734356.0,43734356.0,0.9375,0.9375,0.8125,0.18125,0.50625,0.50625,0.05,0.0,78.125
601388.SH,怡球资源,铝,20260128,U,3.97,3.97,3.25,1.0,106924680.0,93456,93917,106924680.0,9.9723,445732.452,1141700.57,9.6774,9.6774,,873885.3786,1.09,,1,106924680.0,106924680.0,0.9125,0.7625,0.7625,0.71875,0.50625,0.50625,0.05,0.0,76.425
002169.SZ,智光电气,电气设备,20260128,U,12.95,12.95,10.59,0.0,222122285.0,93130,93130,222122285.0,10.0255,291235.741,228370.33,3.8562,3.8562,,1013601.8017,0.45,,1,222122285.0,222122285.0,0.275,0.8875,0.9125,0.95,0.50625,0.50625,0.05,0.0,73.05
600655.SH,豫园股份,百货,20260128,U,5.82,5.82,4.76,0.0,63030937.0,93556,93556,63030937.0,10.0189,281979.655,492833.09,2.7335,2.7335,,2265410.7149,1.69,,1,63030937.0,63030937.0,0.375,0.9125,0.975,0.3125,0.50625,0.50625,0.05,0.0,71.65
000620.SZ,盈新发展,全国地产,20260128,U,3.72,3.72,3.04,0.0,407527528.0,92500,92500,407527528.0,10.0592,310605.079,834959.89,3.169,3.169,,2184315.1949,0.18,,1,407527528.0,407527528.0,0.1375,0.8625,0.9625,0.9875,0.50625,0.50625,0.05,0.0,71.225
600916.SH,中国黄金,服饰,20260128,U,12.27,12.27,10.04,0.0,705008433.0,92503,92503,705008433.0,10.0448,373655.5,304527.71,3.7847,3.7847,,2061360.0,0.22,3025137.5200000033,1,705008433.0,705008433.0,0.1625,0.825,0.9375,0.9625,0.50625,0.50625,0.05,0.0,70.0
600987.SH,航民股份,纺织,20260128,U,8.02,8.02,6.56,0.0,42764516.0,111147,111147,42764516.0,10.0137,235934.912,305877.27,6.4444,6.4444,,818696.7361,2.23,,1,42764516.0,42764516.0,0.4125,0.95,0.8625,0.18125,0.50625,0.50625,0.05,0.0,70.0
600352.SH,浙江龙盛,染料涂料,20260128,U,14.75,14.75,12.07,1.0,253003903.0,93437,100001,253003903.0,9.9925,1362161.231,928519.38,3.8086,3.8086,,4798664.4935,0.89,,1,253003903.0,253003903.0,0.75,0.425,0.925,0.8,0.50625,0.50625,0.05,0.0,68.625
601702.SH,华峰铝业,铝,20260128,U,26.07,26.07,21.33,0.0,67067682.0,130135,130135,67067682.0,10.0,589829.103,234116.66,7.8154,7.8154,,2603169.2742,1.32,,1,67067682.0,67067682.0,0.6375,0.65,0.825,0.5625,0.50625,0.50625,0.05,0.0,68.55
688216.SH,气派科技,半导体,20260128,U,33.97,33.97,22.65,0.0,68479137.0,93406,93406,68479137.0,19.9929,137186.345,41372.34,8.4733,8.4733,,363070.6976,0.95,6815554.46,1,68479137.0,68479137.0,0.075,0.9625,0.8,0.7625,0.50625,0.50625,0.05,0.0,67.65
603680.SH,今创集团,运输设备,20260128,U,17.37,17.37,14.21,0.0,42451376.0,134027,134027,42451376.0,10.0063,253399.732,153617.72,12.4906,12.4906,,1361319.4983,2.19,,1,42451376.0,42451376.0,0.5,0.925,0.6125,0.2125,0.50625,0.50625,0.05,0.0,66.175
