ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
600989.SH,宝丰能源,化工原料,20260311,U,31.85,31.85,26.06,0.0,275517756.0,133605,133605,275517756.0,10.0173,6627817.113,2195485.93,10.1308,10.1308,,23356751.6,0.9,,1,275517756.0,275517756.0,0.2830188679245283,0.018867924528301886,0.7924528301886793,0.7924528301886793,0.5094339622641509,0.5094339622641509,0.05,0.0,47.037736
002177.SZ,御银股份,其他商业,20260311,U,9.25,9.25,7.57,0.0,170753150.0,103818,103818,170753150.0,9.9881,1777425.32,1970660.47,29.988,29.988,,704101.947,1.67,294845511.46,1,170753150.0,170753150.0,0.7547169811320755,0.24528301886792453,0.18867924528301888,0.49056603773584906,0.5094339622641509,0.5094339622641509,0.05,0.0,46.924528
600726.SH,华电能源,火力发电,20260311,U,3.53,3.53,2.89,0.0,49471820.0,140349,140349,49471820.0,9.9688,1302157.336,3955591.25,37.7889,37.7889,,2791289.6821,3.62,-214704943.48,1,49471820.0,49471820.0,0.8584905660377359,0.33962264150943394,0.07547169811320754,0.18867924528301888,0.5094339622641509,0.5094339622641509,0.05,0.0,46.566038
000899.SZ,赣能股份,火力发电,20260311,U,16.15,16.15,13.21,0.0,115594868.0,110133,110133,115594868.0,10.0136,1251736.298,835753.93,29.5334,29.5334,,1575719.5824,0.93,,1,115594868.0,115594868.0,0.3584905660377358,0.37735849056603776,0.20754716981132076,0.7735849056603774,0.5094339622641509,0.5094339622641509,0.05,0.0,45.867925
603778.SH,国晟科技,电气设备,20260311,U,20.82,20.82,17.04,16.0,12156818.0,110210,143140,12156818.0,9.9842,2885264.359,1440656.99,30.8161,30.8161,,1367128.8938,1.36,,1,12156818.0,12156818.0,0.8113207547169812,0.09433962264150944,0.16981132075471697,0.6037735849056604,0.5094339622641509,0.5094339622641509,0.05,0.0,44.54717
001369.SZ,双欣材料,化纤,20260311,U,16.94,16.94,13.86,1.0,80408742.0,130142,131139,80408742.0,10.0,1206961.398,734364.4,36.5302,36.5302,,1943018.0,3.88,108491587.35,1,80408742.0,80408742.0,0.5471698113207547,0.41509433962264153,0.11320754716981132,0.1509433962264151,0.5094339622641509,0.5094339622641509,0.05,0.0,43.377358
300504.SZ,天邑股份,通信设备,20260311,U,19.32,19.32,12.88,1.0,75388591.0,94000,95600,75388591.0,20.0,636318.429,340133.41,28.3406,28.3406,,523619.4886,3.72,121042153.28,1,75388591.0,75388591.0,0.04716981132075472,0.6415094339622641,0.22641509433962265,0.16981132075471697,0.5094339622641509,0.5094339622641509,0.05,0.0,42.679245
301658.SZ,首航新能,电气设备,20260311,U,45.94,45.94,30.62,0.0,38233610.0,100300,100300,38233610.0,20.0104,886152.66,207413.09,50.2977,50.2977,,1894432.9942,1.15,48996110.43,1,38233610.0,38233610.0,0.018867924528301886,0.5283018867924528,0.03773584905660377,0.7358490566037735,0.5094339622641509,0.5094339622641509,0.05,0.0,39.981132
002733.SZ,雄韬股份,电气设备,20260311,U,27.05,27.05,22.13,0.0,80221616.0,104654,104654,80221616.0,10.0041,2075447.207,797474.65,34.5044,34.5044,,1039301.3397,2.04,-9430347.03,1,80221616.0,80221616.0,0.4716981132075472,0.20754716981132076,0.1320754716981132,0.41509433962264153,0.5094339622641509,0.5094339622641509,0.05,0.0,39.113208
601789.SH,宁波建工,建筑工程,20260311,U,7.3,7.3,5.98,8.0,62163004.0,93246,141352,62163004.0,9.9398,3755047.26,5265632.6,66.2512,66.2512,,1112806.0702,11.4,109380117.2,1,62163004.0,62163004.0,0.9811320754716981,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.5094339622641509,0.5094339622641509,0.05,0.0,38.924528
600108.SH,亚盛集团,种植业,20260311,U,6.57,6.57,5.37,9.0,45784227.0,95846,134225,45784227.0,10.0503,2382653.082,3735225.92,26.6773,26.6773,,1279123.2345,0.81,45899182.42,1,45784227.0,45784227.0,0.16981132075471697,0.1509433962264151,0.2641509433962264,0.8679245283018868,0.5094339622641509,0.5094339622641509,0.05,0.0,38.471698
603629.SH,利通电子,元器件,20260311,U,63.15,63.15,51.67,0.0,261216501.0,145319,145319,261216501.0,9.9983,3115697.961,516634.96,36.9202,36.9202,,1656929.7,1.43,,1,261216501.0,261216501.0,0.6037735849056604,0.07547169811320754,0.09433962264150944,0.5471698113207547,0.5094339622641509,0.5094339622641509,0.05,0.0,38.358491
601016.SH,节能风电,新型电力,20260311,U,4.03,4.03,3.29,0.0,178832596.0,101543,101543,178832596.0,10.1093,2217026.116,5761453.36,17.369,17.369,,2595473.4181,2.03,275346040.32,1,178832596.0,178832596.0,0.07547169811320754,0.18867924528301888,0.4339622641509434,0.4339622641509434,0.5094339622641509,0.5094339622641509,0.05,0.0,37.679245
600172.SH,黄河旋风,矿物制品,20260311,U,11.09,11.09,9.07,11.0,75501540.0,93230,112758,75501540.0,10.0198,2866293.21,2611022.06,27.7591,27.7591,,1599382.5839,1.28,267896099.12,1,75501540.0,75501540.0,0.2641509433962264,0.11320754716981132,0.24528301886792453,0.6415094339622641,0.5094339622641509,0.5094339622641509,0.05,0.0,37.0
