ts_code,trade_time,open,high,low,close,vol,amount
002999.SZ,2026-09-08 15:00:00,7.37,7.37,7.37,7.37,62600.0,461362.0
002999.SZ,2026-09-08 14:59:00,7.37,7.37,7.37,7.37,0.0,0.0
002999.SZ,2026-09-08 14:58:00,7.37,7.37,7.37,7.37,0.0,0.0
002999.SZ,2026-09-08 14:57:00,7.37,7.37,7.37,7.37,13400.0,98758.0
002999.SZ,2026-09-08 14:56:00,7.37,7.37,7.37,7.37,14400.0,106128.0
002999.SZ,2026-09-08 14:55:00,7.37,7.37,7.37,7.37,17400.0,128238.0
002999.SZ,2026-09-08 14:54:00,7.37,7.37,7.37,7.37,17600.0,129712.0
002999.SZ,2026-09-08 14:53:00,7.37,7.37,7.37,7.37,10900.0,80333.0
002999.SZ,2026-09-08 14:52:00,7.37,7.37,7.37,7.37,33100.0,243947.0
002999.SZ,2026-09-08 14:51:00,7.37,7.37,7.37,7.37,81000.0,596970.0
002999.SZ,2026-09-08 14:50:00,7.37,7.37,7.37,7.37,700.0,5159.0
002999.SZ,2026-09-08 14:49:00,7.37,7.37,7.37,7.37,27600.0,203412.0
002999.SZ,2026-09-08 14:48:00,7.37,7.37,7.37,7.37,46300.0,341231.0
002999.SZ,2026-09-08 14:47:00,7.37,7.37,7.37,7.37,5800.0,42746.0
002999.SZ,2026-09-08 14:46:00,7.37,7.37,7.37,7.37,25700.0,189409.0
002999.SZ,2026-09-08 14:45:00,7.37,7.37,7.37,7.37,20800.0,153296.0
002999.SZ,2026-09-08 14:44:00,7.37,7.37,7.37,7.37,35800.0,263846.0
002999.SZ,2026-09-08 14:43:00,7.37,7.37,7.37,7.37,6000.0,44220.0
002999.SZ,2026-09-08 14:42:00,7.37,7.37,7.37,7.37,48200.0,355234.0
002999.SZ,2026-09-08 14:41:00,7.37,7.37,7.37,7.37,29300.0,215941.0
002999.SZ,2026-09-08 14:40:00,7.37,7.37,7.37,7.37,10800.0,79596.0
002999.SZ,2026-09-08 14:39:00,7.37,7.37,7.37,7.37,4600.0,33902.0
002999.SZ,2026-09-08 14:38:00,7.37,7.37,7.37,7.37,6200.0,45694.0
002999.SZ,2026-09-08 14:37:00,7.37,7.37,7.37,7.37,900.0,6633.0
002999.SZ,2026-09-08 14:36:00,7.37,7.37,7.37,7.37,22900.0,168773.0
002999.SZ,2026-09-08 14:35:00,7.37,7.37,7.37,7.37,35100.0,258687.0
002999.SZ,2026-09-08 14:34:00,7.37,7.37,7.37,7.37,1700.0,12529.0
002999.SZ,2026-09-08 14:33:00,7.37,7.37,7.37,7.37,27600.0,203412.0
002999.SZ,2026-09-08 14:32:00,7.37,7.37,7.37,7.37,27400.0,201938.0
002999.SZ,2026-09-08 14:31:00,7.37,7.37,7.37,7.37,46000.0,339020.0
002999.SZ,2026-09-08 14:30:00,7.37,7.37,7.37,7.37,300.0,2211.0
002999.SZ,2026-09-08 14:29:00,7.37,7.37,7.37,7.37,116500.0,858605.0
002999.SZ,2026-09-08 14:28:00,7.37,7.37,7.37,7.37,5000.0,36850.0
002999.SZ,2026-09-08 14:27:00,7.37,7.37,7.37,7.37,7800.0,57486.0
002999.SZ,2026-09-08 14:26:00,7.37,7.37,7.37,7.37,8600.0,63382.0
002999.SZ,2026-09-08 14:25:00,7.37,7.37,7.37,7.37,18300.0,134871.0
002999.SZ,2026-09-08 14:24:00,7.37,7.37,7.37,7.37,86900.0,640453.0
002999.SZ,2026-09-08 14:23:00,7.37,7.37,7.37,7.37,5800.0,42746.0
002999.SZ,2026-09-08 14:22:00,7.37,7.37,7.37,7.37,12300.0,90651.0
002999.SZ,2026-09-08 14:21:00,7.37,7.37,7.37,7.37,44900.0,330913.0
002999.SZ,2026-09-08 14:20:00,7.37,7.37,7.37,7.37,12000.0,88440.0
002999.SZ,2026-09-08 14:19:00,7.37,7.37,7.37,7.37,13600.0,100232.0
002999.SZ,2026-09-08 14:18:00,7.37,7.37,7.37,7.37,6900.0,50853.0
