ts_code,trade_time,open,high,low,close,vol,amount
300620.SZ,2026-08-12 15:00:00,309.0,309.0,309.0,309.0,157600.0,48698400.0
300620.SZ,2026-08-12 14:59:00,309.0,309.0,309.0,309.0,0.0,0.0
300620.SZ,2026-08-12 14:58:00,309.0,309.0,309.0,309.0,0.0,0.0
300620.SZ,2026-08-12 14:57:00,308.76,309.0,308.71,309.0,96200.0,29708840.0
300620.SZ,2026-08-12 14:56:00,308.4,308.74,308.4,308.74,60911.0,18793474.0
300620.SZ,2026-08-12 14:55:00,308.18,308.46,308.16,308.46,66945.0,20640190.0
300620.SZ,2026-08-12 14:54:00,308.24,308.26,308.11,308.22,51300.0,15810861.0
300620.SZ,2026-08-12 14:53:00,308.1,308.28,308.1,308.25,57106.0,17600802.0
300620.SZ,2026-08-12 14:52:00,308.35,308.38,308.02,308.07,43900.0,13531077.0
300620.SZ,2026-08-12 14:51:00,308.18,308.47,308.17,308.34,67204.0,20720908.0
300620.SZ,2026-08-12 14:50:00,308.36,308.4,308.2,308.2,43200.0,13320005.0
300620.SZ,2026-08-12 14:49:00,308.4,308.75,308.38,308.45,48400.0,14929034.0
300620.SZ,2026-08-12 14:48:00,308.63,308.64,308.39,308.46,29000.0,8945643.0
300620.SZ,2026-08-12 14:47:00,308.58,308.8,308.3,308.8,48300.0,14894769.0
300620.SZ,2026-08-12 14:46:00,309.07,309.31,308.52,308.63,40200.0,12418254.0
300620.SZ,2026-08-12 14:45:00,308.59,309.25,308.59,309.08,71400.0,22065712.0
300620.SZ,2026-08-12 14:44:00,308.75,308.92,308.06,308.58,62400.0,19254392.0
300620.SZ,2026-08-12 14:43:00,308.05,308.86,308.05,308.86,43600.0,13446827.0
300620.SZ,2026-08-12 14:42:00,307.93,308.0,307.6,307.99,49900.0,15363126.0
300620.SZ,2026-08-12 14:41:00,307.93,308.0,307.9,308.0,39000.0,12010895.0
300620.SZ,2026-08-12 14:40:00,307.55,307.95,307.55,307.93,36700.0,11294221.0
300620.SZ,2026-08-12 14:39:00,307.23,307.5,307.09,307.5,36900.0,11337761.0
300620.SZ,2026-08-12 14:38:00,307.34,307.5,307.21,307.25,26200.0,8052087.0
300620.SZ,2026-08-12 14:37:00,307.01,307.5,307.0,307.35,14700.0,4515591.0
300620.SZ,2026-08-12 14:36:00,306.86,307.0,306.86,307.0,12600.0,3867587.0
300620.SZ,2026-08-12 14:35:00,306.5,307.0,306.36,307.0,19100.0,5855884.0
300620.SZ,2026-08-12 14:34:00,307.0,307.22,306.56,306.56,25200.0,7735136.0
300620.SZ,2026-08-12 14:33:00,306.9,307.08,306.61,306.91,20400.0,6260657.0
300620.SZ,2026-08-12 14:32:00,306.86,306.95,306.59,306.9,17600.0,5400536.0
300620.SZ,2026-08-12 14:31:00,307.88,307.88,306.75,306.78,23100.0,7097292.0
300620.SZ,2026-08-12 14:30:00,307.2,307.95,307.19,307.88,25400.0,7812356.0
300620.SZ,2026-08-12 14:29:00,306.29,307.2,306.29,307.2,53698.0,16460904.0
300620.SZ,2026-08-12 14:28:00,306.67,306.67,306.1,306.1,40200.0,12314689.0
300620.SZ,2026-08-12 14:27:00,306.6,306.85,306.55,306.67,31300.0,9599535.0
300620.SZ,2026-08-12 14:26:00,306.19,306.69,306.19,306.61,15600.0,4781628.0
300620.SZ,2026-08-12 14:25:00,306.5,306.56,306.15,306.2,26400.0,8089843.0
300620.SZ,2026-08-12 14:24:00,306.26,306.69,306.16,306.67,14100.0,4320394.0
300620.SZ,2026-08-12 14:23:00,306.2,306.31,306.15,306.31,12100.0,3705665.0
300620.SZ,2026-08-12 14:22:00,305.64,306.39,305.51,306.23,8600.0,2631089.0
300620.SZ,2026-08-12 14:21:00,306.3,306.3,305.58,305.67,17700.0,5415199.0
300620.SZ,2026-08-12 14:20:00,306.0,306.46,306.0,306.29,14100.0,4316989.0
300620.SZ,2026-08-12 14:19:00,305.58,306.0,305.58,305.79,18700.0,5718583.0
300620.SZ,2026-08-12 14:18:00,305.66,305.69,305.29,305.58,27876.0,8512484.0
300620.SZ,2026-08-12 14:17:00,305.62,305.68,305.61,305.67,7400.0,2261825.0
300620.SZ,2026-08-12 14:16:00,305.59,305.67,305.5,305.62,5200.0,1589175.0
300620.SZ,2026-08-12 14:15:00,305.47,305.67,305.47,305.67,24400.0,7455373.0
300620.SZ,2026-08-12 14:14:00,305.06,305.2,305.0,305.2,30000.0,9150380.0
300620.SZ,2026-08-12 14:13:00,305.44,305.47,305.05,305.1,9000.0,2747220.0
300620.SZ,2026-08-12 14:12:00,305.49,305.5,305.44,305.5,11100.0,3390746.0
300620.SZ,2026-08-12 14:11:00,305.7,305.76,305.06,305.48,21300.0,6508286.0
300620.SZ,2026-08-12 14:10:00,305.65,305.67,305.55,305.66,9700.0,2964616.0
300620.SZ,2026-08-12 14:09:00,305.02,305.75,305.01,305.65,24500.0,7483966.0
300620.SZ,2026-08-12 14:08:00,305.41,305.41,304.81,305.0,15200.0,4637114.0
300620.SZ,2026-08-12 14:07:00,305.74,306.0,305.4,305.41,27100.0,8284734.0
300620.SZ,2026-08-12 14:06:00,305.08,305.76,305.04,305.76,12200.0,3725647.0
300620.SZ,2026-08-12 14:05:00,305.13,305.51,305.13,305.14,45600.0,13895258.0
300620.SZ,2026-08-12 14:04:00,305.0,305.0,304.59,304.6,31100.0,9477966.0
300620.SZ,2026-08-12 14:03:00,304.8,305.03,304.66,304.95,50400.0,15368439.0
300620.SZ,2026-08-12 14:02:00,305.28,305.28,304.95,304.95,36000.0,10981844.0
300620.SZ,2026-08-12 14:01:00,305.45,306.28,305.29,305.29,26453.0,8087220.5
300620.SZ,2026-08-12 14:00:00,305.66,305.66,305.49,305.49,13553.0,4141078.2
300620.SZ,2026-08-12 13:59:00,306.37,306.37,305.73,305.73,12600.0,3857397.0
300620.SZ,2026-08-12 13:58:00,306.22,306.61,306.22,306.37,9700.0,2972470.0
300620.SZ,2026-08-12 13:57:00,306.1,306.68,306.1,306.24,21200.0,6494366.0
300620.SZ,2026-08-12 13:56:00,305.75,305.85,305.66,305.68,19247.0,5884682.0
300620.SZ,2026-08-12 13:55:00,306.1,306.1,305.72,305.72,12300.0,3762529.5
300620.SZ,2026-08-12 13:54:00,305.25,306.1,305.25,306.1,17913.0,5476366.5
300620.SZ,2026-08-12 13:53:00,306.12,306.49,305.3,305.3,35300.0,10802124.0
300620.SZ,2026-08-12 13:52:00,306.65,306.65,306.12,306.12,25700.0,7871812.0
300620.SZ,2026-08-12 13:51:00,306.86,306.94,306.65,306.67,8600.0,2638154.2
300620.SZ,2026-08-12 13:50:00,306.7,306.8,306.68,306.8,6100.0,1871148.0
300620.SZ,2026-08-12 13:49:00,306.53,307.09,305.93,306.78,40642.0,12452747.0
300620.SZ,2026-08-12 13:48:00,306.58,306.91,306.55,306.55,12900.0,3956185.0
300620.SZ,2026-08-12 13:47:00,305.84,306.6,305.84,306.57,11400.0,3489946.0
300620.SZ,2026-08-12 13:46:00,305.51,305.88,305.13,305.88,34300.0,10473643.0
300620.SZ,2026-08-12 13:45:00,306.23,306.23,305.68,305.68,15200.0,4650836.0
