ts_code,trade_date,pct_chg
000711.SZ,20260807,9.4303
001232.SZ,20260807,12.1486
002080.SZ,20260807,9.7826
002203.SZ,20260807,8.2206
002579.SZ,20260807,8.7581
002636.SZ,20260807,9.0182
002773.SZ,20260807,8.076
002885.SZ,20260807,8.0045
002916.SZ,20260807,8.0906
002938.SZ,20260807,8.0554
300083.SZ,20260807,8.7904
300125.SZ,20260807,10.0225
300199.SZ,20260807,8.452
300221.SZ,20260807,10.8491
300227.SZ,20260807,8.7204
300255.SZ,20260807,8.6587
300259.SZ,20260807,9.8795
300307.SZ,20260807,11.2717
300329.SZ,20260807,9.9659
300347.SZ,20260807,9.5104
300395.SZ,20260807,9.4953
300400.SZ,20260807,17.7599
300404.SZ,20260807,9.9899
300434.SZ,20260807,8.8403
300476.SZ,20260807,12.0128
300480.SZ,20260807,8.179
300489.SZ,20260807,18.8119
300534.SZ,20260807,10.2685
300558.SZ,20260807,14.3672
300584.SZ,20260807,8.4388
300618.SZ,20260807,8.5251
300649.SZ,20260807,17.6386
300672.SZ,20260807,14.8231
300683.SZ,20260807,11.9437
300692.SZ,20260807,8.1206
300725.SZ,20260807,18.3948
300749.SZ,20260807,8.4396
300757.SZ,20260807,8.3032
300758.SZ,20260807,9.5192
300759.SZ,20260807,14.3434
300814.SZ,20260807,13.3381
300903.SZ,20260807,12.4534
300964.SZ,20260807,8.627
300981.SZ,20260807,11.065
301051.SZ,20260807,11.6354
301070.SZ,20260807,9.5084
301086.SZ,20260807,8.8262
301093.SZ,20260807,18.0022
301115.SZ,20260807,14.4552
301141.SZ,20260807,9.878
301150.SZ,20260807,9.239
301155.SZ,20260807,8.1918
301176.SZ,20260807,10.3968
301188.SZ,20260807,8.5394
301217.SZ,20260807,16.9798
301235.SZ,20260807,8.1081
301251.SZ,20260807,16.947
301257.SZ,20260807,14.6466
301281.SZ,20260807,8.3508
301303.SZ,20260807,8.3645
301319.SZ,20260807,10.4617
301326.SZ,20260807,14.2282
301333.SZ,20260807,12.495
301389.SZ,20260807,8.8116
301392.SZ,20260807,11.635
301393.SZ,20260807,12.8157
301509.SZ,20260807,9.9263
301511.SZ,20260807,16.2107
301520.SZ,20260807,12.2112
301526.SZ,20260807,8.8636
301571.SZ,20260807,11.6836
301626.SZ,20260807,11.4563
301707.SZ,20260807,396.887
600176.SH,20260807,8.8279
600397.SH,20260807,8.9994
600961.SH,20260807,9.01
601168.SH,20260807,8.4067
603217.SH,20260807,9.1429
603259.SH,20260807,8.4933
603306.SH,20260807,8.1926
603456.SH,20260807,8.3663
603986.SH,20260807,8.3247
688002.SH,20260807,9.3435
688011.SH,20260807,11.1948
688025.SH,20260807,8.6906
688065.SH,20260807,9.8026
688102.SH,20260807,10.0029
688105.SH,20260807,18.5904
688117.SH,20260807,8.1649
688131.SH,20260807,17.5812
688136.SH,20260807,9.6164
688150.SH,20260807,13.3069
688166.SH,20260807,9.5033
688183.SH,20260807,9.7782
688195.SH,20260807,16.1355
688197.SH,20260807,10.9069
688202.SH,20260807,16.2592
688220.SH,20260807,8.3896
688221.SH,20260807,11.2743
688222.SH,20260807,9.8122
688235.SH,20260807,11.2751
688238.SH,20260807,15.8863
688247.SH,20260807,8.2751
688266.SH,20260807,8.4477
688293.SH,20260807,17.5967
688296.SH,20260807,11.3099
688300.SH,20260807,11.4785
688302.SH,20260807,8.4548
688315.SH,20260807,12.2356
688321.SH,20260807,9.7417
688331.SH,20260807,11.6062
688333.SH,20260807,9.7364
688336.SH,20260807,9.9789
688352.SH,20260807,9.5148
688356.SH,20260807,9.2375
688373.SH,20260807,8.0412
688382.SH,20260807,9.2583
688388.SH,20260807,9.0909
688392.SH,20260807,8.2959
688399.SH,20260807,8.9105
688479.SH,20260807,10.3879
688485.SH,20260807,12.3886
688488.SH,20260807,8.5396
688508.SH,20260807,12.2531
688513.SH,20260807,9.0889
688519.SH,20260807,16.5267
688596.SH,20260807,8.1639
688603.SH,20260807,10.9955
688625.SH,20260807,10.4818
688630.SH,20260807,8.754
688653.SH,20260807,8.5496
688655.SH,20260807,13.3724
688669.SH,20260807,9.6907
688690.SH,20260807,10.2362
688700.SH,20260807,8.2213
688710.SH,20260807,16.4484
688755.SH,20260807,8.9932
688758.SH,20260807,10.1521
688759.SH,20260807,9.1183
688765.SH,20260807,11.4113
688796.SH,20260807,13.6419
688813.SH,20260807,17.6916
920166.BJ,20260807,15.1728
920178.BJ,20260807,20.2142
920193.BJ,20260807,9.2246
920211.BJ,20260807,8.7385
920478.BJ,20260807,14.2857
