run_time_utc,trade_date,ts_code,name,ThemeBoost,板块,theme_main,theme_heat,board_rank,lhb_flag,lhb_net_buy,north_money_flag,theme_feature_count,theme_quality_flag
2026-02-26T22:12:51Z,20260122,000036.SZ,华联控股,0.0,全国地产,,,,,,,,
2026-02-26T22:12:51Z,20260122,000407.SZ,胜利股份,0.0,供气供热,,,,,,,,
2026-02-26T22:12:51Z,20260122,000670.SZ,盈方微,1.0,元器件,,,,,,,,
2026-02-26T22:12:51Z,20260122,000839.SZ,国安股份,0.0,综合类,,,,,,,,
2026-02-26T22:12:51Z,20260122,000880.SZ,潍柴重机,0.7946272018253463,专用机械,,,,,,,,
2026-02-26T22:12:51Z,20260122,000927.SZ,中国铁物,0.2601553699246989,仓储物流,,,,,,,,
2026-02-26T22:12:51Z,20260122,000968.SZ,蓝焰控股,0.0486585167657964,石油开采,,,,,,,,
2026-02-26T22:12:51Z,20260122,001202.SZ,炬申股份,0.2601553699246989,仓储物流,,,,,,,,
2026-02-26T22:12:51Z,20260122,001288.SZ,运机集团,0.7946272018253463,专用机械,,,,,,,,
2026-02-26T22:12:51Z,20260122,001316.SZ,润贝航科,0.0,批发业,,,,,,,,
2026-02-26T22:12:51Z,20260122,001373.SZ,翔腾新材,1.0,元器件,,,,,,,,
2026-02-26T22:12:51Z,20260122,001376.SZ,百通能源,0.0,供气供热,,,,,,,,
2026-02-26T22:12:51Z,20260122,001379.SZ,腾达科技,0.6230854212758787,机械基件,,,,,,,,
2026-02-26T22:12:51Z,20260122,001389.SZ,广合科技,1.0,元器件,,,,,,,,
2026-02-26T22:12:51Z,20260122,002141.SZ,贤丰控股,0.0,农业综合,,,,,,,,
2026-02-26T22:12:51Z,20260122,002149.SZ,西部材料,0.0,小金属,,,,,,,,
2026-02-26T22:12:51Z,20260122,002183.SZ,怡 亚 通,0.2601553699246989,仓储物流,,,,,,,,
2026-02-26T22:12:51Z,20260122,002201.SZ,九鼎新材,0.1069133379015616,玻璃,,,,,,,,
2026-02-26T22:12:51Z,20260122,002266.SZ,浙富控股,0.0,环境保护,,,,,,,,
2026-02-26T22:12:51Z,20260122,002279.SZ,久其软件,0.08,软件服务,,,,,,,,
2026-02-26T22:12:51Z,20260122,002283.SZ,天润工业,0.1766570212508551,汽车配件,,,,,,,,
2026-02-26T22:12:51Z,20260122,002297.SZ,博云新材,0.3601210427490234,航空,,,,,,,,
2026-02-26T22:12:51Z,20260122,002342.SZ,巨力索具,0.6230854212758787,机械基件,,,,,,,,
2026-02-26T22:12:51Z,20260122,002420.SZ,毅昌科技,0.0,家用电器,,,,,,,,
2026-02-26T22:12:51Z,20260122,002471.SZ,中超控股,0.479801681970459,电气设备,,,,,,,,
2026-02-26T22:12:51Z,20260122,002519.SZ,银河电子,0.0,通信设备,,,,,,,,
2026-02-26T22:12:51Z,20260122,002565.SZ,顺灏股份,0.0,造纸,,,,,,,,
