ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
000593.SZ,20260226,德龙汇能,14.31,-10.0,13.68,726212180.0,152752398.96,68066902.72,220819301.68,-84685496.24,-11.66,30.41,5129894148.39,日跌幅偏离值达到7%的前5只证券
000711.SZ,20260226,ST京蓝,3.64,4.8991,5.95,565611119.0,65246706.58,45988463.0,111235169.58,-19258243.58,-3.4,19.67,8320070718.96,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000899.SZ,20260226,赣能股份,13.28,10.0249,5.3,1384511807.0,280922522.19,340860014.31,621782536.5,59937492.12,4.33,44.91,12957000652.8,连续三个交易日内，涨幅偏离值累计达到20%的证券
001209.SZ,20260226,洪兴股份,29.56,10.0112,19.57,1141474610.0,178875376.14,204512000.35,383387376.49,25636624.21,2.25,33.59,2840557440.16,连续三个交易日内，涨幅偏离值累计达到20%的证券
001330.SZ,20260226,博纳影业,9.31,-9.9613,17.5,2283562821.0,151196877.36,179468286.0,330665163.36,28271408.64,1.24,14.48,12796771741.04,日跌幅偏离值达到7%的前5只证券
001396.SZ,20260226,誉帆科技,56.66,1.4503,42.9,553524040.0,110383371.34,109372214.37,219755585.71,-1011156.97,-0.18,39.7,1258256779.04,日换手率达到20%的前5只证券
002008.SZ,20260226,大族激光,69.72,10.0032,5.5,3592874398.0,883301489.96,884247016.12,1767548506.08,945526.16,0.03,49.2,66702798744.12,日涨幅偏离值达到7%的前5只证券
002008.SZ,20260226,大族激光,69.72,10.0032,5.5,10816108921.0,2392651506.16,2347847680.81,4740499186.97,-44803825.35,-0.41,43.83,66702798744.12,连续三个交易日内，涨幅偏离值累计达到20%的证券
002054.SZ,20260226,德美化工,11.53,6.8582,29.1,1296487863.0,122148293.34,248536670.09,370684963.43,126388376.75,9.75,28.59,4431851463.57,日换手率达到20%的前5只证券
002323.SZ,20260226,雅博股份,2.48,6.4378,29.01,1497295556.0,175612453.8,184049912.3,359662366.1,8437458.5,0.56,24.02,5258547171.52,日换手率达到20%的前5只证券
002378.SZ,20260226,章源钨业,36.91,10.0149,8.39,3655133189.0,545212572.62,672013756.19,1217226328.81,126801183.57,3.47,33.3,44111929729.79,日涨幅偏离值达到7%的前5只证券
002428.SZ,20260226,云南锗业,44.39,10.0124,6.09,1760966821.0,256016227.52,525621175.38,781637402.9,269604947.86,15.31,44.39,28988251393.75,日涨幅偏离值达到7%的前5只证券
002428.SZ,20260226,云南锗业,44.39,10.0124,6.09,4971791894.0,527648276.5,966952469.73,1494600746.23,439304193.23,8.84,30.06,28988251393.75,连续三个交易日内，涨幅偏离值累计达到20%的证券
002455.SZ,20260226,百川股份,14.1,-1.5363,31.19,2251253140.0,383546221.42,314280399.82,697826621.24,-69265821.6,-3.08,31.0,7321138685.4,日换手率达到20%的前5只证券
002463.SZ,20260226,沪电股份,85.36,10.0,7.21,11557913085.0,1150172676.63,2563369953.7,3713542630.33,1413197277.07,12.23,32.13,164131103084.96,日涨幅偏离值达到7%的前5只证券
002463.SZ,20260226,沪电股份,85.36,10.0,7.21,25916853970.0,2588144671.91,6639690013.81,9227834685.72,4051545341.9,15.63,35.61,164131103084.96,连续三个交易日内，涨幅偏离值累计达到20%的证券
002470.SZ,20260226,金正大,2.82,10.1563,0.89,1060313894.0,161646837.0,188631568.1,350278405.1,26984731.1,2.54,33.04,9265813355.94,连续三个交易日内，涨幅偏离值累计达到20%的证券
002497.SZ,20260226,雅化集团,26.44,-8.7647,11.78,3321716887.0,460912728.92,334317452.0,795230180.92,-126595276.92,-3.81,23.94,27988097429.6,日跌幅偏离值达到7%的前5只证券
002498.SZ,20260226,汉缆股份,8.38,2.1951,15.33,8141246913.0,779933814.37,947189483.65,1727123298.02,167255669.28,2.05,21.21,27878550480.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
002842.SZ,20260226,翔鹭钨业,37.78,0.7467,28.93,3002148327.0,248178537.36,307834117.82,556012655.18,59655580.46,1.99,18.52,10142506034.02,日换手率达到20%的前5只证券
