trade_date,ts_code,name
20260921,001216.SZ,华瓷股份
20260921,002285.SZ,世联行
20260921,603230.SH,内蒙新华
20260921,000504.SZ,南华生物
20260921,002453.SZ,华软科技
20260921,600127.SH,金健米业
20260921,600448.SH,华纺股份
20260921,600630.SH,龙头股份
20260921,000532.SZ,华金资本
20260921,000910.SZ,大亚圣象
20260921,001317.SZ,三羊马
20260921,001376.SZ,百通能源
20260921,002589.SZ,瑞康医药
20260921,600606.SH,绿地控股
20260921,601086.SH,国芳集团
20260921,601123.SH,马矿股份
20260921,601579.SH,会稽山
20260921,601811.SH,新华文轩
20260921,603001.SH,奥康国际
20260921,603068.SH,博通集成
20260921,603316.SH,诚邦股份
