trade_date,ts_code,name
20260813,603758.SH,秦安股份
20260813,000802.SZ,北京文化
20260813,002329.SZ,皇氏集团
20260813,300862.SZ,蓝盾光电
20260813,600683.SH,京投发展
20260813,605179.SH,一鸣食品
20260813,605286.SH,同力天启
20260813,600881.SH,亚泰集团
20260813,603887.SH,城地香江
20260813,000593.SZ,德龙汇能
20260813,000692.SZ,惠天热电
20260813,000887.SZ,中鼎股份
20260813,000936.SZ,华西股份
20260813,001260.SZ,坤泰股份
20260813,002081.SZ,金螳螂
20260813,002172.SZ,澳洋健康
20260813,002437.SZ,誉衡药业
20260813,300333.SZ,兆日科技
20260813,600491.SH,ST龙元
20260813,601886.SH,江河集团
20260813,603191.SH,望变电气
20260813,603330.SH,天洋新材
20260813,603466.SH,风语筑
