ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
600683.SH,20260206,京投发展,6.05,-8.3333,15.52,731147067.0,70993458.36,47871876.45,118865334.81,-23121581.91,-3.16,16.26,4481704461.85,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600693.SH,20260206,东百集团,15.68,-8.7311,13.21,1836901053.0,179687342.0,124801195.0,304488537.0,-54886147.0,-2.99,16.58,13625179621.76,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600722.SH,20260206,金牛化工,8.64,10.0637,11.17,631149426.0,52215829.97,98073158.32,150288988.29,45857328.35,7.27,23.81,5877962000.64,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600759.SH,20260206,洲际油气,5.5,10.0,20.85,4423151007.0,266806020.62,646326033.44,913132054.06,379520012.82,8.58,20.64,22790271790.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600759.SH,20260206,洲际油气,5.5,10.0,20.85,11418323316.0,763961285.15,951949356.36,1715910641.51,187988071.21,1.65,15.03,22790271790.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600865.SH,20260206,百大集团,13.96,-9.9355,11.54,613138645.0,78678223.68,38581923.12,117260146.8,-40096300.56,-6.54,19.12,5252314811.36,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600884.SH,20260206,杉杉股份,14.37,10.0306,9.84,2528428109.0,285783527.8,598697294.74,884480822.54,312913766.94,12.38,34.98,26370527050.02,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600986.SH,20260206,浙文互联,14.0,-9.7938,30.99,6545677235.0,484873822.58,418315414.32,903189236.9,-66558408.26,-1.02,13.8,20823236868.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
601599.SH,20260206,浙文影业,5.01,2.2449,27.66,1644853984.0,235864663.29,95978487.0,331843150.29,-139886176.29,-8.5,20.17,5814317689.53,有价格涨跌幅限制的日换手率达到20%的前五只证券
603122.SH,20260206,合富中国,17.72,-10.0051,14.9,1064281674.0,94785550.0,69863482.8,164649032.8,-24922067.2,-2.34,15.47,7053492656.76,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603138.SH,20260206,海量数据,18.22,10.0242,12.93,662564572.0,98022163.0,90378329.0,188400492.0,-7643834.0,-1.15,28.44,5253606727.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603172.SH,20260206,万丰股份,24.85,-1.4671,44.09,549562038.0,79712627.01,41222549.0,120935176.01,-38490078.01,-7.0,22.01,1244488000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603172.SH,20260206,万丰股份,24.85,-1.4671,44.09,1086999261.0,102231638.14,78676657.96,180908296.1,-23554980.18,-2.17,16.64,1244488000.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603232.SH,20260206,格尔软件,27.08,7.9745,25.23,1564083468.0,138242497.2,311392104.96,449634602.16,173149607.76,11.07,28.75,6263603864.6,有价格涨跌幅限制的日换手率达到20%的前五只证券
603334.SH,20260206,丰倍生物,59.3,0.3724,29.41,543504759.0,133337189.0,110629789.35,243966978.35,-22707399.65,-4.18,44.89,1841480140.4,有价格涨跌幅限制的日换手率达到20%的前五只证券
603618.SH,20260206,杭电股份,13.71,10.0321,18.02,1651147895.0,177891996.8,237802137.49,415694134.29,59910140.69,3.63,25.18,9478759695.36,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603629.SH,20260206,利通电子,46.01,6.6033,21.75,2522571875.0,203303069.5,469362393.0,672665462.5,266059323.5,10.55,26.67,11817760520.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603848.SH,20260206,好太太,18.41,-10.0196,3.4,253396943.0,29593052.0,26797692.0,56390744.0,-2795360.0,-1.1,22.25,7408303867.51,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603876.SH,20260206,鼎胜新材,17.77,10.031,4.32,687980836.0,77314343.5,191749237.57,269063581.07,114434894.07,16.63,39.11,16513078375.01,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688530.SH,20260206,欧莱新材,28.91,12.9297,35.61,686197000.0,92598015.55,102239221.58,194837237.13,9641206.03,1.41,28.39,1959467877.64,有价格涨跌幅限制的日换手率达到30%的前五只证券
920021.BJ,20260206,流金科技,12.51,-6.1515,21.27,622300900.0,101613289.97,70613392.69,172226682.66,-30999897.28,-4.98,27.68,2912861351.34,当日换手率达到20%的前5只股票
920046.BJ,20260206,亿能电力,27.3,3.7628,22.13,397381700.0,62102006.42,53274491.0,115376497.42,-8827515.42,-2.22,29.03,1749309935.1,当日换手率达到20%的前5只股票
920088.BJ,20260206,科力股份,47.44,8.8323,35.54,519407400.0,48707321.02,87114687.98,135822009.0,38407366.96,7.39,26.15,1507704777.12,当日换手率达到20%的前5只股票
920414.BJ,20260206,欧普泰,17.28,2.0673,24.45,239166400.0,55748758.56,24352208.14,80100966.7,-31396550.42,-13.13,33.49,969020703.36,当日换手率达到20%的前5只股票
920471.BJ,20260206,美邦科技,18.47,8.6471,22.22,214704900.0,26212953.61,47679779.81,73892733.42,21466826.2,10.0,34.42,979475311.29,当日换手率达到20%的前5只股票
