ts_code,trade_time,open,high,low,close,vol,amount
688112.SH,2026-08-17 15:00:00,58.19,58.19,58.19,58.19,26178.0,1523298.0
688112.SH,2026-08-17 14:59:00,58.38,58.38,58.38,58.38,0.0,0.0
688112.SH,2026-08-17 14:58:00,58.38,58.38,58.38,58.38,0.0,0.0
688112.SH,2026-08-17 14:57:00,58.2,58.4,58.19,58.38,29884.0,1742019.0
688112.SH,2026-08-17 14:56:00,58.26,58.37,58.15,58.37,23751.0,1383904.0
688112.SH,2026-08-17 14:55:00,58.16,58.3,58.11,58.3,30308.0,1762835.0
688112.SH,2026-08-17 14:54:00,57.91,58.08,57.9,58.08,33892.0,1965347.0
688112.SH,2026-08-17 14:53:00,58.01,58.03,57.91,57.91,17941.0,1040550.0
688112.SH,2026-08-17 14:52:00,58.0,58.05,58.0,58.03,14505.0,841676.0
688112.SH,2026-08-17 14:51:00,58.08,58.1,58.0,58.0,43443.0,2521726.0
688112.SH,2026-08-17 14:50:00,58.09,58.1,58.06,58.08,14742.0,856360.0
688112.SH,2026-08-17 14:49:00,58.1,58.11,58.05,58.11,13512.0,784963.0
688112.SH,2026-08-17 14:48:00,58.13,58.13,58.03,58.11,20737.0,1203917.0
688112.SH,2026-08-17 14:47:00,58.08,58.13,58.07,58.12,7190.0,417706.0
688112.SH,2026-08-17 14:46:00,58.1,58.12,58.04,58.11,22395.0,1300913.0
688112.SH,2026-08-17 14:45:00,58.1,58.14,58.09,58.09,17457.0,1014491.0
688112.SH,2026-08-17 14:44:00,58.1,58.16,58.09,58.1,14151.0,822218.0
688112.SH,2026-08-17 14:43:00,58.16,58.19,58.03,58.07,18067.0,1050286.0
688112.SH,2026-08-17 14:42:00,58.0,58.19,58.0,58.19,9184.0,533794.0
688112.SH,2026-08-17 14:41:00,58.19,58.19,58.02,58.09,48841.0,2836652.0
688112.SH,2026-08-17 14:40:00,58.07,58.18,58.07,58.18,15640.0,909245.0
688112.SH,2026-08-17 14:39:00,58.08,58.15,58.06,58.15,35056.0,2036590.0
688112.SH,2026-08-17 14:38:00,58.02,58.15,58.02,58.07,11014.0,639506.0
688112.SH,2026-08-17 14:37:00,57.99,58.05,57.91,58.05,35819.0,2076273.0
