ts_code,name,start_date,end_date,change_reason
688579.SH,地纬智能,20260226,,改名
688579.SH,地纬智能,20260226,,改名
300209.SZ,行云科技,20260213,,改名
000430.SZ,ST张家界,20260212,,摘星
002731.SZ,ST萃华,20260210,,ST
000875.SZ,电投绿能,20260204,,改名
002379.SZ,宏桥控股,20260130,,改名
600750.SH,华润江中,20260130,,改名
301028.SZ,鼎熔岩,20260126,,改名
002822.SZ,ST中装,20260122,,摘星
300078.SZ,思创智联,20260120,,改名
000821.SZ,ST京机,20260120,,ST
300682.SZ,朗新科技,20260119,,其他
002150.SZ,正泰电源,20260116,,改名
300746.SZ,汉嘉数智,20260115,,改名
300919.SZ,中伟新材,20260115,,其他
002310.SZ,东方新能,20260114,,改名
