ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
300827.SZ,20260126,7.1885,9.0331,0.87,2185014.4476,
688455.SH,20260126,5.6264,8.7023,1.08,402937.5371,
301558.SZ,20260126,6.5075,6.5075,1.04,706810.6958,
301511.SZ,20260126,4.423,5.7185,0.93,1925633.71,
688355.SH,20260126,1.321,4.1903,1.2,248903.7926,
600019.SH,20260126,0.7316,1.9954,1.4,15900921.8668,
603507.SH,20260126,4.7852,6.4079,1.12,532999.3798,
600886.SH,20260126,0.358,1.1475,0.89,10541918.9431,
688171.SH,20260126,2.6769,5.4874,1.23,465277.4636,
002666.SZ,20260126,3.8734,5.0461,0.85,453099.5981,
000409.SZ,20260126,3.7438,5.9744,0.89,815622.5775,
600395.SH,20260126,1.1063,2.3766,1.69,1049699.5732,
300906.SZ,20260126,2.911,5.8537,0.68,292800.0,
601890.SH,20260126,4.675,7.2707,1.04,1050543.0,
301498.SZ,20260126,1.8748,3.7469,0.66,2795700.896,
300535.SZ,20260126,4.1981,5.279,1.29,217571.3815,
000533.SZ,20260126,10.0512,16.4877,0.94,660420.096,
003031.SZ,20260126,2.4947,5.5104,0.81,3476715.4372,
002009.SZ,20260126,1.9346,2.3438,0.1,1050230.9035,
600106.SH,20260126,1.7635,2.4186,1.03,851905.0647,
000586.SZ,20260126,4.1766,6.2199,1.18,269268.48,
688013.SH,20260126,3.0383,6.2832,1.12,359762.7748,
601800.SH,20260126,0.4991,2.4453,1.2,13882271.5239,
603568.SH,20260126,0.5713,1.7823,1.58,4805459.8458,
688425.SH,20260126,0.579,2.0893,1.08,2906755.865,
002671.SZ,20260126,3.7889,6.3951,1.03,327234.507,
000923.SZ,20260126,5.0872,8.0821,1.71,1690568.009,
002427.SZ,20260126,5.7996,14.5554,0.9,775535.5955,
601799.SH,20260126,1.4888,3.2575,1.68,3430152.7839,
300357.SZ,20260126,1.5895,2.8721,1.45,1570752.0,
002639.SZ,20260126,19.0084,20.216,0.86,1700497.3938,
688630.SH,20260126,4.5332,7.1154,0.62,2398998.4384,
301591.SZ,20260126,14.569,14.569,0.8,424974.24,
002947.SZ,20260126,4.4993,5.3041,1.05,1221349.9047,
603015.SH,20260126,5.3491,11.3103,0.77,625731.012,
301176.SZ,20260126,7.0213,7.0213,0.79,445997.8675,
301059.SZ,20260126,2.7638,8.788,0.73,319685.982,
600768.SH,20260126,3.6006,5.738,0.88,221351.616,
300051.SZ,20260126,29.9027,37.2822,1.9,417775.8659,
002028.SZ,20260126,1.768,1.9503,0.6,14822684.4313,
002965.SZ,20260126,7.3715,8.0522,1.96,1007118.4624,
300635.SZ,20260126,17.1962,20.0669,3.64,196019.6,
300643.SZ,20260126,4.7203,8.3594,1.13,471757.2338,
300207.SZ,20260126,3.8547,5.0387,1.18,4565079.7041,
601995.SH,20260126,1.0374,3.0718,1.45,16967807.891,
603019.SH,20260126,3.6253,4.3408,0.7,13640628.4542,
601288.SH,20260126,0.1984,2.2132,1.49,239388395.1691,
600612.SH,20260126,2.9886,9.7764,3.26,2518812.0337,
002248.SZ,20260126,5.5566,6.7356,0.93,387136.9604,
300376.SZ,20260126,3.7403,8.1881,1.45,1781103.9641,
600686.SH,20260126,2.7576,5.0138,0.41,1366692.3768,
000623.SZ,20260126,1.7914,2.4696,1.78,2481482.928,
300045.SZ,20260126,15.5241,16.797,1.22,1904528.6283,
000518.SZ,20260126,2.2845,3.5234,1.58,293423.5233,
600167.SH,20260126,1.104,3.7062,1.39,1669976.2617,
603299.SH,20260126,1.5756,4.2346,1.06,874675.528,
002108.SZ,20260126,4.1346,5.1536,0.94,842433.6833,
300079.SZ,20260126,4.2293,4.3432,1.38,854190.8091,
688326.SH,20260126,5.6268,10.6061,1.83,1737606.6944,
605222.SH,20260126,3.239,8.8754,0.82,926550.672,
688536.SH,20260126,3.9902,6.2865,0.85,2531261.9107,
000505.SZ,20260126,2.636,5.812,0.97,537943.1857,
688203.SH,20260126,2.2871,2.5048,0.98,275439.4944,
300722.SZ,20260126,3.0487,8.9281,1.04,932669.3376,
688981.SH,20260126,2.5134,2.7926,0.81,97541402.2508,
300584.SZ,20260126,6.5392,9.3358,1.35,601200.0,
003040.SZ,20260126,2.5452,4.868,1.12,849873.5964,
688032.SH,20260126,3.1458,9.1107,1.81,1383420.0268,
605128.SH,20260126,2.0186,3.2038,0.74,863768.4462,
000983.SZ,20260126,1.2223,2.8617,1.39,3962616.5392,
688338.SH,20260126,2.3518,4.2901,1.51,315242.928,
002638.SZ,20260126,3.2078,4.656,0.71,455400.4086,
301195.SZ,20260126,1.6919,3.5549,1.16,475451.424,
002081.SZ,20260126,1.8644,3.684,1.13,979814.4412,
300423.SZ,20260126,9.3999,11.187,1.32,452735.2739,
603102.SH,20260126,1.295,2.3109,1.21,297024.0,
