trade_date,ts_code,name,limit_times,advance_stage,晋阶,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,up_stat
20260820,000007.SZ,全新好,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/3
20260820,000017.SZ,深中华A,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,000020.SZ,深华发Ａ,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260820,000421.SZ,南京公用,,,,,,,limit_list_d,0/0
20260820,000426.SZ,兴业银锡,,,,,,,limit_list_d,0/0
20260820,000503.SZ,国新健康,,,,,,,limit_list_d,0/0
20260820,000506.SZ,招金黄金,,,,,,,limit_list_d,0/0
20260820,000520.SZ,凤凰航运,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/4
20260820,000523.SZ,红棉股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,000590.SZ,古汉医药,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,000603.SZ,盛达资源,,,,,,,limit_list_d,0/0
20260820,000710.SZ,贝瑞基因,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,000813.SZ,德展健康,,,,,,,limit_list_d,0/0
20260820,000926.SZ,福星股份,,,,,,,limit_list_d,0/0
20260820,000931.SZ,中 关 村,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,001210.SZ,金房能源,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,001225.SZ,和泰机电,,,,,,,limit_list_d,0/0
20260820,001277.SZ,速达股份,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260820,001317.SZ,三羊马,,,,,,,limit_list_d,0/0
20260820,001333.SZ,光华股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260820,001360.SZ,南矿集团,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
