trade_date,ts_code,name
20260805,003032.SZ,传智教育
20260805,000593.SZ,德龙汇能
20260805,002963.SZ,豪尔赛
20260805,300615.SZ,欣天科技
20260805,601700.SH,风范股份
20260805,000510.SZ,新金路
20260805,000811.SZ,冰轮环境
20260805,000962.SZ,东方钽业
20260805,001267.SZ,汇绿生态
20260805,002080.SZ,中材科技
20260805,002348.SZ,高乐股份
20260805,002425.SZ,凯撒文化
20260805,002428.SZ,云南锗业
20260805,002552.SZ,宝鼎科技
20260805,002579.SZ,中京电子
20260805,002655.SZ,共达电声
20260805,002674.SZ,兴业科技
20260805,002957.SZ,科瑞技术
20260805,002975.SZ,博杰股份
20260805,002980.SZ,华盛昌
20260805,002990.SZ,盛视科技
20260805,003018.SZ,金富科技
20260805,600397.SH,江钨装备
20260805,600721.SH,百花医药
20260805,600892.SH,大晟文化
20260805,601208.SH,东材科技
20260805,603061.SH,金海通
20260805,603115.SH,海星股份
20260805,603186.SH,华正新材
20260805,603306.SH,华懋科技
20260805,603629.SH,利通电子
20260805,603773.SH,沃格光电
