ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
300931.SZ,20260616,1min,241,1,13:05:00,15:00:00,2,1,1.5024,1,2.0,95.0,77.2356,0.00756,0.0,31,0.0,54.0,72.4707,15.85,neutral_limitup
300964.SZ,20260616,1min,241,1,14:12:00,15:00:00,1,0,0.7518,0,,0.0,60.4891,0.024145,0.0,31,0.0,45.0,63.3967,12.0,neutral_limitup
301000.SZ,20260616,1min,241,1,13:03:00,15:00:00,1,0,0.4259,0,,0.0,62.4446,0.011722,0.0,31,0.0,45.0,63.9834,12.0,neutral_limitup
301055.SZ,20260616,1min,241,1,13:07:00,15:00:00,1,0,0.324,0,,0.0,63.0558,0.011514,0.0,31,0.0,45.0,64.1667,12.0,neutral_limitup
301099.SZ,20260616,1min,241,1,09:45:00,15:00:00,2,1,1.2603,1,5.0,86.0,75.5384,0.017062,0.0,31,0.0,77.2,82.4015,14.62,healthy_limitup
301176.SZ,20260616,1min,241,1,10:23:00,15:00:00,5,2,4.5399,2,136.0,20.0,20.7607,0.074148,0.0,4,12.0,38.0,45.3282,47.7,weak_limitup
600052.SH,20260616,1min,241,1,14:11:00,15:00:00,1,0,1.4925,0,,0.0,56.0448,0.015096,0.0,31,0.0,45.0,62.0634,12.0,neutral_limitup
600105.SH,20260616,1min,241,1,11:05:00,15:00:00,2,0,1.2908,0,,0.0,57.2554,0.01608,0.0,31,0.0,45.0,62.4266,12.0,neutral_limitup
600110.SH,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.027803,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
600186.SH,20260616,1min,241,1,13:02:00,15:00:00,1,0,0.3001,0,,0.0,63.1995,0.029141,0.0,31,0.0,45.0,64.2099,12.0,neutral_limitup
600192.SH,20260616,1min,241,1,09:41:00,15:00:00,1,0,2.5033,0,,0.0,49.9802,0.014198,0.0,31,0.0,70.0,71.4941,8.25,neutral_limitup
600206.SH,20260616,1min,241,1,09:40:00,15:00:00,3,1,2.4035,1,3.0,90.0,70.0791,0.021731,0.0,31,0.0,78.0,81.1237,13.5,healthy_limitup
600228.SH,20260616,1min,241,1,13:04:00,15:00:00,9,12,1.2332,12,3.1667,93.3333,0.0,0.027922,0.0,28,12.0,0.0,22.0,54.6667,high_open_board_risk
600353.SH,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.061764,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
600392.SH,20260616,1min,241,1,09:49:00,15:00:00,4,1,0.9301,1,8.0,74.0,73.3196,0.015265,0.0,31,0.0,74.8,80.6559,17.98,healthy_limitup
600397.SH,20260616,1min,241,1,09:49:00,15:00:00,1,0,0.9587,0,,0.0,59.2481,0.010918,0.0,31,0.0,70.0,74.2744,8.25,neutral_limitup
600458.SH,20260616,1min,241,1,10:43:00,15:00:00,5,5,0.6289,5,4.2,89.2,32.4464,0.005367,0.0,31,0.0,24.84,45.9119,48.974,high_open_board_risk
600500.SH,20260616,1min,241,1,09:31:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.00873,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
600545.SH,20260616,1min,241,1,09:48:00,15:00:00,3,2,0.9119,2,4.5,88.0,66.3289,0.00479,0.0,31,0.0,67.6,75.3187,23.26,healthy_limitup
600549.SH,20260616,1min,241,1,09:39:00,15:00:00,1,0,0.8927,0,,0.0,59.6435,0.019411,0.0,31,0.0,70.0,74.3931,8.25,neutral_limitup
600615.SH,20260616,1min,241,1,13:09:00,15:00:00,3,1,4.5817,1,8.0,74.0,51.41,0.203188,0.0,6,28.1738,42.7566,52.62,29.83,weak_limitup
600696.SH,20260616,1min,241,1,09:35:00,15:00:00,4,3,5.4795,3,105.0,20.0,3.1233,0.129626,0.0,3,24.0,38.0,37.037,58.4,high_open_board_risk
600703.SH,20260616,1min,241,1,10:30:00,15:00:00,5,13,0.3563,13,2.6154,91.9231,0.0,0.021347,0.0,31,0.0,0.0,25.0,52.0192,high_open_board_risk
600888.SH,20260616,1min,241,1,13:06:00,15:00:00,1,1,0.8006,1,1.0,100.0,83.1962,0.012998,0.0,31,0.0,55.0,74.7088,14.45,neutral_limitup
