trade_date,ts_code,name
20260701,002822.SZ,ST中装
20260701,600180.SH,*ST瑞茂
20260701,000004.SZ,国华退
20260701,000566.SZ,海南海药
20260701,002175.SZ,*ST东智
20260701,002407.SZ,多氟多
20260701,002808.SZ,恒久退
20260701,002856.SZ,*ST美芝
20260701,600113.SH,浙江东日
20260701,000016.SZ,*ST康佳A
20260701,000603.SZ,盛达资源
20260701,000711.SZ,ST京蓝
20260701,000820.SZ,*ST节能
20260701,000909.SZ,*ST数源
20260701,001331.SZ,胜通能源
20260701,002053.SZ,云南能投
20260701,002167.SZ,东方锆业
20260701,002193.SZ,ST如意
20260701,002273.SZ,水晶光电
20260701,002360.SZ,ST同德
20260701,002396.SZ,星网锐捷
20260701,002514.SZ,*ST宝馨
20260701,002569.SZ,*ST步森
20260701,002717.SZ,*ST岭南
20260701,002738.SZ,中矿资源
20260701,002747.SZ,埃斯顿
20260701,002929.SZ,润建股份
20260701,002977.SZ,*ST天箭
20260701,300518.SZ,新迅达
20260701,600076.SH,康欣新材
20260701,600641.SH,先导基电
20260701,600783.SH,鲁信创投
20260701,603120.SH,肯特催化
20260701,603137.SH,恒尚节能
20260701,603212.SH,赛伍技术
20260701,603272.SH,*ST联翔
20260701,603379.SH,三美股份
20260701,603789.SH,ST星农
20260701,603991.SH,领先股份
20260701,688728.SH,格科微
