ts_code,trade_date,pct_chg
300092.SZ,20260811,9.6802
300105.SZ,20260811,8.0882
300158.SZ,20260811,14.2586
300161.SZ,20260811,10.3244
300164.SZ,20260811,8.972
300449.SZ,20260811,8.0668
300461.SZ,20260811,10.9159
300693.SZ,20260811,12.9215
300886.SZ,20260811,10.2369
301008.SZ,20260811,10.8355
301119.SZ,20260811,10.3902
301148.SZ,20260811,8.1301
301201.SZ,20260811,9.8762
301209.SZ,20260811,15.0411
301230.SZ,20260811,8.1766
301566.SZ,20260811,13.2129
301596.SZ,20260811,11.8814
301717.SZ,20260811,662.2367
600107.SH,20260811,9.9237
600605.SH,20260811,8.0625
600759.SH,20260811,9.8712
603863.SH,20260811,8.8165
688017.SH,20260811,9.3174
688449.SH,20260811,9.9914
688469.SH,20260811,8.1368
688828.SH,20260811,419.4628
920088.BJ,20260811,8.4608
920165.BJ,20260811,138.5254
920510.BJ,20260811,13.9341
920651.BJ,20260811,10.1088
