ts_code,trade_time,open,high,low,close,vol,amount
301196.SZ,2026-08-27 15:00:00,98.9,98.9,98.9,98.9,114270.0,11301303.0
301196.SZ,2026-08-27 14:59:00,98.62,98.62,98.62,98.62,0.0,0.0
301196.SZ,2026-08-27 14:58:00,98.62,98.62,98.62,98.62,0.0,0.0
301196.SZ,2026-08-27 14:57:00,98.65,98.7,98.62,98.62,43691.0,4310445.5
301196.SZ,2026-08-27 14:56:00,98.6,98.66,98.49,98.66,40480.0,3989457.0
301196.SZ,2026-08-27 14:55:00,98.68,98.72,98.58,98.6,31470.0,3104558.0
301196.SZ,2026-08-27 14:54:00,98.72,98.88,98.66,98.81,62180.0,6142003.0
301196.SZ,2026-08-27 14:53:00,98.6,98.82,98.6,98.66,38870.0,3838699.8
301196.SZ,2026-08-27 14:52:00,98.52,98.77,98.51,98.65,29500.0,2909106.0
301196.SZ,2026-08-27 14:51:00,98.52,98.55,98.48,98.53,25100.0,2472970.0
301196.SZ,2026-08-27 14:50:00,98.5,98.54,98.47,98.51,43380.0,4273266.0
301196.SZ,2026-08-27 14:49:00,98.47,98.52,98.47,98.51,29720.0,2927316.8
301196.SZ,2026-08-27 14:48:00,98.54,98.56,98.41,98.5,15100.0,1487637.8
301196.SZ,2026-08-27 14:47:00,98.47,98.55,98.39,98.55,33000.0,3249257.0
301196.SZ,2026-08-27 14:46:00,98.7,98.7,98.45,98.49,33030.0,3254143.0
301196.SZ,2026-08-27 14:45:00,98.81,98.81,98.7,98.71,85870.0,8483558.0
301196.SZ,2026-08-27 14:44:00,98.82,98.89,98.8,98.83,23200.0,2292740.0
301196.SZ,2026-08-27 14:43:00,98.8,98.92,98.8,98.89,35200.0,3480543.0
301196.SZ,2026-08-27 14:42:00,98.71,98.8,98.69,98.8,27060.0,2671432.0
301196.SZ,2026-08-27 14:41:00,98.89,98.89,98.64,98.7,17840.0,1761445.0
301196.SZ,2026-08-27 14:40:00,98.8,99.0,98.8,98.89,69170.0,6843668.0
301196.SZ,2026-08-27 14:39:00,98.34,98.99,98.3,98.92,91290.0,9007441.0
301196.SZ,2026-08-27 14:38:00,98.18,98.3,98.16,98.3,25800.0,2534498.0
301196.SZ,2026-08-27 14:37:00,98.25,98.3,98.2,98.21,13800.0,1356006.0
301196.SZ,2026-08-27 14:36:00,98.47,98.48,98.15,98.25,19100.0,1877236.0
301196.SZ,2026-08-27 14:35:00,98.1,98.5,97.9,98.31,78670.0,7725142.5
301196.SZ,2026-08-27 14:34:00,98.02,98.1,98.02,98.1,13800.0,1353323.0
301196.SZ,2026-08-27 14:33:00,98.03,98.04,97.95,98.02,13100.0,1283918.0
301196.SZ,2026-08-27 14:32:00,97.95,98.06,97.9,97.97,4900.0,480164.5
