trade_date,ts_code,name
20260703,000004.SZ,国华退
20260703,002175.SZ,*ST东智
20260703,000016.SZ,*ST康佳A
20260703,000711.SZ,ST京蓝
20260703,000909.SZ,*ST数源
20260703,002360.SZ,ST同德
20260703,002977.SZ,*ST天箭
20260703,603137.SH,恒尚节能
20260703,603789.SH,ST星农
20260703,000078.SZ,ST海王
20260703,000639.SZ,ST西王
20260703,002005.SZ,ST德豪
20260703,002109.SZ,ST兴化
20260703,002198.SZ,ST嘉应
20260703,002305.SZ,*ST南置
20260703,002542.SZ,*ST中岩
20260703,002667.SZ,*ST威领
20260703,600082.SH,ST海泰
20260703,600624.SH,ST复华
20260703,600759.SH,ST洲际
20260703,600793.SH,宜宾纸业
20260703,601010.SH,ST文峰
20260703,601718.SH,ST际华
20260703,603557.SH,*ST起步
20260703,603559.SH,中通国脉
20260703,603828.SH,*ST利达
20260703,605189.SH,富春染织
20260703,605199.SH,ST葫芦娃
20260703,000506.SZ,招金黄金
20260703,000576.SZ,甘化科工
20260703,000595.SZ,宝塔实业
20260703,000656.SZ,金科股份
20260703,000821.SZ,ST京机
20260703,000838.SZ,*ST发展
20260703,000908.SZ,石药景峰
20260703,001317.SZ,三羊马
20260703,002122.SZ,ST汇洲
20260703,002726.SZ,ST龙大
20260703,002979.SZ,雷赛智能
20260703,600084.SH,*ST尼雅
20260703,600165.SH,ST宁科
20260703,600243.SH,*ST海华
20260703,600988.SH,赤峰黄金
20260703,603286.SH,日盈电子
20260703,603338.SH,浙江鼎力
20260703,603377.SH,ST东时
20260703,603580.SH,艾艾精工
20260703,603717.SH,天域生物
20260703,603822.SH,ST嘉澳
