ts_code,trade_time,open,high,low,close,vol,amount
300010.SZ,2026-08-26 15:00:00,2.71,2.71,2.71,2.71,1690300.0,4580713.0
300010.SZ,2026-08-26 14:59:00,2.71,2.71,2.71,2.71,0.0,0.0
300010.SZ,2026-08-26 14:58:00,2.71,2.71,2.71,2.71,0.0,0.0
300010.SZ,2026-08-26 14:57:00,2.7,2.71,2.69,2.71,1295700.0,3499878.0
300010.SZ,2026-08-26 14:56:00,2.7,2.7,2.69,2.7,1556500.0,4199582.0
300010.SZ,2026-08-26 14:55:00,2.69,2.7,2.69,2.69,1031500.0,2782059.0
300010.SZ,2026-08-26 14:54:00,2.7,2.7,2.69,2.7,209400.0,564383.0
300010.SZ,2026-08-26 14:53:00,2.69,2.7,2.68,2.7,711300.0,1914462.0
300010.SZ,2026-08-26 14:52:00,2.7,2.7,2.69,2.69,778300.0,2095753.0
300010.SZ,2026-08-26 14:51:00,2.7,2.7,2.69,2.7,110500.0,297709.0
300010.SZ,2026-08-26 14:50:00,2.7,2.7,2.69,2.7,431500.0,1164901.0
300010.SZ,2026-08-26 14:49:00,2.68,2.69,2.67,2.69,988500.0,2652219.0
300010.SZ,2026-08-26 14:48:00,2.67,2.68,2.67,2.67,428900.0,1145869.0
300010.SZ,2026-08-26 14:47:00,2.68,2.68,2.67,2.67,426100.0,1141990.0
300010.SZ,2026-08-26 14:46:00,2.69,2.69,2.68,2.68,647000.0,1738933.0
300010.SZ,2026-08-26 14:45:00,2.7,2.7,2.69,2.69,154900.0,417013.0
300010.SZ,2026-08-26 14:44:00,2.7,2.71,2.7,2.7,719100.0,1942772.0
300010.SZ,2026-08-26 14:43:00,2.71,2.71,2.7,2.71,394900.0,1069846.0
300010.SZ,2026-08-26 14:42:00,2.7,2.71,2.69,2.7,451800.0,1219532.0
300010.SZ,2026-08-26 14:41:00,2.69,2.7,2.69,2.7,438900.0,1180519.0
300010.SZ,2026-08-26 14:40:00,2.68,2.7,2.68,2.7,669755.0,1801290.0
300010.SZ,2026-08-26 14:39:00,2.67,2.68,2.66,2.67,1116200.0,2977379.0
300010.SZ,2026-08-26 14:38:00,2.71,2.71,2.67,2.67,1286245.0,3468133.5
300010.SZ,2026-08-26 14:37:00,2.73,2.73,2.71,2.72,882100.0,2405224.0
300010.SZ,2026-08-26 14:36:00,2.74,2.75,2.73,2.73,460100.0,1260608.0
300010.SZ,2026-08-26 14:35:00,2.76,2.76,2.74,2.74,572900.0,1576528.0
300010.SZ,2026-08-26 14:34:00,2.76,2.76,2.75,2.75,152300.0,419374.0
