trade_date,ts_code,name
20260806,603221.SH,爱丽家居
20260806,002963.SZ,豪尔赛
20260806,300615.SZ,欣天科技
20260806,601700.SH,风范股份
20260806,001267.SZ,汇绿生态
20260806,002425.SZ,凯撒文化
20260806,002428.SZ,云南锗业
20260806,002552.SZ,宝鼎科技
20260806,002975.SZ,博杰股份
20260806,600397.SH,江钨装备
20260806,600721.SH,百花医药
20260806,600892.SH,大晟文化
20260806,603773.SH,沃格光电
20260806,002214.SZ,大立科技
20260806,002649.SZ,博彦科技
20260806,002721.SZ,金一文化
20260806,002971.SZ,和远气体
20260806,600206.SH,有研新材
20260806,603078.SH,江化微
20260806,603823.SH,百合花
20260806,603988.SH,中电电机
20260806,688549.SH,中巨芯
