trade_date,ts_code,name,limit_times,advance_stage,晋阶,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,up_stat
20260707,000078.SZ,ST海王,,,,,,,limit_step,
20260707,000566.SZ,海南海药,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260707,000818.SZ,航锦科技,,,,,,,limit_list_d,0/0
20260707,000970.SZ,中科三环,,,,,,,limit_list_d,0/0
20260707,000973.SZ,佛塑科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,001206.SZ,依依股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,001229.SZ,魅视科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,001230.SZ,劲旅环境,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,001311.SZ,多利科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,001365.SZ,天海电子,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,002031.SZ,巨轮智能,,,,,,,limit_list_d,0/0
20260707,002038.SZ,双鹭药业,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260707,002077.SZ,大港股份,,,,,,,limit_list_d,0/0
20260707,002129.SZ,TCL中环,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,002132.SZ,恒星科技,,,,,,,limit_list_d,0/0
20260707,002137.SZ,实益达,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,002148.SZ,北纬科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260707,002185.SZ,华天科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,002266.SZ,浙富控股,,,,,,,limit_list_d,0/0
20260707,002403.SZ,爱仕达,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260707,002457.SZ,青龙管业,,,,,,,limit_list_d,1/2
20260707,002497.SZ,雅化集团,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260707,002558.SZ,巨人网络,,,,,,,limit_list_d,0/0
20260707,002584.SZ,西陇科学,,,,,,,limit_list_d,0/0
